# Li7 + t > a + a + n + n   [Li7_t__a_a_n_n]   ref=Caughlan& Fowler 1988 & Malaney& Fowler 1989
# forward[T9] = With[{T923=T9^(2/3),T913=T9^(1/3)},8.81*^+11/T923*Exp[-11.333/T913]]   uncertainty factor f = 3
# T9                 rate                error
1.000000e-03   5.325768e-36   3.000000e+00
1.009262e-03   7.494431e-36   3.000000e+00
1.018610e-03   1.053493e-35   3.000000e+00
1.028045e-03   1.479322e-35   3.000000e+00
1.037567e-03   2.075072e-35   3.000000e+00
1.047177e-03   2.907665e-35   3.000000e+00
1.056876e-03   4.070032e-35   3.000000e+00
1.066665e-03   5.691083e-35   3.000000e+00
1.076545e-03   7.949451e-35   3.000000e+00
1.086516e-03   1.109241e-34   3.000000e+00
1.096579e-03   1.546188e-34   3.000000e+00
1.106736e-03   2.153019e-34   3.000000e+00
1.116987e-03   2.994913e-34   3.000000e+00
1.127333e-03   4.161717e-34   3.000000e+00
1.137774e-03   5.777157e-34   3.000000e+00
1.148312e-03   8.011439e-34   3.000000e+00
1.158948e-03   1.109847e-33   3.000000e+00
1.169683e-03   1.535935e-33   3.000000e+00
1.180517e-03   2.123448e-33   3.000000e+00
1.191451e-03   2.932720e-33   3.000000e+00
1.202486e-03   4.046328e-33   3.000000e+00
1.213624e-03   5.577177e-33   3.000000e+00
1.224865e-03   7.679482e-33   3.000000e+00
1.236210e-03   1.056367e-32   3.000000e+00
1.247660e-03   1.451660e-32   3.000000e+00
1.259216e-03   1.992889e-32   3.000000e+00
1.270879e-03   2.733196e-32   3.000000e+00
1.282650e-03   3.744806e-32   3.000000e+00
1.294530e-03   5.125781e-32   3.000000e+00
1.306520e-03   7.009132e-32   3.000000e+00
1.318621e-03   9.575098e-32   3.000000e+00
1.330835e-03   1.306767e-31   3.000000e+00
1.343161e-03   1.781684e-31   3.000000e+00
1.355602e-03   2.426844e-31   3.000000e+00
1.368158e-03   3.302426e-31   3.000000e+00
1.380830e-03   4.489578e-31   3.000000e+00
1.393619e-03   6.097622e-31   3.000000e+00
1.406527e-03   8.273692e-31   3.000000e+00
1.419555e-03   1.121562e-30   3.000000e+00
1.432703e-03   1.518916e-30   3.000000e+00
1.445973e-03   2.055094e-30   3.000000e+00
1.459366e-03   2.777912e-30   3.000000e+00
1.472883e-03   3.751420e-30   3.000000e+00
1.486525e-03   5.061325e-30   3.000000e+00
1.500293e-03   6.822216e-30   3.000000e+00
1.514189e-03   9.187147e-30   3.000000e+00
1.528214e-03   1.236036e-29   3.000000e+00
1.542369e-03   1.661414e-29   3.000000e+00
1.556654e-03   2.231117e-29   3.000000e+00
1.571072e-03   2.993407e-29   3.000000e+00
1.585624e-03   4.012448e-29   3.000000e+00
1.600310e-03   5.373463e-29   3.000000e+00
1.615133e-03   7.189552e-29   3.000000e+00
1.630092e-03   9.610658e-29   3.000000e+00
1.645191e-03   1.283540e-28   3.000000e+00
1.660429e-03   1.712664e-28   3.000000e+00
1.675808e-03   2.283190e-28   3.000000e+00
1.691330e-03   3.041030e-28   3.000000e+00
1.706995e-03   4.046777e-28   3.000000e+00
1.722805e-03   5.380329e-28   3.000000e+00
1.738762e-03   7.146949e-28   3.000000e+00
1.754867e-03   9.485187e-28   3.000000e+00
1.771121e-03   1.257725e-27   3.000000e+00
1.787526e-03   1.666255e-27   3.000000e+00
1.804082e-03   2.205536e-27   3.000000e+00
1.820792e-03   2.916788e-27   3.000000e+00
1.837656e-03   3.854029e-27   3.000000e+00
1.854677e-03   5.087982e-27   3.000000e+00
1.871855e-03   6.711164e-27   3.000000e+00
1.889193e-03   8.844493e-27   3.000000e+00
1.906691e-03   1.164587e-26   3.000000e+00
1.924351e-03   1.532132e-26   3.000000e+00
1.942175e-03   2.013941e-26   3.000000e+00
1.960163e-03   2.644993e-26   3.000000e+00
1.978319e-03   3.470811e-26   3.000000e+00
