# Li8 + He3 > B11 + g   [Li8_He3__B11_g]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=8.0384e+10 beta=1.5 gamma=-315.76  Q=27.2102
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.004686e-35   1.000000e+02
1.018610e-03   1.008796e-35   1.000000e+02
1.028045e-03   1.012334e-35   1.000000e+02
1.037567e-03   1.015302e-35   1.000000e+02
1.047177e-03   1.017707e-35   1.000000e+02
1.056876e-03   1.019556e-35   1.000000e+02
1.066665e-03   1.020854e-35   1.000000e+02
1.076545e-03   1.021611e-35   1.000000e+02
1.086516e-03   1.021837e-35   1.000000e+02
1.096579e-03   1.021540e-35   1.000000e+02
1.106736e-03   1.020732e-35   1.000000e+02
1.116987e-03   1.019424e-35   1.000000e+02
1.127333e-03   1.017630e-35   1.000000e+02
1.137774e-03   1.015361e-35   1.000000e+02
1.148312e-03   1.012631e-35   1.000000e+02
1.158948e-03   1.009454e-35   1.000000e+02
1.169683e-03   1.005846e-35   1.000000e+02
1.180517e-03   1.001820e-35   1.000000e+02
1.191451e-03   9.973917e-36   1.000000e+02
1.202486e-03   9.925774e-36   1.000000e+02
1.213624e-03   9.873926e-36   1.000000e+02
1.224865e-03   9.818534e-36   1.000000e+02
1.236210e-03   9.759759e-36   1.000000e+02
1.247660e-03   9.697767e-36   1.000000e+02
1.259216e-03   9.632720e-36   1.000000e+02
1.270879e-03   9.564784e-36   1.000000e+02
1.282650e-03   9.494123e-36   1.000000e+02
1.294530e-03   9.420900e-36   1.000000e+02
1.306520e-03   9.345278e-36   1.000000e+02
1.318621e-03   9.267420e-36   1.000000e+02
1.330835e-03   9.187484e-36   1.000000e+02
1.343161e-03   9.105629e-36   1.000000e+02
1.355602e-03   9.022011e-36   1.000000e+02
1.368158e-03   8.936783e-36   1.000000e+02
1.380830e-03   8.850095e-36   1.000000e+02
1.393619e-03   8.762096e-36   1.000000e+02
1.406527e-03   8.672931e-36   1.000000e+02
1.419555e-03   8.582739e-36   1.000000e+02
1.432703e-03   8.491659e-36   1.000000e+02
1.445973e-03   8.399826e-36   1.000000e+02
1.459366e-03   8.307368e-36   1.000000e+02
1.472883e-03   8.214414e-36   1.000000e+02
1.486525e-03   8.121085e-36   1.000000e+02
1.500293e-03   8.027499e-36   1.000000e+02
1.514189e-03   7.933772e-36   1.000000e+02
1.528214e-03   7.840014e-36   1.000000e+02
1.542369e-03   7.746330e-36   1.000000e+02
1.556654e-03   7.652823e-36   1.000000e+02
1.571072e-03   7.559591e-36   1.000000e+02
1.585624e-03   7.466727e-36   1.000000e+02
1.600310e-03   7.374322e-36   1.000000e+02
1.615133e-03   7.282460e-36   1.000000e+02
1.630092e-03   7.191224e-36   1.000000e+02
1.645191e-03   7.100691e-36   1.000000e+02
1.660429e-03   7.010934e-36   1.000000e+02
1.675808e-03   6.922025e-36   1.000000e+02
1.691330e-03   6.834029e-36   1.000000e+02
1.706995e-03   6.747010e-36   1.000000e+02
1.722805e-03   6.661025e-36   1.000000e+02
1.738762e-03   6.576132e-36   1.000000e+02
1.754867e-03   6.492382e-36   1.000000e+02
1.771121e-03   6.409825e-36   1.000000e+02
1.787526e-03   6.328507e-36   1.000000e+02
1.804082e-03   6.248471e-36   1.000000e+02
