# Li8 + He3 > Be9 + d   [Li8_He3__Be9_d]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=1.2825 beta=0 gamma=-132.23  Q=11.3947
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.007196e-35   1.000000e+02
1.018610e-03   1.013532e-35   1.000000e+02
1.028045e-03   1.019006e-35   1.000000e+02
1.037567e-03   1.023621e-35   1.000000e+02
1.047177e-03   1.027379e-35   1.000000e+02
1.056876e-03   1.030287e-35   1.000000e+02
1.066665e-03   1.032354e-35   1.000000e+02
1.076545e-03   1.033591e-35   1.000000e+02
1.086516e-03   1.034011e-35   1.000000e+02
1.096579e-03   1.033630e-35   1.000000e+02
1.106736e-03   1.032462e-35   1.000000e+02
1.116987e-03   1.030529e-35   1.000000e+02
1.127333e-03   1.027849e-35   1.000000e+02
1.137774e-03   1.024444e-35   1.000000e+02
1.148312e-03   1.020338e-35   1.000000e+02
1.158948e-03   1.015554e-35   1.000000e+02
1.169683e-03   1.010119e-35   1.000000e+02
1.180517e-03   1.004057e-35   1.000000e+02
1.191451e-03   9.973975e-36   1.000000e+02
1.202486e-03   9.901667e-36   1.000000e+02
1.213624e-03   9.823934e-36   1.000000e+02
1.224865e-03   9.741062e-36   1.000000e+02
1.236210e-03   9.653341e-36   1.000000e+02
1.247660e-03   9.561064e-36   1.000000e+02
1.259216e-03   9.464523e-36   1.000000e+02
1.270879e-03   9.364010e-36   1.000000e+02
1.282650e-03   9.259818e-36   1.000000e+02
1.294530e-03   9.152235e-36   1.000000e+02
1.306520e-03   9.041546e-36   1.000000e+02
1.318621e-03   8.928033e-36   1.000000e+02
1.330835e-03   8.811974e-36   1.000000e+02
1.343161e-03   8.693639e-36   1.000000e+02
1.355602e-03   8.573296e-36   1.000000e+02
1.368158e-03   8.451201e-36   1.000000e+02
1.380830e-03   8.327608e-36   1.000000e+02
1.393619e-03   8.202761e-36   1.000000e+02
1.406527e-03   8.076895e-36   1.000000e+02
1.419555e-03   7.950240e-36   1.000000e+02
1.432703e-03   7.823015e-36   1.000000e+02
1.445973e-03   7.695429e-36   1.000000e+02
1.459366e-03   7.567686e-36   1.000000e+02
1.472883e-03   7.439978e-36   1.000000e+02
1.486525e-03   7.312489e-36   1.000000e+02
1.500293e-03   7.185393e-36   1.000000e+02
1.514189e-03   7.058854e-36   1.000000e+02
1.528214e-03   6.933031e-36   1.000000e+02
1.542369e-03   6.808069e-36   1.000000e+02
1.556654e-03   6.684107e-36   1.000000e+02
1.571072e-03   6.561274e-36   1.000000e+02
1.585624e-03   6.439692e-36   1.000000e+02
1.600310e-03   6.319472e-36   1.000000e+02
1.615133e-03   6.200718e-36   1.000000e+02
1.630092e-03   6.083527e-36   1.000000e+02
1.645191e-03   5.967988e-36   1.000000e+02
1.660429e-03   5.854180e-36   1.000000e+02
1.675808e-03   5.742179e-36   1.000000e+02
1.691330e-03   5.632050e-36   1.000000e+02
1.706995e-03   5.523853e-36   1.000000e+02
1.722805e-03   5.417643e-36   1.000000e+02
1.738762e-03   5.313467e-36   1.000000e+02
1.754867e-03   5.211367e-36   1.000000e+02
1.771121e-03   5.111379e-36   1.000000e+02
1.787526e-03   5.013535e-36   1.000000e+02
1.804082e-03   4.917861e-36   1.000000e+02
1.820792e-03   4.824379e-36   1.000000e+02
1.837656e-03   4.733107e-36   1.000000e+02
1.854677e-03   4.644058e-36   1.000000e+02
1.871855e-03   4.557241e-36   1.000000e+02
1.889193e-03   4.472664e-36   1.000000e+02
1.906691e-03   4.390330e-36   1.000000e+02
1.924351e-03   4.310239e-36   1.000000e+02
1.942175e-03   4.232389e-36   1.000000e+02
1.960163e-03   4.156776e-36   1.000000e+02
1.978319e-03   4.083392e-36   1.000000e+02
1.996642e-03   4.012230e-36   1.000000e+02
2.015136e-03   3.943279e-36   1.000000e+02
2.033800e-03   3.876527e-36   1.000000e+02
2.052638e-03   3.811962e-36   1.000000e+02
2.071650e-03   3.749570e-36   1.000000e+02
2.090838e-03   3.689336e-36   1.000000e+02
2.110203e-03   3.631244e-36   1.000000e+02
2.129749e-03   3.575280e-36   1.000000e+02
2.149475e-03   3.521426e-36   1.000000e+02
2.169384e-03   3.469668e-36   1.000000e+02
2.189477e-03   3.419990e-36   1.000000e+02
2.209756e-03   3.372375e-36   1.000000e+02
2.230223e-03   3.326809e-36   1.000000e+02
2.250880e-03   3.283276e-36   1.000000e+02
2.271728e-03   3.241764e-36   1.000000e+02
2.292769e-03   3.202259e-36   1.000000e+02
2.314005e-03   3.164750e-36   1.000000e+02
2.335438e-03   3.129226e-36   1.000000e+02
2.357069e-03   3.095677e-36   1.000000e+02
2.378901e-03   3.064096e-36   1.000000e+02
2.400935e-03   3.034478e-36   1.000000e+02
2.423173e-03   3.006816e-36   1.000000e+02
2.445617e-03   2.981110e-36   1.000000e+02
2.468268e-03   2.957359e-36   1.000000e+02
2.491130e-03   2.935565e-36   1.000000e+02
2.514203e-03   2.915733e-36   1.000000e+02
2.537490e-03   2.897870e-36   1.000000e+02
2.560993e-03   2.881986e-36   1.000000e+02
2.584714e-03   2.868093e-36   1.000000e+02
2.608654e-03   2.856209e-36   1.000000e+02
2.632815e-03   2.846353e-36   1.000000e+02
2.657201e-03   2.838547e-36   1.000000e+02
2.681813e-03   2.832820e-36   1.000000e+02
2.706652e-03   2.829203e-36   1.000000e+02
2.731722e-03   2.827730e-36   1.000000e+02
2.757023e-03   2.828443e-36   1.000000e+02
2.782559e-03   2.831388e-36   1.000000e+02
2.808332e-03   2.836614e-36   1.000000e+02
2.834343e-03   2.844180e-36   1.000000e+02
2.860596e-03   2.854147e-36   1.000000e+02
2.887091e-03   2.866585e-36   1.000000e+02
2.913832e-03   2.881570e-36   1.000000e+02
2.940820e-03   2.899188e-36   1.000000e+02
2.968059e-03   2.919530e-36   1.000000e+02
2.995549e-03   2.942698e-36   1.000000e+02
3.023295e-03   2.968774e-36   1.000000e+02
3.051297e-03   2.997662e-36   1.000000e+02
3.079559e-03   3.029195e-36   1.000000e+02
3.108082e-03   3.063198e-36   1.000000e+02
3.136870e-03   3.099494e-36   1.000000e+02
3.165924e-03   3.137900e-36   1.000000e+02
3.195248e-03   3.178224e-36   1.000000e+02
3.224842e-03   3.220265e-36   1.000000e+02
3.254712e-03   3.263811e-36   1.000000e+02
3.284857e-03   3.308638e-36   1.000000e+02
3.315282e-03   3.354508e-36   1.000000e+02
3.345989e-03   3.401171e-36   1.000000e+02
3.376980e-03   3.448360e-36   1.000000e+02
3.408259e-03   3.495795e-36   1.000000e+02
3.439826e-03   3.543178e-36   1.000000e+02
3.471687e-03   3.590197e-36   1.000000e+02
3.503842e-03   3.636524e-36   1.000000e+02
3.536296e-03   3.681815e-36   1.000000e+02
3.569049e-03   3.725715e-36   1.000000e+02
3.602107e-03   3.767852e-36   1.000000e+02
3.635470e-03   3.807844e-36   1.000000e+02
3.669142e-03   3.845300e-36   1.000000e+02
3.703127e-03   3.879821e-36   1.000000e+02
3.737426e-03   3.911001e-36   1.000000e+02
3.772042e-03   3.938435e-36   1.000000e+02
3.806980e-03   3.961717e-36   1.000000e+02
3.842241e-03   3.980447e-36   1.000000e+02
3.877828e-03   3.994234e-36   1.000000e+02
3.913746e-03   4.002698e-36   1.000000e+02
3.949995e-03   4.005480e-36   1.000000e+02
3.986581e-03   4.002240e-36   1.000000e+02
4.023506e-03   3.992786e-36   1.000000e+02
