# Li8 + a > B11 + n   [Li8_a__B11_n]   ref=Coc et al. 2012
# detailed balance: alpha=3.0732 beta=0 gamma=-76.9673  Q=6.6325
# T9                 rate                error
1.000000e-03   1.000000e-35   3.072500e+00
1.009262e-03   9.633627e-36   3.072433e+00
1.018610e-03   9.295812e-36   3.072366e+00
1.028045e-03   8.984242e-36   3.072298e+00
1.037567e-03   8.696833e-36   3.072230e+00
1.047177e-03   8.431701e-36   3.072161e+00
1.056876e-03   8.187148e-36   3.072092e+00
1.066665e-03   7.961635e-36   3.072022e+00
1.076545e-03   7.753772e-36   3.071951e+00
1.086516e-03   7.562299e-36   3.071880e+00
1.096579e-03   7.386074e-36   3.071809e+00
1.106736e-03   7.224059e-36   3.071736e+00
1.116987e-03   7.075313e-36   3.071664e+00
1.127333e-03   6.938980e-36   3.071590e+00
1.137774e-03   6.814284e-36   3.071517e+00
1.148312e-03   6.700517e-36   3.071442e+00
1.158948e-03   6.597034e-36   3.071368e+00
1.169683e-03   6.503250e-36   3.071292e+00
1.180517e-03   6.418629e-36   3.071216e+00
1.191451e-03   6.342687e-36   3.071140e+00
1.202486e-03   6.274978e-36   3.071063e+00
1.213624e-03   6.215099e-36   3.070986e+00
1.224865e-03   6.162681e-36   3.070908e+00
1.236210e-03   6.117387e-36   3.070830e+00
1.247660e-03   6.078913e-36   3.070751e+00
1.259216e-03   6.046977e-36   3.070672e+00
1.270879e-03   6.021327e-36   3.070593e+00
1.282650e-03   6.001728e-36   3.070512e+00
1.294530e-03   5.987971e-36   3.070432e+00
1.306520e-03   5.979863e-36   3.070351e+00
1.318621e-03   5.977227e-36   3.070269e+00
1.330835e-03   5.979903e-36   3.070187e+00
1.343161e-03   5.987747e-36   3.070105e+00
1.355602e-03   6.000625e-36   3.070022e+00
1.368158e-03   6.018415e-36   3.069939e+00
1.380830e-03   6.041007e-36   3.069855e+00
1.393619e-03   6.068300e-36   3.069771e+00
1.406527e-03   6.100199e-36   3.069687e+00
1.419555e-03   6.136621e-36   3.069602e+00
1.432703e-03   6.177485e-36   3.069517e+00
1.445973e-03   6.222720e-36   3.069431e+00
1.459366e-03   6.272255e-36   3.069345e+00
1.472883e-03   6.326027e-36   3.069259e+00
1.486525e-03   6.383975e-36   3.069172e+00
1.500293e-03   6.446040e-36   3.069085e+00
1.514189e-03   6.512165e-36   3.068997e+00
1.528214e-03   6.582294e-36   3.068909e+00
1.542369e-03   6.656371e-36   3.068821e+00
1.556654e-03   6.734341e-36   3.068732e+00
1.571072e-03   6.816146e-36   3.068643e+00
1.585624e-03   6.901727e-36   3.068553e+00
1.600310e-03   6.991022e-36   3.068464e+00
1.615133e-03   7.083966e-36   3.068374e+00
1.630092e-03   7.180490e-36   3.068283e+00
1.645191e-03   7.280521e-36   3.068192e+00
1.660429e-03   7.383978e-36   3.068101e+00
1.675808e-03   7.490778e-36   3.068010e+00
1.691330e-03   7.600827e-36   3.067918e+00
1.706995e-03   7.714027e-36   3.067826e+00
1.722805e-03   7.830269e-36   3.067734e+00
1.738762e-03   7.949436e-36   3.067641e+00
1.754867e-03   8.071404e-36   3.067548e+00
1.771121e-03   8.196034e-36   3.067455e+00
1.787526e-03   8.323180e-36   3.067361e+00
1.804082e-03   8.452683e-36   3.067267e+00
1.820792e-03   8.584372e-36   3.067173e+00
1.837656e-03   8.718064e-36   3.067079e+00
1.854677e-03   8.853563e-36   3.066984e+00
1.871855e-03   8.990658e-36   3.066889e+00
1.889193e-03   9.129125e-36   3.066794e+00
1.906691e-03   9.268725e-36   3.066699e+00
1.924351e-03   9.409205e-36   3.066603e+00
1.942175e-03   9.550297e-36   3.066507e+00
1.960163e-03   9.691717e-36   3.066411e+00
1.978319e-03   9.833167e-36   3.066314e+00
1.996642e-03   9.974330e-36   3.066218e+00
2.015136e-03   1.011488e-35   3.066119e+00
2.033800e-03   1.025447e-35   3.066017e+00
2.052638e-03   1.039274e-35   3.065911e+00
2.071650e-03   1.052932e-35   3.065802e+00
2.090838e-03   1.066382e-35   3.065689e+00
2.110203e-03   1.079584e-35   3.065573e+00
2.129749e-03   1.092496e-35   3.065455e+00
2.149475e-03   1.105077e-35   3.065334e+00
2.169384e-03   1.117282e-35   3.065210e+00
2.189477e-03   1.129068e-35   3.065085e+00
2.209756e-03   1.140389e-35   3.064958e+00
2.230223e-03   1.151199e-35   3.064829e+00
2.250880e-03   1.161451e-35   3.064698e+00
2.271728e-03   1.171101e-35   3.064567e+00
2.292769e-03   1.180100e-35   3.064435e+00
2.314005e-03   1.188402e-35   3.064302e+00
2.335438e-03   1.195961e-35   3.064169e+00
2.357069e-03   1.202732e-35   3.064035e+00
2.378901e-03   1.208669e-35   3.063902e+00
2.400935e-03   1.213729e-35   3.063769e+00
2.423173e-03   1.217869e-35   3.063637e+00
2.445617e-03   1.221050e-35   3.063505e+00
2.468268e-03   1.223231e-35   3.063375e+00
2.491130e-03   1.224376e-35   3.063246e+00
2.514203e-03   1.224452e-35   3.063118e+00
2.537490e-03   1.223426e-35   3.062992e+00
2.560993e-03   1.221271e-35   3.062868e+00
2.584714e-03   1.217961e-35   3.062747e+00
2.608654e-03   1.213474e-35   3.062628e+00
2.632815e-03   1.207792e-35   3.062512e+00
2.657201e-03   1.200903e-35   3.062398e+00
2.681813e-03   1.192796e-35   3.062288e+00
2.706652e-03   1.183467e-35   3.062182e+00
2.731722e-03   1.172915e-35   3.062079e+00
2.757023e-03   1.161144e-35   3.061980e+00
2.782559e-03   1.148164e-35   3.061885e+00
2.808332e-03   1.133990e-35   3.061795e+00
2.834343e-03   1.118640e-35   3.061709e+00
2.860596e-03   1.102139e-35   3.061629e+00
2.887091e-03   1.084517e-35   3.061553e+00
2.913832e-03   1.065808e-35   3.061483e+00
2.940820e-03   1.046052e-35   3.061419e+00
2.968059e-03   1.025294e-35   3.061360e+00
2.995549e-03   1.003582e-35   3.061308e+00
3.023295e-03   9.809986e-36   3.061260e+00
3.051297e-03   9.578100e-36   3.061211e+00
3.079559e-03   9.343369e-36   3.061163e+00
3.108082e-03   9.108743e-36   3.061116e+00
3.136870e-03   8.876914e-36   3.061069e+00
3.165924e-03   8.650314e-36   3.061022e+00
3.195248e-03   8.431130e-36   3.060976e+00
3.224842e-03   8.221319e-36   3.060930e+00
3.254712e-03   8.022629e-36   3.060886e+00
3.284857e-03   7.836628e-36   3.060842e+00
3.315282e-03   7.664727e-36   3.060799e+00
3.345989e-03   7.508219e-36   3.060757e+00
3.376980e-03   7.368305e-36   3.060717e+00
3.408259e-03   7.246136e-36   3.060678e+00
3.439826e-03   7.142846e-36   3.060640e+00
3.471687e-03   7.059594e-36   3.060603e+00
3.503842e-03   6.997608e-36   3.060568e+00
3.536296e-03   6.958228e-36   3.060535e+00
3.569049e-03   6.942958e-36   3.060504e+00
3.602107e-03   6.953525e-36   3.060474e+00
3.635470e-03   6.991943e-36   3.060447e+00
3.669142e-03   7.060587e-36   3.060421e+00
3.703127e-03   7.162284e-36   3.060398e+00
3.737426e-03   7.300420e-36   3.060377e+00
3.772042e-03   7.479066e-36   3.060358e+00
3.806980e-03   7.703143e-36   3.060342e+00
3.842241e-03   7.978612e-36   3.060328e+00
3.877828e-03   8.312720e-36   3.060317e+00
3.913746e-03   8.714314e-36   3.060308e+00
3.949995e-03   9.194227e-36   3.060303e+00
3.986581e-03   9.765780e-36   3.060300e+00
4.023506e-03   1.044535e-35   3.060311e+00
4.060772e-03   1.125222e-35   3.060372e+00
4.098384e-03   1.220956e-35   3.060483e+00
4.136344e-03   1.334609e-35   3.060639e+00
4.174655e-03   1.469762e-35   3.060836e+00
4.213322e-03   1.630892e-35   3.061070e+00
4.252346e-03   1.823624e-35   3.061338e+00
4.291732e-03   2.055054e-35   3.061635e+00
4.331483e-03   2.334187e-35   3.061957e+00
4.371602e-03   2.672507e-35   3.062299e+00
4.412093e-03   3.084745e-35   3.062659e+00
4.452959e-03   3.589907e-35   3.063031e+00
4.494203e-03   4.212666e-35   3.063412e+00
4.535829e-03   4.985252e-35   3.063797e+00
4.577841e-03   5.950040e-35   3.064183e+00
4.620241e-03   7.163111e-35   3.064566e+00
4.663035e-03   8.699190e-35   3.064940e+00
4.706225e-03   1.065854e-34   3.065303e+00
4.749815e-03   1.317664e-34   3.065650e+00
4.793808e-03   1.643790e-34   3.065977e+00
4.838210e-03   2.069516e-34   3.066279e+00
4.883022e-03   2.629775e-34   3.066554e+00
4.928250e-03   3.373199e-34   3.066796e+00
4.973896e-03   4.368027e-34   3.067001e+00
5.019965e-03   5.710716e-34   3.067170e+00
5.066461e-03   7.536255e-34   3.067334e+00
5.113388e-03   1.003243e-33   3.067499e+00
5.160749e-03   1.346349e-33   3.067664e+00
5.208549e-03   1.820230e-33   3.067828e+00
5.256791e-03   2.477578e-33   3.067989e+00
5.305481e-03   3.392945e-33   3.068147e+00
5.354621e-03   4.671863e-33   3.068300e+00
5.404216e-03   6.463729e-33   3.068448e+00
5.454271e-03   8.979898e-33   3.068589e+00
5.504790e-03   1.251903e-32   3.068723e+00
5.555776e-03   1.750237e-32   3.068847e+00
5.607235e-03   2.452253e-32   3.068962e+00
5.659170e-03   3.441056e-32   3.069066e+00
5.711586e-03   4.832725e-32   3.069158e+00
5.764488e-03   6.788626e-32   3.069237e+00
5.817880e-03   9.531843e-32   3.069301e+00
5.871766e-03   1.336881e-31   3.069350e+00
5.926152e-03   1.871738e-31   3.069383e+00
5.981041e-03   2.614265e-31   3.069399e+00
6.036439e-03   3.640321e-31   3.069389e+00
6.092349e-03   5.053131e-31   3.069333e+00
6.148778e-03   6.993547e-31   3.069235e+00
6.205729e-03   9.652478e-31   3.069102e+00
6.263207e-03   1.328839e-30   3.068938e+00
6.321218e-03   1.825100e-30   3.068751e+00
6.379767e-03   2.501319e-30   3.068547e+00
6.438857e-03   3.421435e-30   3.068332e+00
6.498495e-03   4.671884e-30   3.068111e+00
6.558686e-03   6.369546e-30   3.067892e+00
6.619433e-03   8.672527e-30   3.067679e+00
6.680744e-03   1.179483e-29   3.067481e+00
6.742622e-03   1.602635e-29   3.067301e+00
6.805074e-03   2.176018e-29   3.067147e+00
6.868104e-03   2.952999e-29   3.067025e+00
6.931717e-03   4.006132e-29   3.066941e+00
6.995920e-03   5.434209e-29   3.066901e+00
7.060718e-03   7.371695e-29   3.066889e+00
