# Li8 + d > Be9 + n   [Li8_d__Be9_n]   ref=Balbes et al. 1995
# forward[T9] = With[{T913=T9^(1/3),T923=T9^(2/3)},9.63*^6/T923*Exp[-10.324/T913]*(1.+0.404*T913)*188.]   uncertainty factor f = 3
# T9                 rate                error
1.000000e-03   2.744240e-34   3.000000e+00
1.009262e-03   3.744418e-34   3.000000e+00
1.018610e-03   5.104163e-34   3.000000e+00
1.028045e-03   6.950947e-34   3.000000e+00
1.037567e-03   9.456796e-34   3.000000e+00
1.047177e-03   1.285363e-33   3.000000e+00
1.056876e-03   1.745384e-33   3.000000e+00
1.066665e-03   2.367776e-33   3.000000e+00
1.076545e-03   3.209045e-33   3.000000e+00
1.086516e-03   4.345082e-33   3.000000e+00
1.096579e-03   5.877713e-33   3.000000e+00
1.106736e-03   7.943435e-33   3.000000e+00
1.116987e-03   1.072504e-32   3.000000e+00
1.127333e-03   1.446711e-32   3.000000e+00
1.137774e-03   1.949656e-32   3.000000e+00
1.148312e-03   2.624995e-32   3.000000e+00
1.158948e-03   3.530977e-32   3.000000e+00
1.169683e-03   4.745241e-32   3.000000e+00
1.180517e-03   6.371181e-32   3.000000e+00
1.191451e-03   8.546358e-32   3.000000e+00
1.202486e-03   1.145362e-31   3.000000e+00
1.213624e-03   1.533581e-31   3.000000e+00
1.224865e-03   2.051510e-31   3.000000e+00
1.236210e-03   2.741859e-31   3.000000e+00
1.247660e-03   3.661188e-31   3.000000e+00
1.259216e-03   4.884339e-31   3.000000e+00
1.270879e-03   6.510249e-31   3.000000e+00
1.282650e-03   8.669592e-31   3.000000e+00
1.294530e-03   1.153480e-30   3.000000e+00
1.306520e-03   1.533321e-30   3.000000e+00
1.318621e-03   2.036428e-30   3.000000e+00
1.330835e-03   2.702209e-30   3.000000e+00
1.343161e-03   3.582482e-30   3.000000e+00
1.355602e-03   4.745320e-30   3.000000e+00
1.368158e-03   6.280071e-30   3.000000e+00
1.380830e-03   8.303903e-30   3.000000e+00
1.393619e-03   1.097034e-29   3.000000e+00
1.406527e-03   1.448033e-29   3.000000e+00
1.419555e-03   1.909675e-29   3.000000e+00
1.432703e-03   2.516308e-29   3.000000e+00
1.445973e-03   3.312780e-29   3.000000e+00
1.459366e-03   4.357598e-29   3.000000e+00
1.472883e-03   5.727018e-29   3.000000e+00
1.486525e-03   7.520348e-29   3.000000e+00
1.500293e-03   9.866802e-29   3.000000e+00
1.514189e-03   1.293437e-28   3.000000e+00
1.528214e-03   1.694125e-28   3.000000e+00
1.542369e-03   2.217063e-28   3.000000e+00
1.556654e-03   2.898975e-28   3.000000e+00
1.571072e-03   3.787439e-28   3.000000e+00
1.585624e-03   4.944049e-28   3.000000e+00
1.600310e-03   6.448474e-28   3.000000e+00
1.615133e-03   8.403675e-28   3.000000e+00
1.630092e-03   1.094261e-27   3.000000e+00
1.645191e-03   1.423681e-27   3.000000e+00
1.660429e-03   1.850743e-27   3.000000e+00
1.675808e-03   2.403931e-27   3.000000e+00
1.691330e-03   3.119907e-27   3.000000e+00
1.706995e-03   4.045815e-27   3.000000e+00
1.722805e-03   5.242233e-27   3.000000e+00
1.738762e-03   6.786932e-27   3.000000e+00
1.754867e-03   8.779681e-27   3.000000e+00
1.771121e-03   1.134836e-26   3.000000e+00
1.787526e-03   1.465675e-26   3.000000e+00
1.804082e-03   1.891444e-26   3.000000e+00
1.820792e-03   2.438942e-26   3.000000e+00
1.837656e-03   3.142411e-26   3.000000e+00
1.854677e-03   4.045564e-26   3.000000e+00
1.871855e-03   5.204159e-26   3.000000e+00
1.889193e-03   6.689269e-26   3.000000e+00
1.906691e-03   8.591409e-26   3.000000e+00
1.924351e-03   1.102577e-25   3.000000e+00
1.942175e-03   1.413881e-25   3.000000e+00
1.960163e-03   1.811665e-25   3.000000e+00
1.978319e-03   2.319555e-25   3.000000e+00
1.996642e-03   2.967525e-25   3.000000e+00
2.015136e-03   3.793569e-25   3.000000e+00
2.033800e-03   4.845811e-25   3.000000e+00
2.052638e-03   6.185159e-25   3.000000e+00
2.071650e-03   7.888644e-25   3.000000e+00
2.090838e-03   1.005360e-24   3.000000e+00
2.110203e-03   1.280296e-24   3.000000e+00
2.129749e-03   1.629179e-24   3.000000e+00
2.149475e-03   2.071564e-24   3.000000e+00
2.169384e-03   2.632086e-24   3.000000e+00
2.189477e-03   3.341757e-24   3.000000e+00
2.209756e-03   4.239588e-24   3.000000e+00
2.230223e-03   5.374618e-24   3.000000e+00
2.250880e-03   6.808440e-24   3.000000e+00
2.271728e-03   8.618361e-24   3.000000e+00
2.292769e-03   1.090134e-23   3.000000e+00
2.314005e-03   1.377888e-23   3.000000e+00
2.335438e-03   1.740317e-23   3.000000e+00
2.357069e-03   2.196461e-23   3.000000e+00
2.378901e-03   2.770135e-23   3.000000e+00
2.400935e-03   3.491091e-23   3.000000e+00
2.423173e-03   4.396483e-23   3.000000e+00
2.445617e-03   5.532668e-23   3.000000e+00
2.468268e-03   6.957443e-23   3.000000e+00
2.491130e-03   8.742821e-23   3.000000e+00
2.514203e-03   1.097846e-22   3.000000e+00
2.537490e-03   1.377590e-22   3.000000e+00
2.560993e-03   1.727381e-22   3.000000e+00
2.584714e-03   2.164448e-22   3.000000e+00
2.608654e-03   2.710178e-22   3.000000e+00
2.632815e-03   3.391103e-22   3.000000e+00
2.657201e-03   4.240116e-22   3.000000e+00
2.681813e-03   5.297964e-22   3.000000e+00
2.706652e-03   6.615088e-22   3.000000e+00
2.731722e-03   8.253889e-22   3.000000e+00
2.757023e-03   1.029151e-21   3.000000e+00
2.782559e-03   1.282323e-21   3.000000e+00
2.808332e-03   1.596669e-21   3.000000e+00
2.834343e-03   1.986702e-21   3.000000e+00
2.860596e-03   2.470310e-21   3.000000e+00
2.887091e-03   3.069531e-21   3.000000e+00
2.913832e-03   3.811496e-21   3.000000e+00
2.940820e-03   4.729580e-21   3.000000e+00
2.968059e-03   5.864816e-21   3.000000e+00
2.995549e-03   7.267613e-21   3.000000e+00
3.023295e-03   8.999856e-21   3.000000e+00
3.051297e-03   1.113748e-20   3.000000e+00
3.079559e-03   1.377356e-20   3.000000e+00
3.108082e-03   1.702216e-20   3.000000e+00
3.136870e-03   2.102294e-20   3.000000e+00
3.165924e-03   2.594675e-20   3.000000e+00
3.195248e-03   3.200254e-20   3.000000e+00
3.224842e-03   3.944560e-20   3.000000e+00
3.254712e-03   4.858769e-20   3.000000e+00
3.284857e-03   5.980927e-20   3.000000e+00
3.315282e-03   7.357428e-20   3.000000e+00
3.345989e-03   9.044818e-20   3.000000e+00
3.376980e-03   1.111196e-19   3.000000e+00
3.408259e-03   1.364268e-19   3.000000e+00
3.439826e-03   1.673891e-19   3.000000e+00
3.471687e-03   2.052460e-19   3.000000e+00
3.503842e-03   2.515027e-19   3.000000e+00
3.536296e-03   3.079867e-19   3.000000e+00
3.569049e-03   3.769152e-19   3.000000e+00
3.602107e-03   4.609761e-19   3.000000e+00
3.635470e-03   5.634264e-19   3.000000e+00
3.669142e-03   6.882097e-19   3.000000e+00
3.703127e-03   8.400983e-19   3.000000e+00
3.737426e-03   1.024863e-18   3.000000e+00
3.772042e-03   1.249479e-18   3.000000e+00
3.806980e-03   1.522371e-18   3.000000e+00
3.842241e-03   1.853706e-18   3.000000e+00
3.877828e-03   2.255750e-18   3.000000e+00
3.913746e-03   2.743292e-18   3.000000e+00
3.949995e-03   3.334145e-18   3.000000e+00
3.986581e-03   4.049760e-18   3.000000e+00
4.023506e-03   4.915948e-18   3.000000e+00
4.060772e-03   5.963748e-18   3.000000e+00
4.098384e-03   7.230462e-18   3.000000e+00
4.136344e-03   8.760895e-18   3.000000e+00
4.174655e-03   1.060883e-17   3.000000e+00
4.213322e-03   1.283877e-17   3.000000e+00
4.252346e-03   1.552807e-17   3.000000e+00
4.291732e-03   1.876941e-17   3.000000e+00
4.331483e-03   2.267374e-17   3.000000e+00
4.371602e-03   2.737388e-17   3.000000e+00
4.412093e-03   3.302865e-17   3.000000e+00
4.452959e-03   3.982788e-17   3.000000e+00
4.494203e-03   4.799837e-17   3.000000e+00
4.535829e-03   5.781086e-17   3.000000e+00
4.577841e-03   6.958840e-17   3.000000e+00
4.620241e-03   8.371618e-17   3.000000e+00
4.663035e-03   1.006533e-16   3.000000e+00
4.706225e-03   1.209465e-16   3.000000e+00
4.749815e-03   1.452467e-16   3.000000e+00
4.793808e-03   1.743281e-16   3.000000e+00
4.838210e-03   2.091114e-16   3.000000e+00
4.883022e-03   2.506906e-16   3.000000e+00
4.928250e-03   3.003647e-16   3.000000e+00
4.973896e-03   3.596757e-16   3.000000e+00
5.019965e-03   4.304528e-16   3.000000e+00
5.066461e-03   5.148645e-16   3.000000e+00
5.113388e-03   6.154801e-16   3.000000e+00
5.160749e-03   7.353423e-16   3.000000e+00
5.208549e-03   8.780521e-16   3.000000e+00
5.256791e-03   1.047869e-15   3.000000e+00
5.305481e-03   1.249828e-15   3.000000e+00
5.354621e-03   1.489880e-15   3.000000e+00
5.404216e-03   1.775049e-15   3.000000e+00
5.454271e-03   2.113627e-15   3.000000e+00
5.504790e-03   2.515395e-15   3.000000e+00
5.555776e-03   2.991881e-15   3.000000e+00
5.607235e-03   3.556670e-15   3.000000e+00
5.659170e-03   4.225759e-15   3.000000e+00
5.711586e-03   5.017976e-15   3.000000e+00
5.764488e-03   5.955467e-15   3.000000e+00
5.817880e-03   7.064267e-15   3.000000e+00
5.871766e-03   8.374969e-15   3.000000e+00
5.926152e-03   9.923500e-15   3.000000e+00
5.981041e-03   1.175203e-14   3.000000e+00
6.036439e-03   1.391002e-14   3.000000e+00
6.092349e-03   1.645547e-14   3.000000e+00
6.148778e-03   1.945634e-14   3.000000e+00
6.205729e-03   2.299224e-14   3.000000e+00
6.263207e-03   2.715634e-14   3.000000e+00
6.321218e-03   3.205765e-14   3.000000e+00
6.379767e-03   3.782365e-14   3.000000e+00
6.438857e-03   4.460331e-14   3.000000e+00
6.498495e-03   5.257065e-14   3.000000e+00
6.558686e-03   6.192885e-14   3.000000e+00
6.619433e-03   7.291497e-14   3.000000e+00
6.680744e-03   8.580550e-14   3.000000e+00
6.742622e-03   1.009227e-13   3.000000e+00
6.805074e-03   1.186421e-13   3.000000e+00
6.868104e-03   1.394010e-13   3.000000e+00
6.931717e-03   1.637081e-13   3.000000e+00
6.995920e-03   1.921554e-13   3.000000e+00
7.060718e-03   2.254312e-13   3.000000e+00
7.126115e-03   2.643351e-13   3.000000e+00
7.192119e-03   3.097961e-13   3.000000e+00
7.258734e-03   3.628925e-13   3.000000e+00
7.325965e-03   4.248753e-13   3.000000e+00
7.393820e-03   4.971957e-13   3.000000e+00
7.462303e-03   5.815353e-13   3.000000e+00
7.531420e-03   6.798427e-13   3.000000e+00
7.601178e-03   7.943739e-13   3.000000e+00
7.671581e-03   9.277404e-13   3.000000e+00
7.742637e-03   1.082963e-12   3.000000e+00
7.814351e-03   1.263534e-12   3.000000e+00
7.886729e-03   1.473489e-12   3.000000e+00
7.959777e-03   1.717492e-12   3.000000e+00
8.033502e-03   2.000924e-12   3.000000e+00
8.107910e-03   2.329997e-12   3.000000e+00
8.183007e-03   2.711875e-12   3.000000e+00
8.258799e-03   3.154816e-12   3.000000e+00
8.335294e-03   3.668337e-12   3.000000e+00
8.412497e-03   4.263398e-12   3.000000e+00
8.490415e-03   4.952615e-12   3.000000e+00
8.569055e-03   5.750505e-12   3.000000e+00
8.648423e-03   6.673763e-12   3.000000e+00
8.728527e-03   7.741579e-12   3.000000e+00
8.809372e-03   8.976002e-12   3.000000e+00
8.890966e-03   1.040235e-11   3.000000e+00
8.973316e-03   1.204970e-11   3.000000e+00
9.056428e-03   1.395138e-11   3.000000e+00
9.140311e-03   1.614565e-11   3.000000e+00
9.224970e-03   1.867632e-11   3.000000e+00
9.310413e-03   2.159363e-11   3.000000e+00
9.396648e-03   2.495509e-11   3.000000e+00
9.483682e-03   2.882651e-11   3.000000e+00
9.571522e-03   3.328322e-11   3.000000e+00
9.660175e-03   3.841133e-11   3.000000e+00
9.749649e-03   4.430930e-11   3.000000e+00
9.839952e-03   5.108960e-11   3.000000e+00
9.931092e-03   5.888068e-11   3.000000e+00
1.002308e-02   6.782916e-11   3.000000e+00
1.011591e-02   7.810233e-11   3.000000e+00
1.020961e-02   8.989095e-11   3.000000e+00
1.030417e-02   1.034125e-10   3.000000e+00
1.039961e-02   1.189148e-10   3.000000e+00
1.049593e-02   1.366800e-10   3.000000e+00
1.059315e-02   1.570295e-10   3.000000e+00
1.069126e-02   1.803286e-10   3.000000e+00
1.079029e-02   2.069933e-10   3.000000e+00
1.089023e-02   2.374961e-10   3.000000e+00
1.099110e-02   2.723743e-10   3.000000e+00
1.109290e-02   3.122378e-10   3.000000e+00
1.119564e-02   3.577794e-10   3.000000e+00
1.129934e-02   4.097852e-10   3.000000e+00
1.140400e-02   4.691468e-10   3.000000e+00
1.150962e-02   5.368753e-10   3.000000e+00
1.161623e-02   6.141166e-10   3.000000e+00
1.172382e-02   7.021689e-10   3.000000e+00
1.183241e-02   8.025022e-10   3.000000e+00
1.194200e-02   9.167806e-10   3.000000e+00
1.205261e-02   1.046887e-09   3.000000e+00
1.216424e-02   1.194949e-09   3.000000e+00
1.227691e-02   1.363375e-09   3.000000e+00
1.239062e-02   1.554885e-09   3.000000e+00
1.250539e-02   1.772550e-09   3.000000e+00
1.262121e-02   2.019837e-09   3.000000e+00
1.273811e-02   2.300662e-09   3.000000e+00
1.285610e-02   2.619439e-09   3.000000e+00
1.297517e-02   2.981146e-09   3.000000e+00
1.309535e-02   3.391395e-09   3.000000e+00
1.321664e-02   3.856508e-09   3.000000e+00
1.333906e-02   4.383603e-09   3.000000e+00
1.346261e-02   4.980696e-09   3.000000e+00
1.358730e-02   5.656804e-09   3.000000e+00
1.371315e-02   6.422071e-09   3.000000e+00
1.384016e-02   7.287902e-09   3.000000e+00
1.396835e-02   8.267113e-09   3.000000e+00
1.409773e-02   9.374103e-09   3.000000e+00
1.422830e-02   1.062504e-08   3.000000e+00
1.436009e-02   1.203808e-08   3.000000e+00
1.449310e-02   1.363357e-08   3.000000e+00
1.462733e-02   1.543437e-08   3.000000e+00
1.476281e-02   1.746608e-08   3.000000e+00
1.489955e-02   1.975739e-08   3.000000e+00
1.503755e-02   2.234045e-08   3.000000e+00
1.517683e-02   2.525126e-08   3.000000e+00
1.531740e-02   2.853012e-08   3.000000e+00
1.545928e-02   3.222211e-08   3.000000e+00
1.560246e-02   3.637765e-08   3.000000e+00
1.574698e-02   4.105312e-08   3.000000e+00
1.589283e-02   4.631153e-08   3.000000e+00
1.604003e-02   5.222326e-08   3.000000e+00
1.618860e-02   5.886691e-08   3.000000e+00
1.633854e-02   6.633023e-08   3.000000e+00
1.648987e-02   7.471111e-08   3.000000e+00
1.664260e-02   8.411876e-08   3.000000e+00
1.679675e-02   9.467494e-08   3.000000e+00
1.695232e-02   1.065154e-07   3.000000e+00
1.710934e-02   1.197912e-07   3.000000e+00
1.726781e-02   1.346709e-07   3.000000e+00
1.742775e-02   1.513418e-07   3.000000e+00
1.758917e-02   1.700126e-07   3.000000e+00
1.775208e-02   1.909153e-07   3.000000e+00
1.791650e-02   2.143081e-07   3.000000e+00
1.808245e-02   2.404778e-07   3.000000e+00
1.824993e-02   2.697431e-07   3.000000e+00
1.841897e-02   3.024580e-07   3.000000e+00
1.858957e-02   3.390159e-07   3.000000e+00
1.876175e-02   3.798528e-07   3.000000e+00
1.893552e-02   4.254532e-07   3.000000e+00
1.911091e-02   4.763538e-07   3.000000e+00
1.928792e-02   5.331500e-07   3.000000e+00
1.946656e-02   5.965018e-07   3.000000e+00
1.964687e-02   6.671400e-07   3.000000e+00
1.982884e-02   7.458743e-07   3.000000e+00
2.001250e-02   8.336010e-07   3.000000e+00
2.019786e-02   9.313120e-07   3.000000e+00
2.038493e-02   1.040105e-06   3.000000e+00
2.057374e-02   1.161193e-06   3.000000e+00
2.076430e-02   1.295917e-06   3.000000e+00
2.095662e-02   1.445761e-06   3.000000e+00
2.115073e-02   1.612363e-06   3.000000e+00
2.134663e-02   1.797530e-06   3.000000e+00
2.154435e-02   2.003260e-06   3.000000e+00
2.174389e-02   2.231755e-06   3.000000e+00
2.194529e-02   2.485447e-06   3.000000e+00
2.214855e-02   2.767015e-06   3.000000e+00
2.235370e-02   3.079414e-06   3.000000e+00
2.256074e-02   3.425901e-06   3.000000e+00
2.276970e-02   3.810062e-06   3.000000e+00
2.298060e-02   4.235847e-06   3.000000e+00
2.319345e-02   4.707603e-06   3.000000e+00
2.340827e-02   5.230116e-06   3.000000e+00
2.362508e-02   5.808650e-06   3.000000e+00
2.384390e-02   6.448993e-06   3.000000e+00
2.406475e-02   7.157508e-06   3.000000e+00
2.428764e-02   7.941188e-06   3.000000e+00
2.451260e-02   8.807715e-06   3.000000e+00
2.473964e-02   9.765527e-06   3.000000e+00
2.496878e-02   1.082388e-05   3.000000e+00
2.520005e-02   1.199295e-05   3.000000e+00
2.543346e-02   1.328388e-05   3.000000e+00
2.566903e-02   1.470891e-05   3.000000e+00
2.590678e-02   1.628143e-05   3.000000e+00
2.614673e-02   1.801615e-05   3.000000e+00
2.638891e-02   1.992917e-05   3.000000e+00
2.663333e-02   2.203812e-05   3.000000e+00
2.688001e-02   2.436231e-05   3.000000e+00
2.712898e-02   2.692287e-05   3.000000e+00
2.738025e-02   2.974293e-05   3.000000e+00
2.763385e-02   3.284779e-05   3.000000e+00
2.788980e-02   3.626509e-05   3.000000e+00
2.814812e-02   4.002508e-05   3.000000e+00
2.840884e-02   4.416078e-05   3.000000e+00
2.867196e-02   4.870830e-05   3.000000e+00
2.893753e-02   5.370705e-05   3.000000e+00
2.920556e-02   5.920005e-05   3.000000e+00
2.947606e-02   6.523425e-05   3.000000e+00
2.974908e-02   7.186090e-05   3.000000e+00
3.002462e-02   7.913587e-05   3.000000e+00
3.030271e-02   8.712008e-05   3.000000e+00
3.058338e-02   9.587993e-05   3.000000e+00
3.086665e-02   1.054878e-04   3.000000e+00
3.115254e-02   1.160225e-04   3.000000e+00
3.144108e-02   1.275698e-04   3.000000e+00
3.173230e-02   1.402231e-04   3.000000e+00
3.202621e-02   1.540843e-04   3.000000e+00
3.232284e-02   1.692638e-04   3.000000e+00
3.262222e-02   1.858819e-04   3.000000e+00
3.292437e-02   2.040695e-04   3.000000e+00
3.322933e-02   2.239688e-04   3.000000e+00
3.353710e-02   2.457342e-04   3.000000e+00
3.384773e-02   2.695334e-04   3.000000e+00
3.416123e-02   2.955489e-04   3.000000e+00
3.447764e-02   3.239783e-04   3.000000e+00
3.479698e-02   3.550363e-04   3.000000e+00
3.511928e-02   3.889559e-04   3.000000e+00
3.544456e-02   4.259897e-04   3.000000e+00
3.577285e-02   4.664116e-04   3.000000e+00
3.610419e-02   5.105185e-04   3.000000e+00
3.643859e-02   5.586321e-04   3.000000e+00
3.677609e-02   6.111010e-04   3.000000e+00
3.711672e-02   6.683028e-04   3.000000e+00
3.746050e-02   7.306459e-04   3.000000e+00
3.780747e-02   7.985729e-04   3.000000e+00
3.815765e-02   8.725622e-04   3.000000e+00
3.851107e-02   9.531316e-04   3.000000e+00
3.886777e-02   1.040841e-03   3.000000e+00
3.922777e-02   1.136296e-03   3.000000e+00
3.959110e-02   1.240150e-03   3.000000e+00
3.995780e-02   1.353110e-03   3.000000e+00
4.032790e-02   1.475940e-03   3.000000e+00
4.070142e-02   1.609463e-03   3.000000e+00
4.107841e-02   1.754571e-03   3.000000e+00
4.145888e-02   1.912223e-03   3.000000e+00
4.184289e-02   2.083455e-03   3.000000e+00
4.223044e-02   2.269385e-03   3.000000e+00
4.262159e-02   2.471218e-03   3.000000e+00
4.301636e-02   2.690254e-03   3.000000e+00
4.341478e-02   2.927892e-03   3.000000e+00
4.381690e-02   3.185640e-03   3.000000e+00
4.422274e-02   3.465124e-03   3.000000e+00
4.463234e-02   3.768092e-03   3.000000e+00
4.504573e-02   4.096428e-03   3.000000e+00
4.546295e-02   4.452158e-03   3.000000e+00
4.588404e-02   4.837463e-03   3.000000e+00
4.630903e-02   5.254687e-03   3.000000e+00
4.673795e-02   5.706353e-03   3.000000e+00
4.717085e-02   6.195171e-03   3.000000e+00
4.760775e-02   6.724054e-03   3.000000e+00
4.804870e-02   7.296133e-03   3.000000e+00
4.849374e-02   7.914769e-03   3.000000e+00
4.894290e-02   8.583572e-03   3.000000e+00
4.939622e-02   9.306419e-03   3.000000e+00
4.985373e-02   1.008747e-02   3.000000e+00
5.031549e-02   1.093118e-02   3.000000e+00
5.078152e-02   1.184235e-02   3.000000e+00
5.125187e-02   1.282611e-02   3.000000e+00
5.172657e-02   1.388795e-02   3.000000e+00
5.220568e-02   1.503378e-02   3.000000e+00
5.268921e-02   1.626993e-02   3.000000e+00
5.317723e-02   1.760315e-02   3.000000e+00
5.366977e-02   1.904071e-02   3.000000e+00
5.416687e-02   2.059037e-02   3.000000e+00
5.466857e-02   2.226043e-02   3.000000e+00
5.517492e-02   2.405979e-02   3.000000e+00
5.568596e-02   2.599797e-02   3.000000e+00
5.620174e-02   2.808514e-02   3.000000e+00
5.672229e-02   3.033219e-02   3.000000e+00
5.724766e-02   3.275074e-02   3.000000e+00
5.777790e-02   3.535323e-02   3.000000e+00
5.831305e-02   3.815294e-02   3.000000e+00
5.885316e-02   4.116406e-02   3.000000e+00
5.939827e-02   4.440174e-02   3.000000e+00
5.994843e-02   4.788216e-02   3.000000e+00
6.050368e-02   5.162259e-02   3.000000e+00
6.106408e-02   5.564146e-02   3.000000e+00
6.162966e-02   5.995841e-02   3.000000e+00
6.220049e-02   6.459442e-02   3.000000e+00
6.277660e-02   6.957185e-02   3.000000e+00
6.335805e-02   7.491452e-02   3.000000e+00
6.394488e-02   8.064784e-02   3.000000e+00
6.453715e-02   8.679886e-02   3.000000e+00
6.513491e-02   9.339643e-02   3.000000e+00
6.573820e-02   1.004712e-01   3.000000e+00
6.634708e-02   1.080560e-01   3.000000e+00
6.696160e-02   1.161855e-01   3.000000e+00
6.758181e-02   1.248967e-01   3.000000e+00
6.820777e-02   1.342291e-01   3.000000e+00
6.883952e-02   1.442246e-01   3.000000e+00
6.947713e-02   1.549277e-01   3.000000e+00
7.012064e-02   1.663858e-01   3.000000e+00
7.077011e-02   1.786493e-01   3.000000e+00
7.142559e-02   1.917717e-01   3.000000e+00
7.208715e-02   2.058098e-01   3.000000e+00
7.275484e-02   2.208241e-01   3.000000e+00
7.342870e-02   2.368787e-01   3.000000e+00
7.410882e-02   2.540416e-01   3.000000e+00
7.479523e-02   2.723851e-01   3.000000e+00
7.548799e-02   2.919859e-01   3.000000e+00
7.618718e-02   3.129253e-01   3.000000e+00
7.689284e-02   3.352897e-01   3.000000e+00
7.760503e-02   3.591704e-01   3.000000e+00
7.832383e-02   3.846646e-01   3.000000e+00
7.904928e-02   4.118750e-01   3.000000e+00
7.978145e-02   4.409105e-01   3.000000e+00
8.052040e-02   4.718866e-01   3.000000e+00
8.126619e-02   5.049255e-01   3.000000e+00
8.201889e-02   5.401566e-01   3.000000e+00
8.277857e-02   5.777170e-01   3.000000e+00
8.354528e-02   6.177517e-01   3.000000e+00
8.431909e-02   6.604142e-01   3.000000e+00
8.510007e-02   7.058669e-01   3.000000e+00
8.588829e-02   7.542816e-01   3.000000e+00
8.668380e-02   8.058399e-01   3.000000e+00
8.748668e-02   8.607338e-01   3.000000e+00
8.829700e-02   9.191662e-01   3.000000e+00
8.911482e-02   9.813518e-01   3.000000e+00
8.994022e-02   1.047517e+00   3.000000e+00
9.077327e-02   1.117901e+00   3.000000e+00
9.161402e-02   1.192758e+00   3.000000e+00
9.246257e-02   1.272353e+00   3.000000e+00
9.331898e-02   1.356968e+00   3.000000e+00
9.418332e-02   1.446902e+00   3.000000e+00
9.505566e-02   1.542467e+00   3.000000e+00
9.593608e-02   1.643995e+00   3.000000e+00
9.682466e-02   1.751835e+00   3.000000e+00
9.772147e-02   1.866354e+00   3.000000e+00
9.862658e-02   1.987942e+00   3.000000e+00
9.954008e-02   2.117006e+00   3.000000e+00
1.004620e-01   2.253978e+00   3.000000e+00
1.013925e-01   2.399313e+00   3.000000e+00
1.023317e-01   2.553487e+00   3.000000e+00
1.032795e-01   2.717005e+00   3.000000e+00
1.042361e-01   2.890398e+00   3.000000e+00
1.052015e-01   3.074223e+00   3.000000e+00
1.061759e-01   3.269067e+00   3.000000e+00
1.071593e-01   3.475550e+00   3.000000e+00
1.081519e-01   3.694321e+00   3.000000e+00
1.091536e-01   3.926064e+00   3.000000e+00
1.101646e-01   4.171499e+00   3.000000e+00
1.111850e-01   4.431380e+00   3.000000e+00
1.122148e-01   4.706504e+00   3.000000e+00
1.132541e-01   4.997705e+00   3.000000e+00
1.143031e-01   5.305861e+00   3.000000e+00
1.153618e-01   5.631893e+00   3.000000e+00
1.164303e-01   5.976770e+00   3.000000e+00
1.175087e-01   6.341507e+00   3.000000e+00
1.185971e-01   6.727172e+00   3.000000e+00
1.196956e-01   7.134885e+00   3.000000e+00
1.208042e-01   7.565821e+00   3.000000e+00
1.219231e-01   8.021213e+00   3.000000e+00
1.230524e-01   8.502355e+00   3.000000e+00
1.241921e-01   9.010602e+00   3.000000e+00
1.253424e-01   9.547378e+00   3.000000e+00
1.265034e-01   1.011417e+01   3.000000e+00
1.276751e-01   1.071255e+01   3.000000e+00
1.288576e-01   1.134415e+01   3.000000e+00
1.300511e-01   1.201068e+01   3.000000e+00
1.312557e-01   1.271394e+01   3.000000e+00
1.324714e-01   1.345582e+01   3.000000e+00
1.336984e-01   1.423828e+01   3.000000e+00
1.349367e-01   1.506339e+01   3.000000e+00
1.361865e-01   1.593331e+01   3.000000e+00
1.374479e-01   1.685030e+01   3.000000e+00
1.387210e-01   1.781672e+01   3.000000e+00
1.400058e-01   1.883504e+01   3.000000e+00
1.413026e-01   1.990785e+01   3.000000e+00
1.426114e-01   2.103786e+01   3.000000e+00
1.439323e-01   2.222790e+01   3.000000e+00
1.452654e-01   2.348091e+01   3.000000e+00
1.466109e-01   2.479998e+01   3.000000e+00
1.479688e-01   2.618836e+01   3.000000e+00
1.493393e-01   2.764939e+01   3.000000e+00
1.507225e-01   2.918662e+01   3.000000e+00
1.521186e-01   3.080370e+01   3.000000e+00
1.535275e-01   3.250449e+01   3.000000e+00
1.549495e-01   3.429299e+01   3.000000e+00
1.563847e-01   3.617338e+01   3.000000e+00
1.578331e-01   3.815002e+01   3.000000e+00
1.592950e-01   4.022747e+01   3.000000e+00
1.607704e-01   4.241048e+01   3.000000e+00
1.622595e-01   4.470400e+01   3.000000e+00
1.637624e-01   4.711319e+01   3.000000e+00
1.652792e-01   4.964345e+01   3.000000e+00
1.668101e-01   5.230037e+01   3.000000e+00
1.683551e-01   5.508980e+01   3.000000e+00
1.699144e-01   5.801785e+01   3.000000e+00
1.714882e-01   6.109086e+01   3.000000e+00
1.730766e-01   6.431543e+01   3.000000e+00
1.746796e-01   6.769846e+01   3.000000e+00
1.762975e-01   7.124711e+01   3.000000e+00
1.779304e-01   7.496885e+01   3.000000e+00
