# Li9 + He3 > Li8 + a   [Li9_He3__Li8_a]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=1.2491 beta=0 gamma=-191.634  Q=16.5138
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.006367e-35   1.000000e+02
1.018610e-03   1.011966e-35   1.000000e+02
1.028045e-03   1.016798e-35   1.000000e+02
1.037567e-03   1.020866e-35   1.000000e+02
1.047177e-03   1.024174e-35   1.000000e+02
1.056876e-03   1.026730e-35   1.000000e+02
1.066665e-03   1.028541e-35   1.000000e+02
1.076545e-03   1.029618e-35   1.000000e+02
1.086516e-03   1.029972e-35   1.000000e+02
1.096579e-03   1.029618e-35   1.000000e+02
1.106736e-03   1.028569e-35   1.000000e+02
1.116987e-03   1.026842e-35   1.000000e+02
1.127333e-03   1.024455e-35   1.000000e+02
1.137774e-03   1.021427e-35   1.000000e+02
1.148312e-03   1.017776e-35   1.000000e+02
1.158948e-03   1.013524e-35   1.000000e+02
1.169683e-03   1.008692e-35   1.000000e+02
1.180517e-03   1.003303e-35   1.000000e+02
1.191451e-03   9.973787e-36   1.000000e+02
1.202486e-03   9.909435e-36   1.000000e+02
1.213624e-03   9.840209e-36   1.000000e+02
1.224865e-03   9.766352e-36   1.000000e+02
1.236210e-03   9.688110e-36   1.000000e+02
1.247660e-03   9.605728e-36   1.000000e+02
1.259216e-03   9.519454e-36   1.000000e+02
1.270879e-03   9.429536e-36   1.000000e+02
1.282650e-03   9.336220e-36   1.000000e+02
1.294530e-03   9.239751e-36   1.000000e+02
1.306520e-03   9.140372e-36   1.000000e+02
1.318621e-03   9.038323e-36   1.000000e+02
1.330835e-03   8.933840e-36   1.000000e+02
1.343161e-03   8.827157e-36   1.000000e+02
1.355602e-03   8.718500e-36   1.000000e+02
1.368158e-03   8.608094e-36   1.000000e+02
1.380830e-03   8.496155e-36   1.000000e+02
1.393619e-03   8.382895e-36   1.000000e+02
1.406527e-03   8.268521e-36   1.000000e+02
1.419555e-03   8.153231e-36   1.000000e+02
1.432703e-03   8.037219e-36   1.000000e+02
1.445973e-03   7.920670e-36   1.000000e+02
1.459366e-03   7.803763e-36   1.000000e+02
1.472883e-03   7.686669e-36   1.000000e+02
1.486525e-03   7.569555e-36   1.000000e+02
1.500293e-03   7.452576e-36   1.000000e+02
1.514189e-03   7.335884e-36   1.000000e+02
1.528214e-03   7.219620e-36   1.000000e+02
1.542369e-03   7.103920e-36   1.000000e+02
1.556654e-03   6.988913e-36   1.000000e+02
1.571072e-03   6.874720e-36   1.000000e+02
1.585624e-03   6.761455e-36   1.000000e+02
1.600310e-03   6.649225e-36   1.000000e+02
1.615133e-03   6.538130e-36   1.000000e+02
1.630092e-03   6.428265e-36   1.000000e+02
1.645191e-03   6.319718e-36   1.000000e+02
1.660429e-03   6.212568e-36   1.000000e+02
1.675808e-03   6.106892e-36   1.000000e+02
1.691330e-03   6.002758e-36   1.000000e+02
1.706995e-03   5.900230e-36   1.000000e+02
1.722805e-03   5.799366e-36   1.000000e+02
1.738762e-03   5.700220e-36   1.000000e+02
1.754867e-03   5.602838e-36   1.000000e+02
1.771121e-03   5.507265e-36   1.000000e+02
1.787526e-03   5.413538e-36   1.000000e+02
1.804082e-03   5.321693e-36   1.000000e+02
1.820792e-03   5.231758e-36   1.000000e+02
1.837656e-03   5.143761e-36   1.000000e+02
1.854677e-03   5.057724e-36   1.000000e+02
1.871855e-03   4.973667e-36   1.000000e+02
1.889193e-03   4.891606e-36   1.000000e+02
1.906691e-03   4.811554e-36   1.000000e+02
1.924351e-03   4.733522e-36   1.000000e+02
1.942175e-03   4.657518e-36   1.000000e+02
1.960163e-03   4.583547e-36   1.000000e+02
1.978319e-03   4.511613e-36   1.000000e+02
1.996642e-03   4.441718e-36   1.000000e+02
2.015136e-03   4.373862e-36   1.000000e+02
2.033800e-03   4.308044e-36   1.000000e+02
2.052638e-03   4.244261e-36   1.000000e+02
2.071650e-03   4.182509e-36   1.000000e+02
2.090838e-03   4.122784e-36   1.000000e+02
2.110203e-03   4.065079e-36   1.000000e+02
2.129749e-03   4.009389e-36   1.000000e+02
2.149475e-03   3.955708e-36   1.000000e+02
2.169384e-03   3.904028e-36   1.000000e+02
2.189477e-03   3.854342e-36   1.000000e+02
2.209756e-03   3.806644e-36   1.000000e+02
2.230223e-03   3.760927e-36   1.000000e+02
2.250880e-03   3.717184e-36   1.000000e+02
2.271728e-03   3.675411e-36   1.000000e+02
2.292769e-03   3.635601e-36   1.000000e+02
2.314005e-03   3.597750e-36   1.000000e+02
2.335438e-03   3.561855e-36   1.000000e+02
2.357069e-03   3.527913e-36   1.000000e+02
2.378901e-03   3.495924e-36   1.000000e+02
2.400935e-03   3.465888e-36   1.000000e+02
2.423173e-03   3.437805e-36   1.000000e+02
2.445617e-03   3.411681e-36   1.000000e+02
2.468268e-03   3.387519e-36   1.000000e+02
2.491130e-03   3.365328e-36   1.000000e+02
2.514203e-03   3.345117e-36   1.000000e+02
2.537490e-03   3.326897e-36   1.000000e+02
2.560993e-03   3.310683e-36   1.000000e+02
2.584714e-03   3.296491e-36   1.000000e+02
2.608654e-03   3.284341e-36   1.000000e+02
2.632815e-03   3.274257e-36   1.000000e+02
2.657201e-03   3.266264e-36   1.000000e+02
2.681813e-03   3.260392e-36   1.000000e+02
2.706652e-03   3.256674e-36   1.000000e+02
2.731722e-03   3.255148e-36   1.000000e+02
2.757023e-03   3.255855e-36   1.000000e+02
2.782559e-03   3.258841e-36   1.000000e+02
2.808332e-03   3.264159e-36   1.000000e+02
2.834343e-03   3.271863e-36   1.000000e+02
2.860596e-03   3.282017e-36   1.000000e+02
2.887091e-03   3.294687e-36   1.000000e+02
2.913832e-03   3.309949e-36   1.000000e+02
2.940820e-03   3.327884e-36   1.000000e+02
2.968059e-03   3.348579e-36   1.000000e+02
2.995549e-03   3.372133e-36   1.000000e+02
3.023295e-03   3.398621e-36   1.000000e+02
3.051297e-03   3.427938e-36   1.000000e+02
3.079559e-03   3.459903e-36   1.000000e+02
3.108082e-03   3.494334e-36   1.000000e+02
3.136870e-03   3.531042e-36   1.000000e+02
3.165924e-03   3.569833e-36   1.000000e+02
3.195248e-03   3.610508e-36   1.000000e+02
3.224842e-03   3.652855e-36   1.000000e+02
3.254712e-03   3.696655e-36   1.000000e+02
3.284857e-03   3.741679e-36   1.000000e+02
3.315282e-03   3.787683e-36   1.000000e+02
3.345989e-03   3.834415e-36   1.000000e+02
3.376980e-03   3.881605e-36   1.000000e+02
3.408259e-03   3.928972e-36   1.000000e+02
3.439826e-03   3.976222e-36   1.000000e+02
3.471687e-03   4.023045e-36   1.000000e+02
3.503842e-03   4.069119e-36   1.000000e+02
3.536296e-03   4.114109e-36   1.000000e+02
3.569049e-03   4.157665e-36   1.000000e+02
3.602107e-03   4.199430e-36   1.000000e+02
3.635470e-03   4.239033e-36   1.000000e+02
3.669142e-03   4.276096e-36   1.000000e+02
3.703127e-03   4.310234e-36   1.000000e+02
3.737426e-03   4.341060e-36   1.000000e+02
3.772042e-03   4.368182e-36   1.000000e+02
3.806980e-03   4.391211e-36   1.000000e+02
3.842241e-03   4.409761e-36   1.000000e+02
3.877828e-03   4.423456e-36   1.000000e+02
3.913746e-03   4.431928e-36   1.000000e+02
3.949995e-03   4.434828e-36   1.000000e+02
3.986581e-03   4.431824e-36   1.000000e+02
4.023506e-03   4.422724e-36   1.000000e+02
4.060772e-03   4.408872e-36   1.000000e+02
4.098384e-03   4.392668e-36   1.000000e+02
4.136344e-03   4.376506e-36   1.000000e+02
4.174655e-03   4.362747e-36   1.000000e+02
4.213322e-03   4.353723e-36   1.000000e+02
4.252346e-03   4.351761e-36   1.000000e+02
4.291732e-03   4.359210e-36   1.000000e+02
4.331483e-03   4.378486e-36   1.000000e+02
4.371602e-03   4.412134e-36   1.000000e+02
4.412093e-03   4.462900e-36   1.000000e+02
4.452959e-03   4.533819e-36   1.000000e+02
4.494203e-03   4.628337e-36   1.000000e+02
4.535829e-03   4.750447e-36   1.000000e+02
4.577841e-03   4.904874e-36   1.000000e+02
4.620241e-03   5.097298e-36   1.000000e+02
4.663035e-03   5.334653e-36   1.000000e+02
4.706225e-03   5.625502e-36   1.000000e+02
4.749815e-03   5.980539e-36   1.000000e+02
4.793808e-03   6.413255e-36   1.000000e+02
4.838210e-03   6.940820e-36   1.000000e+02
4.883022e-03   7.585291e-36   1.000000e+02
4.928250e-03   8.375252e-36   1.000000e+02
4.973896e-03   9.348088e-36   1.000000e+02
5.019965e-03   1.055299e-35   1.000000e+02
5.066461e-03   1.204973e-35   1.000000e+02
5.113388e-03   1.390916e-35   1.000000e+02
5.160749e-03   1.622203e-35   1.000000e+02
5.208549e-03   1.910506e-35   1.000000e+02
5.256791e-03   2.270856e-35   1.000000e+02
5.305481e-03   2.722618e-35   1.000000e+02
5.354621e-03   3.290780e-35   1.000000e+02
5.404216e-03   4.007599e-35   1.000000e+02
5.454271e-03   4.914753e-35   1.000000e+02
5.504790e-03   6.066102e-35   1.000000e+02
5.555776e-03   7.531244e-35   1.000000e+02
5.607235e-03   9.400078e-35   1.000000e+02
5.659170e-03   1.178860e-34   1.000000e+02
5.711586e-03   1.484630e-34   1.000000e+02
5.764488e-03   1.876538e-34   1.000000e+02
5.817880e-03   2.379240e-34   1.000000e+02
5.871766e-03   3.024265e-34   1.000000e+02
5.926152e-03   3.851772e-34   1.000000e+02
5.981041e-03   4.912684e-34   1.000000e+02
6.036439e-03   6.271502e-34   1.000000e+02
6.092349e-03   8.013351e-34   1.000000e+02
