# Li9 + a > B13 + g   [Li9_a__B13_g]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=4.5631e+10 beta=1.5 gamma=-125.526  Q=10.817
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.002587e-35   1.000000e+02
1.018610e-03   1.004843e-35   1.000000e+02
1.028045e-03   1.006772e-35   1.000000e+02
1.037567e-03   1.008376e-35   1.000000e+02
1.047177e-03   1.009662e-35   1.000000e+02
1.056876e-03   1.010632e-35   1.000000e+02
1.066665e-03   1.011293e-35   1.000000e+02
1.076545e-03   1.011650e-35   1.000000e+02
1.086516e-03   1.011707e-35   1.000000e+02
1.096579e-03   1.011471e-35   1.000000e+02
1.106736e-03   1.010948e-35   1.000000e+02
1.116987e-03   1.010145e-35   1.000000e+02
1.127333e-03   1.009067e-35   1.000000e+02
1.137774e-03   1.007721e-35   1.000000e+02
1.148312e-03   1.006115e-35   1.000000e+02
1.158948e-03   1.004255e-35   1.000000e+02
1.169683e-03   1.002149e-35   1.000000e+02
1.180517e-03   9.998035e-36   1.000000e+02
1.191451e-03   9.972268e-36   1.000000e+02
1.202486e-03   9.944261e-36   1.000000e+02
1.213624e-03   9.914092e-36   1.000000e+02
1.224865e-03   9.881837e-36   1.000000e+02
1.236210e-03   9.847575e-36   1.000000e+02
1.247660e-03   9.811385e-36   1.000000e+02
1.259216e-03   9.773344e-36   1.000000e+02
1.270879e-03   9.733533e-36   1.000000e+02
1.282650e-03   9.692030e-36   1.000000e+02
1.294530e-03   9.648913e-36   1.000000e+02
1.306520e-03   9.604263e-36   1.000000e+02
1.318621e-03   9.558158e-36   1.000000e+02
1.330835e-03   9.510675e-36   1.000000e+02
1.343161e-03   9.461892e-36   1.000000e+02
1.355602e-03   9.411886e-36   1.000000e+02
1.368158e-03   9.360734e-36   1.000000e+02
1.380830e-03   9.308510e-36   1.000000e+02
1.393619e-03   9.255291e-36   1.000000e+02
1.406527e-03   9.201149e-36   1.000000e+02
1.419555e-03   9.146158e-36   1.000000e+02
1.432703e-03   9.090388e-36   1.000000e+02
1.445973e-03   9.033912e-36   1.000000e+02
1.459366e-03   8.976797e-36   1.000000e+02
1.472883e-03   8.919114e-36   1.000000e+02
1.486525e-03   8.860927e-36   1.000000e+02
1.500293e-03   8.802304e-36   1.000000e+02
1.514189e-03   8.743309e-36   1.000000e+02
1.528214e-03   8.684004e-36   1.000000e+02
1.542369e-03   8.624452e-36   1.000000e+02
1.556654e-03   8.564712e-36   1.000000e+02
1.571072e-03   8.504844e-36   1.000000e+02
1.585624e-03   8.444905e-36   1.000000e+02
1.600310e-03   8.384951e-36   1.000000e+02
1.615133e-03   8.325037e-36   1.000000e+02
1.630092e-03   8.265215e-36   1.000000e+02
1.645191e-03   8.205538e-36   1.000000e+02
1.660429e-03   8.146055e-36   1.000000e+02
1.675808e-03   8.086817e-36   1.000000e+02
1.691330e-03   8.027869e-36   1.000000e+02
1.706995e-03   7.969259e-36   1.000000e+02
1.722805e-03   7.911031e-36   1.000000e+02
1.738762e-03   7.853229e-36   1.000000e+02
1.754867e-03   7.795894e-36   1.000000e+02
1.771121e-03   7.739067e-36   1.000000e+02
1.787526e-03   7.682788e-36   1.000000e+02
1.804082e-03   7.627096e-36   1.000000e+02
1.820792e-03   7.572026e-36   1.000000e+02
1.837656e-03   7.517616e-36   1.000000e+02
1.854677e-03   7.463899e-36   1.000000e+02
1.871855e-03   7.410910e-36   1.000000e+02
1.889193e-03   7.358681e-36   1.000000e+02
1.906691e-03   7.307243e-36   1.000000e+02
1.924351e-03   7.256628e-36   1.000000e+02
1.942175e-03   7.206865e-36   1.000000e+02
1.960163e-03   7.157982e-36   1.000000e+02
1.978319e-03   7.110008e-36   1.000000e+02
1.996642e-03   7.062970e-36   1.000000e+02
2.015136e-03   7.016893e-36   1.000000e+02
2.033800e-03   6.971804e-36   1.000000e+02
2.052638e-03   6.927727e-36   1.000000e+02
2.071650e-03   6.884687e-36   1.000000e+02
2.090838e-03   6.842708e-36   1.000000e+02
2.110203e-03   6.801813e-36   1.000000e+02
2.129749e-03   6.762024e-36   1.000000e+02
2.149475e-03   6.723365e-36   1.000000e+02
2.169384e-03   6.685856e-36   1.000000e+02
2.189477e-03   6.649520e-36   1.000000e+02
2.209756e-03   6.614379e-36   1.000000e+02
2.230223e-03   6.580453e-36   1.000000e+02
2.250880e-03   6.547763e-36   1.000000e+02
2.271728e-03   6.516332e-36   1.000000e+02
2.292769e-03   6.486178e-36   1.000000e+02
2.314005e-03   6.457325e-36   1.000000e+02
2.335438e-03   6.429792e-36   1.000000e+02
2.357069e-03   6.403602e-36   1.000000e+02
2.378901e-03   6.378775e-36   1.000000e+02
2.400935e-03   6.355334e-36   1.000000e+02
2.423173e-03   6.333300e-36   1.000000e+02
2.445617e-03   6.312697e-36   1.000000e+02
2.468268e-03   6.293546e-36   1.000000e+02
2.491130e-03   6.275872e-36   1.000000e+02
2.514203e-03   6.259699e-36   1.000000e+02
2.537490e-03   6.245051e-36   1.000000e+02
2.560993e-03   6.231955e-36   1.000000e+02
2.584714e-03   6.220437e-36   1.000000e+02
2.608654e-03   6.210523e-36   1.000000e+02
2.632815e-03   6.202243e-36   1.000000e+02
2.657201e-03   6.195625e-36   1.000000e+02
2.681813e-03   6.190701e-36   1.000000e+02
2.706652e-03   6.187502e-36   1.000000e+02
2.731722e-03   6.186062e-36   1.000000e+02
2.757023e-03   6.186414e-36   1.000000e+02
2.782559e-03   6.188596e-36   1.000000e+02
2.808332e-03   6.192644e-36   1.000000e+02
2.834343e-03   6.198599e-36   1.000000e+02
2.860596e-03   6.206503e-36   1.000000e+02
2.887091e-03   6.216397e-36   1.000000e+02
2.913832e-03   6.228329e-36   1.000000e+02
2.940820e-03   6.242346e-36   1.000000e+02
2.968059e-03   6.258498e-36   1.000000e+02
2.995549e-03   6.276838e-36   1.000000e+02
3.023295e-03   6.297400e-36   1.000000e+02
3.051297e-03   6.320073e-36   1.000000e+02
3.079559e-03   6.344690e-36   1.000000e+02
3.108082e-03   6.371081e-36   1.000000e+02
3.136870e-03   6.399077e-36   1.000000e+02
3.165924e-03   6.428503e-36   1.000000e+02
3.195248e-03   6.459186e-36   1.000000e+02
3.224842e-03   6.490947e-36   1.000000e+02
3.254712e-03   6.523605e-36   1.000000e+02
3.284857e-03   6.556974e-36   1.000000e+02
3.315282e-03   6.590867e-36   1.000000e+02
3.345989e-03   6.625091e-36   1.000000e+02
3.376980e-03   6.659450e-36   1.000000e+02
3.408259e-03   6.693742e-36   1.000000e+02
3.439826e-03   6.727764e-36   1.000000e+02
3.471687e-03   6.761306e-36   1.000000e+02
3.503842e-03   6.794156e-36   1.000000e+02
3.536296e-03   6.826097e-36   1.000000e+02
3.569049e-03   6.856910e-36   1.000000e+02
3.602107e-03   6.886370e-36   1.000000e+02
3.635470e-03   6.914253e-36   1.000000e+02
3.669142e-03   6.940329e-36   1.000000e+02
3.703127e-03   6.964369e-36   1.000000e+02
3.737426e-03   6.986140e-36   1.000000e+02
3.772042e-03   7.005412e-36   1.000000e+02
3.806980e-03   7.021952e-36   1.000000e+02
3.842241e-03   7.035529e-36   1.000000e+02
3.877828e-03   7.045916e-36   1.000000e+02
