# Li9 + d > Be11 + g   [Li9_d__Be11_g]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=1.2544e+11 beta=1.5 gamma=-207.906  Q=17.916
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.039176e-35   1.000000e+02
1.018610e-03   1.081111e-35   1.000000e+02
1.028045e-03   1.126020e-35   1.000000e+02
1.037567e-03   1.174137e-35   1.000000e+02
1.047177e-03   1.225720e-35   1.000000e+02
1.056876e-03   1.281052e-35   1.000000e+02
1.066665e-03   1.340439e-35   1.000000e+02
1.076545e-03   1.404221e-35   1.000000e+02
1.086516e-03   1.472768e-35   1.000000e+02
1.096579e-03   1.546489e-35   1.000000e+02
1.106736e-03   1.625829e-35   1.000000e+02
1.116987e-03   1.711283e-35   1.000000e+02
1.127333e-03   1.803392e-35   1.000000e+02
1.137774e-03   1.902752e-35   1.000000e+02
1.148312e-03   2.010024e-35   1.000000e+02
1.158948e-03   2.125932e-35   1.000000e+02
1.169683e-03   2.251281e-35   1.000000e+02
1.180517e-03   2.386958e-35   1.000000e+02
1.191451e-03   2.533945e-35   1.000000e+02
1.202486e-03   2.693332e-35   1.000000e+02
1.213624e-03   2.866323e-35   1.000000e+02
1.224865e-03   3.054260e-35   1.000000e+02
1.236210e-03   3.258629e-35   1.000000e+02
1.247660e-03   3.481086e-35   1.000000e+02
1.259216e-03   3.723471e-35   1.000000e+02
1.270879e-03   3.987838e-35   1.000000e+02
1.282650e-03   4.276474e-35   1.000000e+02
1.294530e-03   4.591934e-35   1.000000e+02
1.306520e-03   4.937076e-35   1.000000e+02
1.318621e-03   5.315092e-35   1.000000e+02
1.330835e-03   5.729562e-35   1.000000e+02
1.343161e-03   6.184495e-35   1.000000e+02
1.355602e-03   6.684395e-35   1.000000e+02
1.368158e-03   7.234318e-35   1.000000e+02
1.380830e-03   7.839952e-35   1.000000e+02
1.393619e-03   8.507700e-35   1.000000e+02
1.406527e-03   9.244781e-35   1.000000e+02
1.419555e-03   1.005934e-34   1.000000e+02
1.432703e-03   1.096058e-34   1.000000e+02
1.445973e-03   1.195889e-34   1.000000e+02
1.459366e-03   1.306607e-34   1.000000e+02
1.472883e-03   1.429546e-34   1.000000e+02
1.486525e-03   1.566221e-34   1.000000e+02
1.500293e-03   1.718352e-34   1.000000e+02
1.514189e-03   1.887899e-34   1.000000e+02
1.528214e-03   2.077088e-34   1.000000e+02
1.542369e-03   2.288462e-34   1.000000e+02
1.556654e-03   2.524920e-34   1.000000e+02
1.571072e-03   2.789776e-34   1.000000e+02
1.585624e-03   3.086823e-34   1.000000e+02
1.600310e-03   3.420403e-34   1.000000e+02
1.615133e-03   3.795498e-34   1.000000e+02
1.630092e-03   4.217827e-34   1.000000e+02
1.645191e-03   4.693967e-34   1.000000e+02
1.660429e-03   5.231489e-34   1.000000e+02
1.675808e-03   5.839117e-34   1.000000e+02
1.691330e-03   6.526921e-34   1.000000e+02
1.706995e-03   7.306536e-34   1.000000e+02
1.722805e-03   8.191423e-34   1.000000e+02
1.738762e-03   9.197177e-34   1.000000e+02
1.754867e-03   1.034189e-33   1.000000e+02
1.771121e-03   1.164656e-33   1.000000e+02
1.787526e-03   1.313563e-33   1.000000e+02
1.804082e-03   1.483756e-33   1.000000e+02
1.820792e-03   1.678551e-33   1.000000e+02
1.837656e-03   1.901824e-33   1.000000e+02
1.854677e-03   2.158102e-33   1.000000e+02
1.871855e-03   2.452689e-33   1.000000e+02
1.889193e-03   2.791802e-33   1.000000e+02
1.906691e-03   3.182737e-33   1.000000e+02
1.924351e-03   3.634074e-33   1.000000e+02
1.942175e-03   4.155913e-33   1.000000e+02
1.960163e-03   4.760156e-33   1.000000e+02
1.978319e-03   5.460858e-33   1.000000e+02
1.996642e-03   6.274630e-33   1.000000e+02
2.015136e-03   7.221138e-33   1.000000e+02
2.033800e-03   8.323693e-33   1.000000e+02
2.052638e-03   9.609972e-33   1.000000e+02
2.071650e-03   1.111288e-32   1.000000e+02
2.090838e-03   1.287158e-32   1.000000e+02
2.110203e-03   1.493279e-32   1.000000e+02
2.129749e-03   1.735227e-32   1.000000e+02
2.149475e-03   2.019671e-32   1.000000e+02
2.169384e-03   2.354597e-32   1.000000e+02
2.189477e-03   2.749585e-32   1.000000e+02
2.209756e-03   3.216138e-32   1.000000e+02
2.230223e-03   3.768096e-32   1.000000e+02
2.250880e-03   4.422132e-32   1.000000e+02
2.271728e-03   5.198362e-32   1.000000e+02
2.292769e-03   6.121095e-32   1.000000e+02
2.314005e-03   7.219751e-32   1.000000e+02
2.335438e-03   8.529989e-32   1.000000e+02
2.357069e-03   1.009510e-31   1.000000e+02
2.378901e-03   1.196771e-31   1.000000e+02
2.400935e-03   1.421193e-31   1.000000e+02
2.423173e-03   1.690592e-31   1.000000e+02
2.445617e-03   2.014517e-31   1.000000e+02
2.468268e-03   2.404654e-31   1.000000e+02
2.491130e-03   2.875319e-31   1.000000e+02
2.514203e-03   3.444086e-31   1.000000e+02
2.537490e-03   4.132562e-31   1.000000e+02
2.560993e-03   4.967349e-31   1.000000e+02
2.584714e-03   5.981260e-31   1.000000e+02
2.608654e-03   7.214828e-31   1.000000e+02
2.632815e-03   8.718210e-31   1.000000e+02
2.657201e-03   1.055357e-30   1.000000e+02
2.681813e-03   1.279808e-30   1.000000e+02
2.706652e-03   1.554770e-30   1.000000e+02
2.731722e-03   1.892197e-30   1.000000e+02
2.757023e-03   2.307002e-30   1.000000e+02
2.782559e-03   2.817823e-30   1.000000e+02
2.808332e-03   3.447992e-30   1.000000e+02
2.834343e-03   4.226766e-30   1.000000e+02
2.860596e-03   5.190896e-30   1.000000e+02
2.887091e-03   6.386623e-30   1.000000e+02
2.913832e-03   7.872230e-30   1.000000e+02
2.940820e-03   9.721302e-30   1.000000e+02
2.968059e-03   1.202691e-29   1.000000e+02
2.995549e-03   1.490696e-29   1.000000e+02
3.023295e-03   1.851162e-29   1.000000e+02
3.051297e-03   2.303632e-29   1.000000e+02
3.079559e-03   2.873557e-29   1.000000e+02
3.108082e-03   3.594091e-29   1.000000e+02
3.136870e-03   4.508643e-29   1.000000e+02
3.165924e-03   5.674330e-29   1.000000e+02
3.195248e-03   7.166715e-29   1.000000e+02
3.224842e-03   9.086300e-29   1.000000e+02
3.254712e-03   1.156752e-28   1.000000e+02
3.284857e-03   1.479122e-28   1.000000e+02
3.315282e-03   1.900219e-28   1.000000e+02
3.345989e-03   2.453371e-28   1.000000e+02
3.376980e-03   3.184255e-28   1.000000e+02
3.408259e-03   4.155871e-28   1.000000e+02
3.439826e-03   5.455701e-28   1.000000e+02
3.471687e-03   7.206062e-28   1.000000e+02
3.503842e-03   9.579199e-28   1.000000e+02
3.536296e-03   1.281943e-27   1.000000e+02
3.569049e-03   1.727593e-27   1.000000e+02
3.602107e-03   2.345156e-27   1.000000e+02
3.635470e-03   3.207632e-27   1.000000e+02
3.669142e-03   4.421856e-27   1.000000e+02
3.703127e-03   6.145489e-27   1.000000e+02
3.737426e-03   8.613206e-27   1.000000e+02
3.772042e-03   1.217740e-26   1.000000e+02
3.806980e-03   1.737201e-26   1.000000e+02
3.842241e-03   2.501360e-26   1.000000e+02
3.877828e-03   3.636283e-26   1.000000e+02
3.913746e-03   5.338499e-26   1.000000e+02
3.949995e-03   7.917451e-26   1.000000e+02
3.986581e-03   1.186536e-25   1.000000e+02
4.023506e-03   1.797230e-25   1.000000e+02
4.060772e-03   2.749773e-25   1.000000e+02
4.098384e-03   4.244791e-25   1.000000e+02
4.136344e-03   6.603479e-25   1.000000e+02
4.174655e-03   1.034039e-24   1.000000e+02
4.213322e-03   1.627941e-24   1.000000e+02
4.252346e-03   2.573766e-24   1.000000e+02
4.291732e-03   4.081490e-24   1.000000e+02
4.331483e-03   6.484523e-24   1.000000e+02
4.371602e-03   1.030950e-23   1.000000e+02
4.412093e-03   1.638279e-23   1.000000e+02
4.452959e-03   2.599080e-23   1.000000e+02
4.494203e-03   4.111717e-23   1.000000e+02
4.535829e-03   6.478721e-23   1.000000e+02
4.577841e-03   1.015567e-22   1.000000e+02
4.620241e-03   1.581871e-22   1.000000e+02
4.663035e-03   2.445501e-22   1.000000e+02
4.706225e-03   3.747913e-22   1.000000e+02
4.749815e-03   5.687564e-22   1.000000e+02
4.793808e-03   8.536285e-22   1.000000e+02
4.838210e-03   1.265633e-21   1.000000e+02
4.883022e-03   1.851543e-21   1.000000e+02
4.928250e-03   2.669545e-21   1.000000e+02
4.973896e-03   3.788861e-21   1.000000e+02
5.019965e-03   5.287526e-21   1.000000e+02
5.066461e-03   7.254664e-21   1.000000e+02
