# Li9 + p > Be10 + g   [Li9_p__Be10_g]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=6.8365e+10 beta=1.5 gamma=-227.873  Q=19.6366
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.046265e-35   1.000000e+02
1.018610e-03   1.096250e-35   1.000000e+02
1.028045e-03   1.150287e-35   1.000000e+02
1.037567e-03   1.208743e-35   1.000000e+02
1.047177e-03   1.272025e-35   1.000000e+02
1.056876e-03   1.340582e-35   1.000000e+02
1.066665e-03   1.414915e-35   1.000000e+02
1.076545e-03   1.495576e-35   1.000000e+02
1.086516e-03   1.583181e-35   1.000000e+02
1.096579e-03   1.678414e-35   1.000000e+02
1.106736e-03   1.782037e-35   1.000000e+02
1.116987e-03   1.894898e-35   1.000000e+02
1.127333e-03   2.017945e-35   1.000000e+02
1.137774e-03   2.152233e-35   1.000000e+02
1.148312e-03   2.298944e-35   1.000000e+02
1.158948e-03   2.459401e-35   1.000000e+02
1.169683e-03   2.635084e-35   1.000000e+02
1.180517e-03   2.827655e-35   1.000000e+02
1.191451e-03   3.038980e-35   1.000000e+02
1.202486e-03   3.271155e-35   1.000000e+02
1.213624e-03   3.526541e-35   1.000000e+02
1.224865e-03   3.807796e-35   1.000000e+02
1.236210e-03   4.117921e-35   1.000000e+02
1.247660e-03   4.460303e-35   1.000000e+02
1.259216e-03   4.838775e-35   1.000000e+02
1.270879e-03   5.257673e-35   1.000000e+02
1.282650e-03   5.721916e-35   1.000000e+02
1.294530e-03   6.237085e-35   1.000000e+02
1.306520e-03   6.809522e-35   1.000000e+02
1.318621e-03   7.446444e-35   1.000000e+02
1.330835e-03   8.156073e-35   1.000000e+02
1.343161e-03   8.947789e-35   1.000000e+02
1.355602e-03   9.832304e-35   1.000000e+02
1.368158e-03   1.082187e-34   1.000000e+02
1.380830e-03   1.193052e-34   1.000000e+02
1.393619e-03   1.317435e-34   1.000000e+02
1.406527e-03   1.457183e-34   1.000000e+02
1.419555e-03   1.614421e-34   1.000000e+02
1.432703e-03   1.791594e-34   1.000000e+02
1.445973e-03   1.991522e-34   1.000000e+02
1.459366e-03   2.217461e-34   1.000000e+02
1.472883e-03   2.473175e-34   1.000000e+02
1.486525e-03   2.763019e-34   1.000000e+02
1.500293e-03   3.092046e-34   1.000000e+02
1.514189e-03   3.466120e-34   1.000000e+02
1.528214e-03   3.892057e-34   1.000000e+02
1.542369e-03   4.377794e-34   1.000000e+02
1.556654e-03   4.932585e-34   1.000000e+02
1.571072e-03   5.567235e-34   1.000000e+02
1.585624e-03   6.294376e-34   1.000000e+02
1.600310e-03   7.128801e-34   1.000000e+02
1.615133e-03   8.087861e-34   1.000000e+02
1.630092e-03   9.191929e-34   1.000000e+02
1.645191e-03   1.046497e-33   1.000000e+02
1.660429e-03   1.193522e-33   1.000000e+02
1.675808e-03   1.363597e-33   1.000000e+02
1.691330e-03   1.560658e-33   1.000000e+02
1.706995e-03   1.789361e-33   1.000000e+02
1.722805e-03   2.055224e-33   1.000000e+02
1.738762e-03   2.364799e-33   1.000000e+02
1.754867e-03   2.725871e-33   1.000000e+02
1.771121e-03   3.147713e-33   1.000000e+02
1.787526e-03   3.641382e-33   1.000000e+02
1.804082e-03   4.220084e-33   1.000000e+02
1.820792e-03   4.899620e-33   1.000000e+02
1.837656e-03   5.698919e-33   1.000000e+02
1.854677e-03   6.640702e-33   1.000000e+02
1.871855e-03   7.752281e-33   1.000000e+02
1.889193e-03   9.066539e-33   1.000000e+02
