# Li9 + p > He6 + a   [Li9_p__He6_a]   ref==li7pa
# detailed balance: alpha=1.8564 beta=0 gamma=-141.845  Q=12.2233
# T9                 rate                error
1.000000e-03   1.254600e-26   1.000000e+02
1.009262e-03   1.616750e-26   1.000000e+02
1.018610e-03   2.081813e-26   1.000000e+02
1.028045e-03   2.678566e-26   1.000000e+02
1.037567e-03   3.443706e-26   1.000000e+02
1.047177e-03   4.423982e-26   1.000000e+02
1.056876e-03   5.678912e-26   1.000000e+02
1.066665e-03   7.284208e-26   1.000000e+02
1.076545e-03   9.336105e-26   1.000000e+02
1.086516e-03   1.195683e-25   1.000000e+02
1.096579e-03   1.530152e-25   1.000000e+02
1.106736e-03   1.956687e-25   1.000000e+02
1.116987e-03   2.500218e-25   1.000000e+02
1.127333e-03   3.192308e-25   1.000000e+02
1.137774e-03   4.072893e-25   1.000000e+02
1.148312e-03   5.192460e-25   1.000000e+02
1.158948e-03   6.614792e-25   1.000000e+02
1.169683e-03   8.420404e-25   1.000000e+02
1.180517e-03   1.071086e-24   1.000000e+02
1.191451e-03   1.361416e-24   1.000000e+02
1.202486e-03   1.729155e-24   1.000000e+02
1.213624e-03   2.194593e-24   1.000000e+02
1.224865e-03   2.783248e-24   1.000000e+02
1.236210e-03   3.527187e-24   1.000000e+02
1.247660e-03   4.466679e-24   1.000000e+02
1.259216e-03   5.652250e-24   1.000000e+02
1.270879e-03   7.147255e-24   1.000000e+02
1.282650e-03   9.031070e-24   1.000000e+02
1.294530e-03   1.140308e-23   1.000000e+02
1.306520e-03   1.438761e-23   1.000000e+02
1.318621e-03   1.814011e-23   1.000000e+02
1.330835e-03   2.285476e-23   1.000000e+02
1.343161e-03   2.877395e-23   1.000000e+02
1.355602e-03   3.620008e-23   1.000000e+02
1.368158e-03   4.551007e-23   1.000000e+02
1.380830e-03   5.717343e-23   1.000000e+02
1.393619e-03   7.177457e-23   1.000000e+02
1.406527e-03   9.004040e-23   1.000000e+02
1.419555e-03   1.128744e-22   1.000000e+02
1.432703e-03   1.413988e-22   1.000000e+02
1.445973e-03   1.770063e-22   1.000000e+02
1.459366e-03   2.214245e-22   1.000000e+02
1.472883e-03   2.767944e-22   1.000000e+02
1.486525e-03   3.457676e-22   1.000000e+02
1.500293e-03   4.316260e-22   1.000000e+02
1.514189e-03   5.384286e-22   1.000000e+02
1.528214e-03   6.711916e-22   1.000000e+02
1.542369e-03   8.361106e-22   1.000000e+02
1.556654e-03   1.040832e-21   1.000000e+02
1.571072e-03   1.294786e-21   1.000000e+02
1.585624e-03   1.609595e-21   1.000000e+02
1.600310e-03   1.999574e-21   1.000000e+02
1.615133e-03   2.482340e-21   1.000000e+02
1.630092e-03   3.079562e-21   1.000000e+02
