# N12 + n > C11 + d   [N12_n__C11_d]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=0.20206 beta=0 gamma=-18.8387  Q=1.6234
# T9                 rate                error
1.000000e-03   1.882000e+07   1.000000e+02
1.009262e-03   1.881493e+07   1.000000e+02
1.018610e-03   1.880990e+07   1.000000e+02
1.028045e-03   1.880490e+07   1.000000e+02
1.037567e-03   1.879993e+07   1.000000e+02
1.047177e-03   1.879500e+07   1.000000e+02
1.056876e-03   1.879010e+07   1.000000e+02
1.066665e-03   1.878523e+07   1.000000e+02
1.076545e-03   1.878040e+07   1.000000e+02
1.086516e-03   1.877561e+07   1.000000e+02
1.096579e-03   1.877084e+07   1.000000e+02
1.106736e-03   1.876612e+07   1.000000e+02
1.116987e-03   1.876143e+07   1.000000e+02
1.127333e-03   1.875677e+07   1.000000e+02
1.137774e-03   1.875215e+07   1.000000e+02
1.148312e-03   1.874756e+07   1.000000e+02
1.158948e-03   1.874301e+07   1.000000e+02
1.169683e-03   1.873850e+07   1.000000e+02
1.180517e-03   1.873402e+07   1.000000e+02
1.191451e-03   1.872958e+07   1.000000e+02
1.202486e-03   1.872518e+07   1.000000e+02
1.213624e-03   1.872081e+07   1.000000e+02
1.224865e-03   1.871648e+07   1.000000e+02
1.236210e-03   1.871218e+07   1.000000e+02
1.247660e-03   1.870793e+07   1.000000e+02
1.259216e-03   1.870371e+07   1.000000e+02
1.270879e-03   1.869953e+07   1.000000e+02
1.282650e-03   1.869538e+07   1.000000e+02
1.294530e-03   1.869127e+07   1.000000e+02
1.306520e-03   1.868721e+07   1.000000e+02
1.318621e-03   1.868318e+07   1.000000e+02
1.330835e-03   1.867919e+07   1.000000e+02
1.343161e-03   1.867523e+07   1.000000e+02
1.355602e-03   1.867132e+07   1.000000e+02
1.368158e-03   1.866744e+07   1.000000e+02
1.380830e-03   1.866361e+07   1.000000e+02
1.393619e-03   1.865981e+07   1.000000e+02
1.406527e-03   1.865605e+07   1.000000e+02
1.419555e-03   1.865234e+07   1.000000e+02
1.432703e-03   1.864866e+07   1.000000e+02
1.445973e-03   1.864502e+07   1.000000e+02
1.459366e-03   1.864143e+07   1.000000e+02
1.472883e-03   1.863787e+07   1.000000e+02
1.486525e-03   1.863435e+07   1.000000e+02
1.500293e-03   1.863088e+07   1.000000e+02
1.514189e-03   1.862745e+07   1.000000e+02
1.528214e-03   1.862405e+07   1.000000e+02
1.542369e-03   1.862070e+07   1.000000e+02
1.556654e-03   1.861739e+07   1.000000e+02
1.571072e-03   1.861412e+07   1.000000e+02
1.585624e-03   1.861090e+07   1.000000e+02
1.600310e-03   1.860771e+07   1.000000e+02
1.615133e-03   1.860457e+07   1.000000e+02
1.630092e-03   1.860147e+07   1.000000e+02
1.645191e-03   1.859841e+07   1.000000e+02
1.660429e-03   1.859540e+07   1.000000e+02
1.675808e-03   1.859243e+07   1.000000e+02
1.691330e-03   1.858950e+07   1.000000e+02
1.706995e-03   1.858661e+07   1.000000e+02
1.722805e-03   1.858377e+07   1.000000e+02
1.738762e-03   1.858098e+07   1.000000e+02
1.754867e-03   1.857822e+07   1.000000e+02
1.771121e-03   1.857551e+07   1.000000e+02
1.787526e-03   1.857285e+07   1.000000e+02
1.804082e-03   1.857023e+07   1.000000e+02
1.820792e-03   1.856765e+07   1.000000e+02
1.837656e-03   1.856512e+07   1.000000e+02
1.854677e-03   1.856263e+07   1.000000e+02
1.871855e-03   1.856019e+07   1.000000e+02
1.889193e-03   1.855779e+07   1.000000e+02
1.906691e-03   1.855544e+07   1.000000e+02
1.924351e-03   1.855314e+07   1.000000e+02
1.942175e-03   1.855088e+07   1.000000e+02
1.960163e-03   1.854867e+07   1.000000e+02
1.978319e-03   1.854650e+07   1.000000e+02
1.996642e-03   1.854438e+07   1.000000e+02
2.015136e-03   1.854231e+07   1.000000e+02
2.033800e-03   1.854028e+07   1.000000e+02
2.052638e-03   1.853830e+07   1.000000e+02
2.071650e-03   1.853637e+07   1.000000e+02
2.090838e-03   1.853448e+07   1.000000e+02
2.110203e-03   1.853265e+07   1.000000e+02
2.129749e-03   1.853086e+07   1.000000e+02
2.149475e-03   1.852912e+07   1.000000e+02
2.169384e-03   1.852742e+07   1.000000e+02
2.189477e-03   1.852578e+07   1.000000e+02
2.209756e-03   1.852418e+07   1.000000e+02
2.230223e-03   1.852263e+07   1.000000e+02
2.250880e-03   1.852113e+07   1.000000e+02
2.271728e-03   1.851968e+07   1.000000e+02
2.292769e-03   1.851828e+07   1.000000e+02
2.314005e-03   1.851693e+07   1.000000e+02
2.335438e-03   1.851563e+07   1.000000e+02
2.357069e-03   1.851438e+07   1.000000e+02
2.378901e-03   1.851318e+07   1.000000e+02
2.400935e-03   1.851203e+07   1.000000e+02
