# N12 + n > N13 + g   [N12_n__N13_g]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=2.6642e+10 beta=1.5 gamma=-232.832  Q=20.0639
# T9                 rate                error
1.000000e-03   1.546200e+04   1.000000e+02
1.009262e-03   1.545784e+04   1.000000e+02
1.018610e-03   1.545370e+04   1.000000e+02
1.028045e-03   1.544959e+04   1.000000e+02
1.037567e-03   1.544551e+04   1.000000e+02
1.047177e-03   1.544146e+04   1.000000e+02
1.056876e-03   1.543743e+04   1.000000e+02
1.066665e-03   1.543343e+04   1.000000e+02
1.076545e-03   1.542946e+04   1.000000e+02
1.086516e-03   1.542551e+04   1.000000e+02
1.096579e-03   1.542160e+04   1.000000e+02
1.106736e-03   1.541771e+04   1.000000e+02
1.116987e-03   1.541385e+04   1.000000e+02
1.127333e-03   1.541002e+04   1.000000e+02
1.137774e-03   1.540622e+04   1.000000e+02
1.148312e-03   1.540245e+04   1.000000e+02
1.158948e-03   1.539870e+04   1.000000e+02
1.169683e-03   1.539499e+04   1.000000e+02
1.180517e-03   1.539130e+04   1.000000e+02
1.191451e-03   1.538764e+04   1.000000e+02
1.202486e-03   1.538402e+04   1.000000e+02
1.213624e-03   1.538042e+04   1.000000e+02
1.224865e-03   1.537685e+04   1.000000e+02
1.236210e-03   1.537331e+04   1.000000e+02
1.247660e-03   1.536981e+04   1.000000e+02
1.259216e-03   1.536633e+04   1.000000e+02
1.270879e-03   1.536288e+04   1.000000e+02
1.282650e-03   1.535946e+04   1.000000e+02
1.294530e-03   1.535608e+04   1.000000e+02
1.306520e-03   1.535272e+04   1.000000e+02
1.318621e-03   1.534940e+04   1.000000e+02
1.330835e-03   1.534611e+04   1.000000e+02
1.343161e-03   1.534285e+04   1.000000e+02
1.355602e-03   1.533962e+04   1.000000e+02
1.368158e-03   1.533642e+04   1.000000e+02
1.380830e-03   1.533325e+04   1.000000e+02
1.393619e-03   1.533012e+04   1.000000e+02
1.406527e-03   1.532701e+04   1.000000e+02
1.419555e-03   1.532394e+04   1.000000e+02
1.432703e-03   1.532090e+04   1.000000e+02
1.445973e-03   1.531790e+04   1.000000e+02
1.459366e-03   1.531492e+04   1.000000e+02
1.472883e-03   1.531198e+04   1.000000e+02
1.486525e-03   1.530908e+04   1.000000e+02
1.500293e-03   1.530620e+04   1.000000e+02
1.514189e-03   1.530336e+04   1.000000e+02
1.528214e-03   1.530055e+04   1.000000e+02
1.542369e-03   1.529778e+04   1.000000e+02
1.556654e-03   1.529504e+04   1.000000e+02
1.571072e-03   1.529233e+04   1.000000e+02
1.585624e-03   1.528966e+04   1.000000e+02
1.600310e-03   1.528702e+04   1.000000e+02
1.615133e-03   1.528442e+04   1.000000e+02
1.630092e-03   1.528185e+04   1.000000e+02
1.645191e-03   1.527931e+04   1.000000e+02
1.660429e-03   1.527681e+04   1.000000e+02
1.675808e-03   1.527434e+04   1.000000e+02
1.691330e-03   1.527191e+04   1.000000e+02
1.706995e-03   1.526952e+04   1.000000e+02
1.722805e-03   1.526716e+04   1.000000e+02
1.738762e-03   1.526483e+04   1.000000e+02
1.754867e-03   1.526254e+04   1.000000e+02
1.771121e-03   1.526029e+04   1.000000e+02
1.787526e-03   1.525807e+04   1.000000e+02
1.804082e-03   1.525589e+04   1.000000e+02
1.820792e-03   1.525375e+04   1.000000e+02
