# N14 + n > C14 + p   [N14_n__C14_p]   ref=Caughlan& Fowler 1988
# forward[T9] = With[{T912=T9^(1/2)},( 7.19*^5*(1.+.361*T912+.502*T9)+3.34*^8/T912*Exp[-4.983/T9])*.333]   uncertainty factor f = 3
# T9                 rate                error
1.000000e-03   2.422804e+05   3.000000e+00
1.009262e-03   2.422942e+05   3.000000e+00
1.018610e-03   2.423080e+05   3.000000e+00
1.028045e-03   2.423219e+05   3.000000e+00
1.037567e-03   2.423358e+05   3.000000e+00
1.047177e-03   2.423498e+05   3.000000e+00
1.056876e-03   2.423639e+05   3.000000e+00
1.066665e-03   2.423781e+05   3.000000e+00
1.076545e-03   2.423923e+05   3.000000e+00
1.086516e-03   2.424066e+05   3.000000e+00
1.096579e-03   2.424210e+05   3.000000e+00
1.106736e-03   2.424354e+05   3.000000e+00
1.116987e-03   2.424500e+05   3.000000e+00
1.127333e-03   2.424646e+05   3.000000e+00
1.137774e-03   2.424792e+05   3.000000e+00
1.148312e-03   2.424940e+05   3.000000e+00
1.158948e-03   2.425088e+05   3.000000e+00
1.169683e-03   2.425237e+05   3.000000e+00
1.180517e-03   2.425386e+05   3.000000e+00
1.191451e-03   2.425537e+05   3.000000e+00
1.202486e-03   2.425688e+05   3.000000e+00
1.213624e-03   2.425839e+05   3.000000e+00
1.224865e-03   2.425992e+05   3.000000e+00
1.236210e-03   2.426146e+05   3.000000e+00
1.247660e-03   2.426300e+05   3.000000e+00
1.259216e-03   2.426455e+05   3.000000e+00
1.270879e-03   2.426610e+05   3.000000e+00
1.282650e-03   2.426767e+05   3.000000e+00
1.294530e-03   2.426924e+05   3.000000e+00
1.306520e-03   2.427082e+05   3.000000e+00
1.318621e-03   2.427241e+05   3.000000e+00
1.330835e-03   2.427401e+05   3.000000e+00
1.343161e-03   2.427561e+05   3.000000e+00
1.355602e-03   2.427723e+05   3.000000e+00
1.368158e-03   2.427885e+05   3.000000e+00
1.380830e-03   2.428048e+05   3.000000e+00
1.393619e-03   2.428212e+05   3.000000e+00
1.406527e-03   2.428376e+05   3.000000e+00
1.419555e-03   2.428542e+05   3.000000e+00
1.432703e-03   2.428708e+05   3.000000e+00
1.445973e-03   2.428875e+05   3.000000e+00
