# N15 + p > O16 + g   [N15_p__O16_g]   ref=NACRE, Xu et al. 2010, 2011
# detailed balance: alpha=3.6271e+10 beta=1.5 gamma=-140.733  Q=12.1274
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+00
1.009262e-03   9.514099e-36   1.000000e+00
1.018610e-03   9.071513e-36   1.000000e+00
1.028045e-03   8.668051e-36   1.000000e+00
1.037567e-03   8.299998e-36   1.000000e+00
1.047177e-03   7.964060e-36   1.000000e+00
1.056876e-03   7.657311e-36   1.000000e+00
1.066665e-03   7.377147e-36   1.000000e+00
1.076545e-03   7.121249e-36   1.000000e+00
1.086516e-03   6.887549e-36   1.000000e+00
1.096579e-03   6.674200e-36   1.000000e+00
1.106736e-03   6.479551e-36   1.000000e+00
1.116987e-03   6.302124e-36   1.000000e+00
1.127333e-03   6.140596e-36   1.000000e+00
1.137774e-03   5.993781e-36   1.000000e+00
1.148312e-03   5.860614e-36   1.000000e+00
1.158948e-03   5.740141e-36   1.000000e+00
1.169683e-03   5.631502e-36   1.000000e+00
1.180517e-03   5.533928e-36   1.000000e+00
1.191451e-03   5.446726e-36   1.000000e+00
1.202486e-03   5.369271e-36   1.000000e+00
1.213624e-03   5.301006e-36   1.000000e+00
1.224865e-03   5.241427e-36   1.000000e+00
1.236210e-03   5.190083e-36   1.000000e+00
1.247660e-03   5.146568e-36   1.000000e+00
1.259216e-03   5.110518e-36   1.000000e+00
1.270879e-03   5.081609e-36   1.000000e+00
1.282650e-03   5.059549e-36   1.000000e+00
1.294530e-03   5.044078e-36   1.000000e+00
1.306520e-03   5.034965e-36   1.000000e+00
1.318621e-03   5.032004e-36   1.000000e+00
1.330835e-03   5.035011e-36   1.000000e+00
1.343161e-03   5.043826e-36   1.000000e+00
1.355602e-03   5.058308e-36   1.000000e+00
1.368158e-03   5.078330e-36   1.000000e+00
1.380830e-03   5.103786e-36   1.000000e+00
1.393619e-03   5.134580e-36   1.000000e+00
1.406527e-03   5.170631e-36   1.000000e+00
1.419555e-03   5.211870e-36   1.000000e+00
1.432703e-03   5.258237e-36   1.000000e+00
