# Na20 + n > F17 + a   [Na20_n__F17_a]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=0.26914 beta=0 gamma=-122.343  Q=10.5427
# T9                 rate                error
1.000000e-03   5.867900e+07   1.000000e+02
1.009262e-03   5.866592e+07   1.000000e+02
1.018610e-03   5.865297e+07   1.000000e+02
1.028045e-03   5.864015e+07   1.000000e+02
1.037567e-03   5.862747e+07   1.000000e+02
1.047177e-03   5.861492e+07   1.000000e+02
1.056876e-03   5.860250e+07   1.000000e+02
1.066665e-03   5.859022e+07   1.000000e+02
1.076545e-03   5.857807e+07   1.000000e+02
1.086516e-03   5.856605e+07   1.000000e+02
1.096579e-03   5.855417e+07   1.000000e+02
1.106736e-03   5.854243e+07   1.000000e+02
1.116987e-03   5.853083e+07   1.000000e+02
1.127333e-03   5.851936e+07   1.000000e+02
1.137774e-03   5.850803e+07   1.000000e+02
1.148312e-03   5.849684e+07   1.000000e+02
1.158948e-03   5.848579e+07   1.000000e+02
1.169683e-03   5.847488e+07   1.000000e+02
1.180517e-03   5.846411e+07   1.000000e+02
1.191451e-03   5.845348e+07   1.000000e+02
1.202486e-03   5.844299e+07   1.000000e+02
1.213624e-03   5.843265e+07   1.000000e+02
1.224865e-03   5.842244e+07   1.000000e+02
1.236210e-03   5.841238e+07   1.000000e+02
1.247660e-03   5.840247e+07   1.000000e+02
1.259216e-03   5.839270e+07   1.000000e+02
1.270879e-03   5.838307e+07   1.000000e+02
1.282650e-03   5.837359e+07   1.000000e+02
1.294530e-03   5.836426e+07   1.000000e+02
1.306520e-03   5.835507e+07   1.000000e+02
1.318621e-03   5.834603e+07   1.000000e+02
1.330835e-03   5.833714e+07   1.000000e+02
1.343161e-03   5.832839e+07   1.000000e+02
1.355602e-03   5.831980e+07   1.000000e+02
1.368158e-03   5.831135e+07   1.000000e+02
1.380830e-03   5.830306e+07   1.000000e+02
1.393619e-03   5.829491e+07   1.000000e+02
1.406527e-03   5.828692e+07   1.000000e+02
1.419555e-03   5.827908e+07   1.000000e+02
1.432703e-03   5.827139e+07   1.000000e+02
1.445973e-03   5.826386e+07   1.000000e+02
1.459366e-03   5.825648e+07   1.000000e+02
1.472883e-03   5.824925e+07   1.000000e+02
1.486525e-03   5.824218e+07   1.000000e+02
1.500293e-03   5.823526e+07   1.000000e+02
1.514189e-03   5.822850e+07   1.000000e+02
1.528214e-03   5.822190e+07   1.000000e+02
1.542369e-03   5.821545e+07   1.000000e+02
1.556654e-03   5.820917e+07   1.000000e+02
1.571072e-03   5.820304e+07   1.000000e+02
1.585624e-03   5.819707e+07   1.000000e+02
1.600310e-03   5.819126e+07   1.000000e+02
1.615133e-03   5.818561e+07   1.000000e+02
1.630092e-03   5.818012e+07   1.000000e+02
1.645191e-03   5.817479e+07   1.000000e+02
1.660429e-03   5.816963e+07   1.000000e+02
1.675808e-03   5.816462e+07   1.000000e+02
1.691330e-03   5.815978e+07   1.000000e+02
1.706995e-03   5.815511e+07   1.000000e+02
1.722805e-03   5.815060e+07   1.000000e+02
1.738762e-03   5.814625e+07   1.000000e+02
1.754867e-03   5.814207e+07   1.000000e+02
1.771121e-03   5.813806e+07   1.000000e+02
1.787526e-03   5.813421e+07   1.000000e+02
1.804082e-03   5.813053e+07   1.000000e+02
1.820792e-03   5.812702e+07   1.000000e+02
1.837656e-03   5.812368e+07   1.000000e+02
1.854677e-03   5.812051e+07   1.000000e+02
1.871855e-03   5.811751e+07   1.000000e+02
1.889193e-03   5.811468e+07   1.000000e+02
1.906691e-03   5.811202e+07   1.000000e+02
1.924351e-03   5.810953e+07   1.000000e+02
1.942175e-03   5.810721e+07   1.000000e+02
1.960163e-03   5.810507e+07   1.000000e+02
1.978319e-03   5.810310e+07   1.000000e+02
1.996642e-03   5.810131e+07   1.000000e+02
2.015136e-03   5.809969e+07   1.000000e+02
2.033800e-03   5.809825e+07   1.000000e+02
2.052638e-03   5.809698e+07   1.000000e+02
2.071650e-03   5.809589e+07   1.000000e+02
2.090838e-03   5.809498e+07   1.000000e+02
2.110203e-03   5.809424e+07   1.000000e+02
2.129749e-03   5.809369e+07   1.000000e+02
2.149475e-03   5.809331e+07   1.000000e+02
2.169384e-03   5.809312e+07   1.000000e+02
