# Ne18 + n > O15 + a   [Ne18_n__O15_a]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=0.16632 beta=0 gamma=-94.089  Q=8.108
# T9                 rate                error
1.000000e-03   9.458100e+07   1.000000e+02
1.009262e-03   9.455825e+07   1.000000e+02
1.018610e-03   9.453569e+07   1.000000e+02
1.028045e-03   9.451334e+07   1.000000e+02
1.037567e-03   9.449119e+07   1.000000e+02
1.047177e-03   9.446923e+07   1.000000e+02
1.056876e-03   9.444748e+07   1.000000e+02
1.066665e-03   9.442593e+07   1.000000e+02
1.076545e-03   9.440459e+07   1.000000e+02
1.086516e-03   9.438345e+07   1.000000e+02
1.096579e-03   9.436251e+07   1.000000e+02
1.106736e-03   9.434178e+07   1.000000e+02
1.116987e-03   9.432126e+07   1.000000e+02
1.127333e-03   9.430095e+07   1.000000e+02
1.137774e-03   9.428084e+07   1.000000e+02
1.148312e-03   9.426095e+07   1.000000e+02
1.158948e-03   9.424126e+07   1.000000e+02
1.169683e-03   9.422179e+07   1.000000e+02
1.180517e-03   9.420252e+07   1.000000e+02
1.191451e-03   9.418347e+07   1.000000e+02
1.202486e-03   9.416464e+07   1.000000e+02
1.213624e-03   9.414602e+07   1.000000e+02
1.224865e-03   9.412761e+07   1.000000e+02
1.236210e-03   9.410942e+07   1.000000e+02
1.247660e-03   9.409145e+07   1.000000e+02
1.259216e-03   9.407370e+07   1.000000e+02
1.270879e-03   9.405616e+07   1.000000e+02
1.282650e-03   9.403884e+07   1.000000e+02
1.294530e-03   9.402175e+07   1.000000e+02
1.306520e-03   9.400488e+07   1.000000e+02
1.318621e-03   9.398822e+07   1.000000e+02
1.330835e-03   9.397180e+07   1.000000e+02
1.343161e-03   9.395559e+07   1.000000e+02
1.355602e-03   9.393961e+07   1.000000e+02
1.368158e-03   9.392386e+07   1.000000e+02
1.380830e-03   9.390833e+07   1.000000e+02
1.393619e-03   9.389303e+07   1.000000e+02
1.406527e-03   9.387796e+07   1.000000e+02
1.419555e-03   9.386312e+07   1.000000e+02
1.432703e-03   9.384850e+07   1.000000e+02
1.445973e-03   9.383412e+07   1.000000e+02
1.459366e-03   9.381997e+07   1.000000e+02
1.472883e-03   9.380605e+07   1.000000e+02
1.486525e-03   9.379237e+07   1.000000e+02
1.500293e-03   9.377892e+07   1.000000e+02
1.514189e-03   9.376571e+07   1.000000e+02
1.528214e-03   9.375273e+07   1.000000e+02
1.542369e-03   9.373999e+07   1.000000e+02
1.556654e-03   9.372748e+07   1.000000e+02
1.571072e-03   9.371522e+07   1.000000e+02
1.585624e-03   9.370319e+07   1.000000e+02
1.600310e-03   9.369141e+07   1.000000e+02
1.615133e-03   9.367986e+07   1.000000e+02
1.630092e-03   9.366856e+07   1.000000e+02
1.645191e-03   9.365750e+07   1.000000e+02
1.660429e-03   9.364669e+07   1.000000e+02
1.675808e-03   9.363612e+07   1.000000e+02
1.691330e-03   9.362580e+07   1.000000e+02
1.706995e-03   9.361572e+07   1.000000e+02
1.722805e-03   9.360589e+07   1.000000e+02
1.738762e-03   9.359631e+07   1.000000e+02
1.754867e-03   9.358698e+07   1.000000e+02
1.771121e-03   9.357790e+07   1.000000e+02
1.787526e-03   9.356907e+07   1.000000e+02
1.804082e-03   9.356049e+07   1.000000e+02
1.820792e-03   9.355216e+07   1.000000e+02
1.837656e-03   9.354409e+07   1.000000e+02
1.854677e-03   9.353627e+07   1.000000e+02
1.871855e-03   9.352871e+07   1.000000e+02
1.889193e-03   9.352141e+07   1.000000e+02
1.906691e-03   9.351436e+07   1.000000e+02
1.924351e-03   9.350757e+07   1.000000e+02
1.942175e-03   9.350104e+07   1.000000e+02
1.960163e-03   9.349477e+07   1.000000e+02
1.978319e-03   9.348877e+07   1.000000e+02
1.996642e-03   9.348302e+07   1.000000e+02
2.015136e-03   9.347754e+07   1.000000e+02
2.033800e-03   9.347232e+07   1.000000e+02
2.052638e-03   9.346736e+07   1.000000e+02
2.071650e-03   9.346267e+07   1.000000e+02
2.090838e-03   9.345825e+07   1.000000e+02
2.110203e-03   9.345409e+07   1.000000e+02
2.129749e-03   9.345021e+07   1.000000e+02
2.149475e-03   9.344659e+07   1.000000e+02
2.169384e-03   9.344324e+07   1.000000e+02
2.189477e-03   9.344017e+07   1.000000e+02
2.209756e-03   9.343737e+07   1.000000e+02
2.230223e-03   9.343484e+07   1.000000e+02
2.250880e-03   9.343258e+07   1.000000e+02
2.271728e-03   9.343060e+07   1.000000e+02
2.292769e-03   9.342889e+07   1.000000e+02
2.314005e-03   9.342747e+07   1.000000e+02
2.335438e-03   9.342632e+07   1.000000e+02
2.357069e-03   9.342545e+07   1.000000e+02
2.378901e-03   9.342485e+07   1.000000e+02
2.400935e-03   9.342454e+07   1.000000e+02
2.423173e-03   9.342452e+07   1.000000e+02
2.445617e-03   9.342477e+07   1.000000e+02
2.468268e-03   9.342531e+07   1.000000e+02
2.491130e-03   9.342613e+07   1.000000e+02
2.514203e-03   9.342724e+07   1.000000e+02
2.537490e-03   9.342863e+07   1.000000e+02
2.560993e-03   9.343032e+07   1.000000e+02
2.584714e-03   9.343229e+07   1.000000e+02
2.608654e-03   9.343455e+07   1.000000e+02
2.632815e-03   9.343710e+07   1.000000e+02
2.657201e-03   9.343994e+07   1.000000e+02
2.681813e-03   9.344308e+07   1.000000e+02
2.706652e-03   9.344651e+07   1.000000e+02
2.731722e-03   9.345023e+07   1.000000e+02
2.757023e-03   9.345425e+07   1.000000e+02
2.782559e-03   9.345856e+07   1.000000e+02
2.808332e-03   9.346318e+07   1.000000e+02
2.834343e-03   9.346809e+07   1.000000e+02
2.860596e-03   9.347330e+07   1.000000e+02
2.887091e-03   9.347881e+07   1.000000e+02
2.913832e-03   9.348463e+07   1.000000e+02
2.940820e-03   9.349074e+07   1.000000e+02
2.968059e-03   9.349716e+07   1.000000e+02
2.995549e-03   9.350389e+07   1.000000e+02
3.023295e-03   9.351093e+07   1.000000e+02
3.051297e-03   9.351841e+07   1.000000e+02
3.079559e-03   9.352648e+07   1.000000e+02
3.108082e-03   9.353529e+07   1.000000e+02
3.136870e-03   9.354499e+07   1.000000e+02
3.165924e-03   9.355574e+07   1.000000e+02
3.195248e-03   9.356769e+07   1.000000e+02
3.224842e-03   9.358099e+07   1.000000e+02
3.254712e-03   9.359580e+07   1.000000e+02
3.284857e-03   9.361227e+07   1.000000e+02
3.315282e-03   9.363055e+07   1.000000e+02
3.345989e-03   9.365081e+07   1.000000e+02
3.376980e-03   9.367319e+07   1.000000e+02
3.408259e-03   9.369784e+07   1.000000e+02
3.439826e-03   9.372494e+07   1.000000e+02
3.471687e-03   9.375461e+07   1.000000e+02
3.503842e-03   9.378704e+07   1.000000e+02
3.536296e-03   9.382236e+07   1.000000e+02
3.569049e-03   9.386075e+07   1.000000e+02
3.602107e-03   9.390235e+07   1.000000e+02
3.635470e-03   9.394732e+07   1.000000e+02
3.669142e-03   9.399582e+07   1.000000e+02
3.703127e-03   9.404801e+07   1.000000e+02
3.737426e-03   9.410406e+07   1.000000e+02
3.772042e-03   9.416411e+07   1.000000e+02
3.806980e-03   9.422834e+07   1.000000e+02
3.842241e-03   9.429690e+07   1.000000e+02
3.877828e-03   9.436997e+07   1.000000e+02
3.913746e-03   9.444770e+07   1.000000e+02
3.949995e-03   9.453025e+07   1.000000e+02
3.986581e-03   9.461781e+07   1.000000e+02
4.023506e-03   9.471050e+07   1.000000e+02
4.060772e-03   9.480803e+07   1.000000e+02
4.098384e-03   9.490981e+07   1.000000e+02
4.136344e-03   9.501524e+07   1.000000e+02
4.174655e-03   9.512370e+07   1.000000e+02
4.213322e-03   9.523460e+07   1.000000e+02
4.252346e-03   9.534733e+07   1.000000e+02
4.291732e-03   9.546127e+07   1.000000e+02
4.331483e-03   9.557580e+07   1.000000e+02
4.371602e-03   9.569032e+07   1.000000e+02
4.412093e-03   9.580420e+07   1.000000e+02
4.452959e-03   9.591681e+07   1.000000e+02
4.494203e-03   9.602753e+07   1.000000e+02
4.535829e-03   9.613573e+07   1.000000e+02
4.577841e-03   9.624078e+07   1.000000e+02
4.620241e-03   9.634204e+07   1.000000e+02
4.663035e-03   9.643887e+07   1.000000e+02
4.706225e-03   9.653064e+07   1.000000e+02
4.749815e-03   9.661671e+07   1.000000e+02
4.793808e-03   9.669643e+07   1.000000e+02
4.838210e-03   9.676917e+07   1.000000e+02
4.883022e-03   9.683427e+07   1.000000e+02
4.928250e-03   9.689110e+07   1.000000e+02
4.973896e-03   9.693901e+07   1.000000e+02
5.019965e-03   9.697738e+07   1.000000e+02
5.066461e-03   9.700613e+07   1.000000e+02
5.113388e-03   9.702582e+07   1.000000e+02
5.160749e-03   9.703706e+07   1.000000e+02
5.208549e-03   9.704046e+07   1.000000e+02
