# O14 + n > N14 + p   [O14_n__N14_p]   ref=Caughlan& Fowler 1988
# forward[T9] = With[{T912=T9^(1/2)},(6.74*^7*(1.+0.658*T912+0.379*T9)*2.99 )]   uncertainty factor f = 3
# T9                 rate                error
1.000000e-03   2.057957e+08   3.000000e+00
1.009262e-03   2.058158e+08   3.000000e+00
1.018610e-03   2.058359e+08   3.000000e+00
1.028045e-03   2.058562e+08   3.000000e+00
1.037567e-03   2.058766e+08   3.000000e+00
1.047177e-03   2.058971e+08   3.000000e+00
1.056876e-03   2.059176e+08   3.000000e+00
1.066665e-03   2.059383e+08   3.000000e+00
1.076545e-03   2.059591e+08   3.000000e+00
1.086516e-03   2.059799e+08   3.000000e+00
1.096579e-03   2.060009e+08   3.000000e+00
1.106736e-03   2.060220e+08   3.000000e+00
1.116987e-03   2.060431e+08   3.000000e+00
1.127333e-03   2.060644e+08   3.000000e+00
1.137774e-03   2.060858e+08   3.000000e+00
1.148312e-03   2.061072e+08   3.000000e+00
1.158948e-03   2.061288e+08   3.000000e+00
1.169683e-03   2.061505e+08   3.000000e+00
1.180517e-03   2.061723e+08   3.000000e+00
1.191451e-03   2.061941e+08   3.000000e+00
1.202486e-03   2.062161e+08   3.000000e+00
1.213624e-03   2.062382e+08   3.000000e+00
1.224865e-03   2.062604e+08   3.000000e+00
1.236210e-03   2.062827e+08   3.000000e+00
1.247660e-03   2.063052e+08   3.000000e+00
1.259216e-03   2.063277e+08   3.000000e+00
1.270879e-03   2.063503e+08   3.000000e+00
1.282650e-03   2.063731e+08   3.000000e+00
1.294530e-03   2.063959e+08   3.000000e+00
1.306520e-03   2.064189e+08   3.000000e+00
1.318621e-03   2.064419e+08   3.000000e+00
1.330835e-03   2.064651e+08   3.000000e+00
1.343161e-03   2.064884e+08   3.000000e+00
1.355602e-03   2.065118e+08   3.000000e+00
1.368158e-03   2.065353e+08   3.000000e+00
1.380830e-03   2.065590e+08   3.000000e+00
1.393619e-03   2.065827e+08   3.000000e+00
1.406527e-03   2.066066e+08   3.000000e+00
1.419555e-03   2.066305e+08   3.000000e+00
1.432703e-03   2.066546e+08   3.000000e+00
1.445973e-03   2.066788e+08   3.000000e+00
1.459366e-03   2.067032e+08   3.000000e+00
1.472883e-03   2.067276e+08   3.000000e+00
1.486525e-03   2.067522e+08   3.000000e+00
1.500293e-03   2.067768e+08   3.000000e+00
1.514189e-03   2.068016e+08   3.000000e+00
1.528214e-03   2.068265e+08   3.000000e+00
1.542369e-03   2.068516e+08   3.000000e+00
1.556654e-03   2.068767e+08   3.000000e+00
1.571072e-03   2.069020e+08   3.000000e+00
1.585624e-03   2.069274e+08   3.000000e+00
1.600310e-03   2.069529e+08   3.000000e+00
1.615133e-03   2.069785e+08   3.000000e+00
1.630092e-03   2.070043e+08   3.000000e+00
1.645191e-03   2.070302e+08   3.000000e+00
1.660429e-03   2.070562e+08   3.000000e+00
1.675808e-03   2.070824e+08   3.000000e+00
1.691330e-03   2.071086e+08   3.000000e+00
1.706995e-03   2.071350e+08   3.000000e+00
1.722805e-03   2.071615e+08   3.000000e+00
1.738762e-03   2.071882e+08   3.000000e+00
1.754867e-03   2.072150e+08   3.000000e+00
1.771121e-03   2.072419e+08   3.000000e+00
1.787526e-03   2.072689e+08   3.000000e+00
1.804082e-03   2.072961e+08   3.000000e+00
1.820792e-03   2.073234e+08   3.000000e+00
1.837656e-03   2.073508e+08   3.000000e+00
1.854677e-03   2.073784e+08   3.000000e+00
1.871855e-03   2.074061e+08   3.000000e+00
1.889193e-03   2.074339e+08   3.000000e+00
1.906691e-03   2.074619e+08   3.000000e+00
1.924351e-03   2.074900e+08   3.000000e+00
1.942175e-03   2.075182e+08   3.000000e+00
1.960163e-03   2.075466e+08   3.000000e+00
1.978319e-03   2.075751e+08   3.000000e+00
1.996642e-03   2.076038e+08   3.000000e+00
2.015136e-03   2.076325e+08   3.000000e+00
2.033800e-03   2.076615e+08   3.000000e+00
