# O15 + n > C12 + a   [O15_n__C12_a]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=0.7074 beta=0 gamma=-98.6615  Q=8.502
# T9                 rate                error
1.000000e-03   4.355600e+08   1.000000e+02
1.009262e-03   4.354298e+08   1.000000e+02
1.018610e-03   4.353003e+08   1.000000e+02
1.028045e-03   4.351715e+08   1.000000e+02
1.037567e-03   4.350434e+08   1.000000e+02
1.047177e-03   4.349159e+08   1.000000e+02
1.056876e-03   4.347892e+08   1.000000e+02
1.066665e-03   4.346632e+08   1.000000e+02
1.076545e-03   4.345379e+08   1.000000e+02
1.086516e-03   4.344133e+08   1.000000e+02
1.096579e-03   4.342894e+08   1.000000e+02
1.106736e-03   4.341663e+08   1.000000e+02
1.116987e-03   4.340438e+08   1.000000e+02
1.127333e-03   4.339221e+08   1.000000e+02
1.137774e-03   4.338012e+08   1.000000e+02
1.148312e-03   4.336809e+08   1.000000e+02
1.158948e-03   4.335614e+08   1.000000e+02
1.169683e-03   4.334427e+08   1.000000e+02
1.180517e-03   4.333247e+08   1.000000e+02
1.191451e-03   4.332074e+08   1.000000e+02
1.202486e-03   4.330909e+08   1.000000e+02
1.213624e-03   4.329752e+08   1.000000e+02
1.224865e-03   4.328602e+08   1.000000e+02
1.236210e-03   4.327460e+08   1.000000e+02
1.247660e-03   4.326326e+08   1.000000e+02
1.259216e-03   4.325200e+08   1.000000e+02
1.270879e-03   4.324081e+08   1.000000e+02
1.282650e-03   4.322970e+08   1.000000e+02
1.294530e-03   4.321867e+08   1.000000e+02
1.306520e-03   4.320772e+08   1.000000e+02
1.318621e-03   4.319685e+08   1.000000e+02
1.330835e-03   4.318606e+08   1.000000e+02
1.343161e-03   4.317535e+08   1.000000e+02
1.355602e-03   4.316472e+08   1.000000e+02
1.368158e-03   4.315417e+08   1.000000e+02
1.380830e-03   4.314370e+08   1.000000e+02
1.393619e-03   4.313331e+08   1.000000e+02
1.406527e-03   4.312301e+08   1.000000e+02
1.419555e-03   4.311279e+08   1.000000e+02
1.432703e-03   4.310265e+08   1.000000e+02
1.445973e-03   4.309259e+08   1.000000e+02
1.459366e-03   4.308262e+08   1.000000e+02
1.472883e-03   4.307273e+08   1.000000e+02
1.486525e-03   4.306293e+08   1.000000e+02
1.500293e-03   4.305321e+08   1.000000e+02
1.514189e-03   4.304358e+08   1.000000e+02
1.528214e-03   4.303404e+08   1.000000e+02
1.542369e-03   4.302458e+08   1.000000e+02
1.556654e-03   4.301520e+08   1.000000e+02
1.571072e-03   4.300592e+08   1.000000e+02
1.585624e-03   4.299672e+08   1.000000e+02
1.600310e-03   4.298760e+08   1.000000e+02
1.615133e-03   4.297858e+08   1.000000e+02
1.630092e-03   4.296965e+08   1.000000e+02
1.645191e-03   4.296080e+08   1.000000e+02
1.660429e-03   4.295204e+08   1.000000e+02
1.675808e-03   4.294337e+08   1.000000e+02
1.691330e-03   4.293480e+08   1.000000e+02
1.706995e-03   4.292631e+08   1.000000e+02
1.722805e-03   4.291791e+08   1.000000e+02
1.738762e-03   4.290961e+08   1.000000e+02
1.754867e-03   4.290139e+08   1.000000e+02
1.771121e-03   4.289327e+08   1.000000e+02
1.787526e-03   4.288524e+08   1.000000e+02
1.804082e-03   4.287731e+08   1.000000e+02
1.820792e-03   4.286947e+08   1.000000e+02
1.837656e-03   4.286172e+08   1.000000e+02
1.854677e-03   4.285406e+08   1.000000e+02
1.871855e-03   4.284650e+08   1.000000e+02
1.889193e-03   4.283903e+08   1.000000e+02
1.906691e-03   4.283166e+08   1.000000e+02
1.924351e-03   4.282439e+08   1.000000e+02
1.942175e-03   4.281721e+08   1.000000e+02
1.960163e-03   4.281012e+08   1.000000e+02
1.978319e-03   4.280313e+08   1.000000e+02
1.996642e-03   4.279625e+08   1.000000e+02
2.015136e-03   4.278945e+08   1.000000e+02
2.033800e-03   4.278276e+08   1.000000e+02
2.052638e-03   4.277616e+08   1.000000e+02
2.071650e-03   4.276967e+08   1.000000e+02
2.090838e-03   4.276327e+08   1.000000e+02
2.110203e-03   4.275697e+08   1.000000e+02
2.129749e-03   4.275077e+08   1.000000e+02
2.149475e-03   4.274467e+08   1.000000e+02
2.169384e-03   4.273867e+08   1.000000e+02
2.189477e-03   4.273278e+08   1.000000e+02
2.209756e-03   4.272698e+08   1.000000e+02
2.230223e-03   4.272129e+08   1.000000e+02
2.250880e-03   4.271570e+08   1.000000e+02
2.271728e-03   4.271021e+08   1.000000e+02
