# O17 + a > Ne21 + g   [O17_a__Ne21_g]   ref=Caughlan& Fowler 1988
# detailed balance: alpha=8.6369e+10 beta=1.5 gamma=-85.2686  Q=7.3479
# T9                 rate                error
1.000000e-03   9.990000e-100   1.000000e+00
1.009262e-03   1.005027e-99   1.000000e+00
1.018610e-03   1.010825e-99   1.000000e+00
1.028045e-03   1.016394e-99   1.000000e+00
1.037567e-03   1.021734e-99   1.000000e+00
1.047177e-03   1.026844e-99   1.000000e+00
1.056876e-03   1.031727e-99   1.000000e+00
1.066665e-03   1.036381e-99   1.000000e+00
1.076545e-03   1.040809e-99   1.000000e+00
1.086516e-03   1.045011e-99   1.000000e+00
1.096579e-03   1.048990e-99   1.000000e+00
1.106736e-03   1.052746e-99   1.000000e+00
1.116987e-03   1.056282e-99   1.000000e+00
1.127333e-03   1.059599e-99   1.000000e+00
1.137774e-03   1.062700e-99   1.000000e+00
1.148312e-03   1.065587e-99   1.000000e+00
1.158948e-03   1.068263e-99   1.000000e+00
1.169683e-03   1.070731e-99   1.000000e+00
1.180517e-03   1.072994e-99   1.000000e+00
1.191451e-03   1.075054e-99   1.000000e+00
1.202486e-03   1.076915e-99   1.000000e+00
1.213624e-03   1.078580e-99   1.000000e+00
1.224865e-03   1.080053e-99   1.000000e+00
1.236210e-03   1.081338e-99   1.000000e+00
1.247660e-03   1.082438e-99   1.000000e+00
1.259216e-03   1.083357e-99   1.000000e+00
1.270879e-03   1.084100e-99   1.000000e+00
1.282650e-03   1.084669e-99   1.000000e+00
1.294530e-03   1.085071e-99   1.000000e+00
1.306520e-03   1.085308e-99   1.000000e+00
1.318621e-03   1.085385e-99   1.000000e+00
1.330835e-03   1.085306e-99   1.000000e+00
1.343161e-03   1.085077e-99   1.000000e+00
1.355602e-03   1.084702e-99   1.000000e+00
1.368158e-03   1.084184e-99   1.000000e+00
1.380830e-03   1.083530e-99   1.000000e+00
1.393619e-03   1.082743e-99   1.000000e+00
1.406527e-03   1.081828e-99   1.000000e+00
1.419555e-03   1.080791e-99   1.000000e+00
1.432703e-03   1.079636e-99   1.000000e+00
1.445973e-03   1.078367e-99   1.000000e+00
1.459366e-03   1.076990e-99   1.000000e+00
1.472883e-03   1.075509e-99   1.000000e+00
1.486525e-03   1.073930e-99   1.000000e+00
1.500293e-03   1.072257e-99   1.000000e+00
1.514189e-03   1.070495e-99   1.000000e+00
1.528214e-03   1.068649e-99   1.000000e+00
1.542369e-03   1.066723e-99   1.000000e+00
1.556654e-03   1.064723e-99   1.000000e+00
1.571072e-03   1.062653e-99   1.000000e+00
1.585624e-03   1.060519e-99   1.000000e+00
1.600310e-03   1.058324e-99   1.000000e+00
1.615133e-03   1.056074e-99   1.000000e+00
1.630092e-03   1.053773e-99   1.000000e+00
1.645191e-03   1.051426e-99   1.000000e+00
1.660429e-03   1.049038e-99   1.000000e+00
1.675808e-03   1.046613e-99   1.000000e+00
1.691330e-03   1.044156e-99   1.000000e+00
1.706995e-03   1.041671e-99   1.000000e+00
1.722805e-03   1.039164e-99   1.000000e+00
1.738762e-03   1.036637e-99   1.000000e+00
1.754867e-03   1.034097e-99   1.000000e+00
1.771121e-03   1.031546e-99   1.000000e+00
1.787526e-03   1.028990e-99   1.000000e+00
1.804082e-03   1.026433e-99   1.000000e+00
1.820792e-03   1.023879e-99   1.000000e+00
1.837656e-03   1.021332e-99   1.000000e+00
1.854677e-03   1.018797e-99   1.000000e+00
1.871855e-03   1.016277e-99   1.000000e+00
1.889193e-03   1.013777e-99   1.000000e+00
1.906691e-03   1.011301e-99   1.000000e+00
1.924351e-03   1.008852e-99   1.000000e+00
1.942175e-03   1.006435e-99   1.000000e+00
1.960163e-03   1.004054e-99   1.000000e+00
1.978319e-03   1.001712e-99   1.000000e+00
1.996642e-03   9.994139e-100   1.000000e+00
2.015136e-03   9.971627e-100   1.000000e+00
2.033800e-03   9.949626e-100   1.000000e+00
2.052638e-03   9.928173e-100   1.000000e+00
2.071650e-03   9.907306e-100   1.000000e+00
2.090838e-03   9.887061e-100   1.000000e+00
2.110203e-03   9.867475e-100   1.000000e+00
2.129749e-03   9.848587e-100   1.000000e+00
2.149475e-03   9.830431e-100   1.000000e+00
2.169384e-03   9.813045e-100   1.000000e+00
2.189477e-03   9.796465e-100   1.000000e+00
2.209756e-03   9.780727e-100   1.000000e+00
2.230223e-03   9.765867e-100   1.000000e+00
2.250880e-03   9.751922e-100   1.000000e+00
2.271728e-03   9.738928e-100   1.000000e+00
2.292769e-03   9.726922e-100   1.000000e+00
2.314005e-03   9.715939e-100   1.000000e+00
2.335438e-03   9.706016e-100   1.000000e+00
2.357069e-03   9.697190e-100   1.000000e+00
2.378901e-03   9.689497e-100   1.000000e+00
2.400935e-03   9.682976e-100   1.000000e+00
2.423173e-03   9.677663e-100   1.000000e+00
2.445617e-03   9.673597e-100   1.000000e+00
2.468268e-03   9.670814e-100   1.000000e+00
2.491130e-03   9.669356e-100   1.000000e+00
2.514203e-03   9.669259e-100   1.000000e+00
2.537490e-03   9.670565e-100   1.000000e+00
2.560993e-03   9.673314e-100   1.000000e+00
2.584714e-03   9.677546e-100   1.000000e+00
2.608654e-03   9.683304e-100   1.000000e+00
2.632815e-03   9.690630e-100   1.000000e+00
2.657201e-03   9.699567e-100   1.000000e+00
2.681813e-03   9.710161e-100   1.000000e+00
2.706652e-03   9.722456e-100   1.000000e+00
2.731722e-03   9.736499e-100   1.000000e+00
2.757023e-03   9.752338e-100   1.000000e+00
2.782559e-03   9.770022e-100   1.000000e+00
2.808332e-03   9.789600e-100   1.000000e+00
2.834343e-03   9.811125e-100   1.000000e+00
2.860596e-03   9.834650e-100   1.000000e+00
2.887091e-03   9.860229e-100   1.000000e+00
2.913832e-03   9.887918e-100   1.000000e+00
2.940820e-03   9.917777e-100   1.000000e+00
2.968059e-03   9.949866e-100   1.000000e+00
2.995549e-03   9.984245e-100   1.000000e+00
3.023295e-03   1.002093e-99   1.000000e+00
3.051297e-03   1.005964e-99   1.000000e+00
3.079559e-03   1.009994e-99   1.000000e+00
3.108082e-03   1.014142e-99   1.000000e+00
3.136870e-03   1.018365e-99   1.000000e+00
3.165924e-03   1.022617e-99   1.000000e+00
3.195248e-03   1.026856e-99   1.000000e+00
3.224842e-03   1.031034e-99   1.000000e+00
3.254712e-03   1.035107e-99   1.000000e+00
3.284857e-03   1.039028e-99   1.000000e+00
3.315282e-03   1.042748e-99   1.000000e+00
3.345989e-03   1.046221e-99   1.000000e+00
3.376980e-03   1.049397e-99   1.000000e+00
3.408259e-03   1.052228e-99   1.000000e+00
3.439826e-03   1.054666e-99   1.000000e+00
3.471687e-03   1.056660e-99   1.000000e+00
3.503842e-03   1.058163e-99   1.000000e+00
