# O17 + p > N14 + a   [O17_p__N14_a]   ref=Iliadis et al. 2010
# detailed balance: alpha=0.67597 beta=0 gamma=-13.8306  Q=1.1918
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+00
1.009262e-03   1.001738e-35   1.000000e+00
1.018610e-03   1.003403e-35   1.000000e+00
1.028045e-03   1.004996e-35   1.000000e+00
1.037567e-03   1.006518e-35   1.000000e+00
1.047177e-03   1.007969e-35   1.000000e+00
1.056876e-03   1.009350e-35   1.000000e+00
1.066665e-03   1.010663e-35   1.000000e+00
1.076545e-03   1.011907e-35   1.000000e+00
1.086516e-03   1.013085e-35   1.000000e+00
1.096579e-03   1.014197e-35   1.000000e+00
1.106736e-03   1.015245e-35   1.000000e+00
1.116987e-03   1.016228e-35   1.000000e+00
1.127333e-03   1.017148e-35   1.000000e+00
1.137774e-03   1.018007e-35   1.000000e+00
1.148312e-03   1.018805e-35   1.000000e+00
1.158948e-03   1.019543e-35   1.000000e+00
1.169683e-03   1.020222e-35   1.000000e+00
1.180517e-03   1.020844e-35   1.000000e+00
1.191451e-03   1.021410e-35   1.000000e+00
1.202486e-03   1.021920e-35   1.000000e+00
1.213624e-03   1.022376e-35   1.000000e+00
1.224865e-03   1.022779e-35   1.000000e+00
1.236210e-03   1.023130e-35   1.000000e+00
1.247660e-03   1.023430e-35   1.000000e+00
1.259216e-03   1.023681e-35   1.000000e+00
1.270879e-03   1.023884e-35   1.000000e+00
1.282650e-03   1.024039e-35   1.000000e+00
1.294530e-03   1.024148e-35   1.000000e+00
1.306520e-03   1.024213e-35   1.000000e+00
1.318621e-03   1.024234e-35   1.000000e+00
1.330835e-03   1.024213e-35   1.000000e+00
1.343161e-03   1.024150e-35   1.000000e+00
1.355602e-03   1.024048e-35   1.000000e+00
1.368158e-03   1.023907e-35   1.000000e+00
1.380830e-03   1.023728e-35   1.000000e+00
1.393619e-03   1.023514e-35   1.000000e+00
1.406527e-03   1.023264e-35   1.000000e+00
1.419555e-03   1.022980e-35   1.000000e+00
1.432703e-03   1.022665e-35   1.000000e+00
1.445973e-03   1.022318e-35   1.000000e+00
1.459366e-03   1.021940e-35   1.000000e+00
1.472883e-03   1.021535e-35   1.000000e+00
1.486525e-03   1.021101e-35   1.000000e+00
1.500293e-03   1.020642e-35   1.000000e+00
1.514189e-03   1.020157e-35   1.000000e+00
1.528214e-03   1.019649e-35   1.000000e+00
1.542369e-03   1.019118e-35   1.000000e+00
1.556654e-03   1.018566e-35   1.000000e+00
1.571072e-03   1.017994e-35   1.000000e+00
1.585624e-03   1.017403e-35   1.000000e+00
1.600310e-03   1.016795e-35   1.000000e+00
1.615133e-03   1.016170e-35   1.000000e+00
1.630092e-03   1.015530e-35   1.000000e+00
