# O18 + a > Ne22 + g   [O18_a__Ne22_g]   ref=Iliadis et al. 2010
# detailed balance: alpha=5.8514e+10 beta=1.5 gamma=-112.194  Q=9.6681
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+00
1.009262e-03   9.955138e-36   1.000104e+00
1.018610e-03   9.912424e-36   1.000204e+00
1.028045e-03   9.871800e-36   1.000299e+00
1.037567e-03   9.833211e-36   1.000389e+00
1.047177e-03   9.796607e-36   1.000476e+00
1.056876e-03   9.761934e-36   1.000558e+00
1.066665e-03   9.729144e-36   1.000636e+00
1.076545e-03   9.698189e-36   1.000709e+00
1.086516e-03   9.669021e-36   1.000779e+00
1.096579e-03   9.641597e-36   1.000845e+00
1.106736e-03   9.615871e-36   1.000907e+00
1.116987e-03   9.591802e-36   1.000965e+00
1.127333e-03   9.569347e-36   1.001019e+00
1.137774e-03   9.548466e-36   1.001070e+00
1.148312e-03   9.529120e-36   1.001117e+00
1.158948e-03   9.511271e-36   1.001160e+00
1.169683e-03   9.494880e-36   1.001200e+00
1.180517e-03   9.479912e-36   1.001236e+00
1.191451e-03   9.466330e-36   1.001270e+00
1.202486e-03   9.454099e-36   1.001300e+00
1.213624e-03   9.443186e-36   1.001326e+00
1.224865e-03   9.433556e-36   1.001350e+00
1.236210e-03   9.425177e-36   1.001371e+00
1.247660e-03   9.418016e-36   1.001388e+00
1.259216e-03   9.412042e-36   1.001403e+00
1.270879e-03   9.407224e-36   1.001415e+00
1.282650e-03   9.403530e-36   1.001424e+00
1.294530e-03   9.400931e-36   1.001430e+00
1.306520e-03   9.399397e-36   1.001434e+00
1.318621e-03   9.398898e-36   1.001435e+00
1.330835e-03   9.399404e-36   1.001434e+00
1.343161e-03   9.400889e-36   1.001430e+00
1.355602e-03   9.403322e-36   1.001424e+00
1.368158e-03   9.406676e-36   1.001416e+00
1.380830e-03   9.410922e-36   1.001406e+00
1.393619e-03   9.416034e-36   1.001393e+00
1.406527e-03   9.421983e-36   1.001378e+00
1.419555e-03   9.428742e-36   1.001362e+00
1.432703e-03   9.436283e-36   1.001343e+00
1.445973e-03   9.444580e-36   1.001323e+00
1.459366e-03   9.453605e-36   1.001301e+00
1.472883e-03   9.463331e-36   1.001277e+00
1.486525e-03   9.473731e-36   1.001252e+00
1.500293e-03   9.484779e-36   1.001225e+00
1.514189e-03   9.496447e-36   1.001196e+00
1.528214e-03   9.508708e-36   1.001166e+00
1.542369e-03   9.521536e-36   1.001135e+00
1.556654e-03   9.534902e-36   1.001102e+00
1.571072e-03   9.548781e-36   1.001069e+00
1.585624e-03   9.563144e-36   1.001034e+00
1.600310e-03   9.577964e-36   1.000998e+00
1.615133e-03   9.593214e-36   1.000961e+00
1.630092e-03   9.608867e-36   1.000924e+00
1.645191e-03   9.624894e-36   1.000885e+00
1.660429e-03   9.641267e-36   1.000846e+00
1.675808e-03   9.657959e-36   1.000806e+00
1.691330e-03   9.674942e-36   1.000765e+00
1.706995e-03   9.692187e-36   1.000724e+00
1.722805e-03   9.709664e-36   1.000682e+00
1.738762e-03   9.727347e-36   1.000640e+00
1.754867e-03   9.745205e-36   1.000597e+00
1.771121e-03   9.763210e-36   1.000555e+00
1.787526e-03   9.781331e-36   1.000512e+00
1.804082e-03   9.799540e-36   1.000469e+00
1.820792e-03   9.817806e-36   1.000426e+00
1.837656e-03   9.836100e-36   1.000382e+00
1.854677e-03   9.854391e-36   1.000339e+00
1.871855e-03   9.872648e-36   1.000297e+00
1.889193e-03   9.890842e-36   1.000254e+00
1.906691e-03   9.908940e-36   1.000212e+00
1.924351e-03   9.926912e-36   1.000170e+00
1.942175e-03   9.944726e-36   1.000128e+00
1.960163e-03   9.962351e-36   1.000087e+00
1.978319e-03   9.979754e-36   1.000047e+00
1.996642e-03   9.996904e-36   1.000007e+00
2.015136e-03   1.001377e-35   9.999682e-01
2.033800e-03   1.003032e-35   9.999300e-01
2.052638e-03   1.004651e-35   9.998926e-01
2.071650e-03   1.006233e-35   9.998563e-01
2.090838e-03   1.007772e-35   9.998209e-01
2.110203e-03   1.009267e-35   9.997866e-01
2.129749e-03   1.010714e-35   9.997535e-01
2.149475e-03   1.012109e-35   9.997216e-01
2.169384e-03   1.013449e-35   9.996910e-01
2.189477e-03   1.014731e-35   9.996617e-01
2.209756e-03   1.015951e-35   9.996339e-01
2.230223e-03   1.017106e-35   9.996077e-01
2.250880e-03   1.018193e-35   9.995830e-01
2.271728e-03   1.019208e-35   9.995599e-01
2.292769e-03   1.020149e-35   9.995386e-01
2.314005e-03   1.021010e-35   9.995191e-01
2.335438e-03   1.021791e-35   9.995014e-01
2.357069e-03   1.022486e-35   9.994857e-01
2.378901e-03   1.023092e-35   9.994719e-01
2.400935e-03   1.023607e-35   9.994603e-01
2.423173e-03   1.024027e-35   9.994508e-01
2.445617e-03   1.024349e-35   9.994436e-01
2.468268e-03   1.024569e-35   9.994386e-01
2.491130e-03   1.024685e-35   9.994360e-01
2.514203e-03   1.024693e-35   9.994358e-01
2.537490e-03   1.024589e-35   9.994381e-01
2.560993e-03   1.024371e-35   9.994431e-01
2.584714e-03   1.024037e-35   9.994506e-01
2.608654e-03   1.023581e-35   9.994609e-01
2.632815e-03   1.023003e-35   9.994740e-01
2.657201e-03   1.022298e-35   9.994899e-01
2.681813e-03   1.021464e-35   9.995088e-01
2.706652e-03   1.020499e-35   9.995306e-01
2.731722e-03   1.019398e-35   9.995556e-01
2.757023e-03   1.018161e-35   9.995837e-01
2.782559e-03   1.016783e-35   9.996150e-01
2.808332e-03   1.015262e-35   9.996496e-01
2.834343e-03   1.013597e-35   9.996876e-01
2.860596e-03   1.011784e-35   9.997290e-01
2.887091e-03   1.009821e-35   9.997739e-01
2.913832e-03   1.007707e-35   9.998224e-01
2.940820e-03   1.005438e-35   9.998745e-01
2.968059e-03   1.003014e-35   9.999304e-01
2.995549e-03   1.000431e-35   9.999900e-01
3.023295e-03   9.976917e-36   1.000053e+00
3.051297e-03   9.948209e-36   1.000120e+00
3.079559e-03   9.918519e-36   1.000189e+00
3.108082e-03   9.888179e-36   1.000260e+00
3.136870e-03   9.857518e-36   1.000332e+00
3.165924e-03   9.826861e-36   1.000404e+00
3.195248e-03   9.796527e-36   1.000476e+00
3.224842e-03   9.766833e-36   1.000546e+00
3.254712e-03   9.738092e-36   1.000614e+00
3.284857e-03   9.710614e-36   1.000680e+00
3.315282e-03   9.684704e-36   1.000741e+00
3.345989e-03   9.660665e-36   1.000799e+00
3.376980e-03   9.638800e-36   1.000852e+00
3.408259e-03   9.619406e-36   1.000898e+00
3.439826e-03   9.602784e-36   1.000938e+00
3.471687e-03   9.589232e-36   1.000971e+00
3.503842e-03   9.579051e-36   1.000996e+00
3.536296e-03   9.572541e-36   1.001011e+00
3.569049e-03   9.570008e-36   1.001017e+00
3.602107e-03   9.571761e-36   1.001013e+00
3.635470e-03   9.578116e-36   1.000998e+00
3.669142e-03   9.589395e-36   1.000971e+00
3.703127e-03   9.605929e-36   1.000931e+00
3.737426e-03   9.628059e-36   1.000877e+00
3.772042e-03   9.656139e-36   1.000810e+00
3.806980e-03   9.690538e-36   1.000728e+00
3.842241e-03   9.731641e-36   1.000630e+00
3.877828e-03   9.779850e-36   1.000515e+00
3.913746e-03   9.835590e-36   1.000384e+00
3.949995e-03   9.899312e-36   1.000234e+00
3.986581e-03   9.971491e-36   1.000066e+00
4.023506e-03   1.005254e-35   9.998788e-01
4.060772e-03   1.014165e-35   9.996746e-01
4.098384e-03   1.023714e-35   9.994579e-01
4.136344e-03   1.033722e-35   9.992330e-01
4.174655e-03   1.044006e-35   9.990041e-01
4.213322e-03   1.054375e-35   9.987757e-01
4.252346e-03   1.064629e-35   9.985521e-01
4.291732e-03   1.074561e-35   9.983376e-01
4.331483e-03   1.083959e-35   9.981365e-01
4.371602e-03   1.092601e-35   9.979531e-01
4.412093e-03   1.100262e-35   9.977918e-01
4.452959e-03   1.106713e-35   9.976569e-01
4.494203e-03   1.111724e-35   9.975526e-01
4.535829e-03   1.115066e-35   9.974833e-01
4.577841e-03   1.116514e-35   9.974534e-01
4.620241e-03   1.115853e-35   9.974671e-01
4.663035e-03   1.112877e-35   9.975287e-01
4.706225e-03   1.107398e-35   9.976426e-01
4.749815e-03   1.099246e-35   9.978131e-01
4.793808e-03   1.088278e-35   9.980447e-01
4.838210e-03   1.074376e-35   9.983416e-01
4.883022e-03   1.057459e-35   9.987082e-01
4.928250e-03   1.037481e-35   9.991490e-01
4.973896e-03   1.014437e-35   9.996684e-01
5.019965e-03   9.883772e-36   1.000271e+00
5.066461e-03   9.598794e-36   1.000948e+00
5.113388e-03   9.300565e-36   1.001679e+00
5.160749e-03   8.999502e-36   1.002442e+00
5.208549e-03   8.704863e-36   1.003214e+00
5.256791e-03   8.424759e-36   1.003974e+00
