# O18 + n > O19 + g   [O18_n__O19_g]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=3.0717e+09 beta=1.5 gamma=-45.8949  Q=3.9549
# T9                 rate                error
1.000000e-03   1.114500e+04   1.000000e+02
1.009262e-03   1.111336e+04   1.000000e+02
1.018610e-03   1.108154e+04   1.000000e+02
1.028045e-03   1.104956e+04   1.000000e+02
1.037567e-03   1.101740e+04   1.000000e+02
1.047177e-03   1.098509e+04   1.000000e+02
1.056876e-03   1.095262e+04   1.000000e+02
1.066665e-03   1.092000e+04   1.000000e+02
1.076545e-03   1.088723e+04   1.000000e+02
1.086516e-03   1.085431e+04   1.000000e+02
1.096579e-03   1.082125e+04   1.000000e+02
1.106736e-03   1.078806e+04   1.000000e+02
1.116987e-03   1.075473e+04   1.000000e+02
1.127333e-03   1.072127e+04   1.000000e+02
1.137774e-03   1.068769e+04   1.000000e+02
1.148312e-03   1.065399e+04   1.000000e+02
1.158948e-03   1.062018e+04   1.000000e+02
1.169683e-03   1.058625e+04   1.000000e+02
1.180517e-03   1.055221e+04   1.000000e+02
1.191451e-03   1.051806e+04   1.000000e+02
1.202486e-03   1.048382e+04   1.000000e+02
1.213624e-03   1.044948e+04   1.000000e+02
1.224865e-03   1.041504e+04   1.000000e+02
1.236210e-03   1.038051e+04   1.000000e+02
1.247660e-03   1.034590e+04   1.000000e+02
1.259216e-03   1.031120e+04   1.000000e+02
1.270879e-03   1.027643e+04   1.000000e+02
1.282650e-03   1.024158e+04   1.000000e+02
1.294530e-03   1.020666e+04   1.000000e+02
1.306520e-03   1.017167e+04   1.000000e+02
1.318621e-03   1.013662e+04   1.000000e+02
1.330835e-03   1.010151e+04   1.000000e+02
1.343161e-03   1.006633e+04   1.000000e+02
1.355602e-03   1.003111e+04   1.000000e+02
1.368158e-03   9.995832e+03   1.000000e+02
1.380830e-03   9.960509e+03   1.000000e+02
1.393619e-03   9.925142e+03   1.000000e+02
1.406527e-03   9.889735e+03   1.000000e+02
1.419555e-03   9.854290e+03   1.000000e+02
1.432703e-03   9.818812e+03   1.000000e+02
1.445973e-03   9.783303e+03   1.000000e+02
1.459366e-03   9.747766e+03   1.000000e+02
1.472883e-03   9.712206e+03   1.000000e+02
1.486525e-03   9.676624e+03   1.000000e+02
1.500293e-03   9.641024e+03   1.000000e+02
1.514189e-03   9.605410e+03   1.000000e+02
1.528214e-03   9.569783e+03   1.000000e+02
1.542369e-03   9.534148e+03   1.000000e+02
1.556654e-03   9.498507e+03   1.000000e+02
1.571072e-03   9.462863e+03   1.000000e+02
1.585624e-03   9.427220e+03   1.000000e+02
1.600310e-03   9.391579e+03   1.000000e+02
1.615133e-03   9.355944e+03   1.000000e+02
1.630092e-03   9.320317e+03   1.000000e+02
1.645191e-03   9.284702e+03   1.000000e+02
1.660429e-03   9.249102e+03   1.000000e+02
1.675808e-03   9.213518e+03   1.000000e+02
1.691330e-03   9.177953e+03   1.000000e+02
1.706995e-03   9.142412e+03   1.000000e+02
1.722805e-03   9.106895e+03   1.000000e+02
1.738762e-03   9.071405e+03   1.000000e+02
