# O18 + p > F19 + g   [O18_p__F19_g]   ref=Iliadis et al. 2010
# detailed balance: alpha=9.2073e+09 beta=1.5 gamma=-92.7764  Q=7.9949
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+00
1.009262e-03   1.001987e-35   1.000000e+00
1.018610e-03   1.003891e-35   1.000000e+00
1.028045e-03   1.005712e-35   1.000000e+00
1.037567e-03   1.007453e-35   1.000000e+00
1.047177e-03   1.009113e-35   1.000000e+00
1.056876e-03   1.010694e-35   1.000000e+00
1.066665e-03   1.012196e-35   1.000000e+00
1.076545e-03   1.013621e-35   1.000000e+00
1.086516e-03   1.014970e-35   1.000000e+00
1.096579e-03   1.016243e-35   1.000000e+00
1.106736e-03   1.017443e-35   1.000000e+00
1.116987e-03   1.018569e-35   1.000000e+00
1.127333e-03   1.019623e-35   1.000000e+00
1.137774e-03   1.020607e-35   1.000000e+00
1.148312e-03   1.021521e-35   1.000000e+00
1.158948e-03   1.022367e-35   1.000000e+00
1.169683e-03   1.023146e-35   1.000000e+00
1.180517e-03   1.023859e-35   1.000000e+00
1.191451e-03   1.024507e-35   1.000000e+00
1.202486e-03   1.025092e-35   1.000000e+00
1.213624e-03   1.025615e-35   1.000000e+00
1.224865e-03   1.026077e-35   1.000000e+00
1.236210e-03   1.026479e-35   1.000000e+00
1.247660e-03   1.026824e-35   1.000000e+00
1.259216e-03   1.027112e-35   1.000000e+00
1.270879e-03   1.027344e-35   1.000000e+00
1.282650e-03   1.027522e-35   1.000000e+00
1.294530e-03   1.027647e-35   1.000000e+00
1.306520e-03   1.027721e-35   1.000000e+00
1.318621e-03   1.027745e-35   1.000000e+00
1.330835e-03   1.027721e-35   1.000000e+00
1.343161e-03   1.027649e-35   1.000000e+00
1.355602e-03   1.027532e-35   1.000000e+00
1.368158e-03   1.027370e-35   1.000000e+00
1.380830e-03   1.027165e-35   1.000000e+00
1.393619e-03   1.026919e-35   1.000000e+00
1.406527e-03   1.026633e-35   1.000000e+00
1.419555e-03   1.026308e-35   1.000000e+00
1.432703e-03   1.025946e-35   1.000000e+00
1.445973e-03   1.025548e-35   1.000000e+00
1.459366e-03   1.025116e-35   1.000000e+00
1.472883e-03   1.024650e-35   1.000000e+00
1.486525e-03   1.024154e-35   1.000000e+00
1.500293e-03   1.023627e-35   1.000000e+00
1.514189e-03   1.023071e-35   1.000000e+00
1.528214e-03   1.022489e-35   1.000000e+00
1.542369e-03   1.021880e-35   1.000000e+00
1.556654e-03   1.021248e-35   1.000000e+00
1.571072e-03   1.020592e-35   1.000000e+00
1.585624e-03   1.019915e-35   1.000000e+00
1.600310e-03   1.019218e-35   1.000000e+00
1.615133e-03   1.018503e-35   1.000000e+00
1.630092e-03   1.017770e-35   1.000000e+00
1.645191e-03   1.017021e-35   1.000000e+00
1.660429e-03   1.016259e-35   1.000000e+00
1.675808e-03   1.015483e-35   1.000000e+00
1.691330e-03   1.014695e-35   1.000000e+00
1.706995e-03   1.013898e-35   1.000000e+00
1.722805e-03   1.013092e-35   1.000000e+00
1.738762e-03   1.012279e-35   1.000000e+00
1.754867e-03   1.011459e-35   1.000000e+00
1.771121e-03   1.010635e-35   1.000000e+00
1.787526e-03   1.009808e-35   1.000000e+00
1.804082e-03   1.008980e-35   1.000000e+00
1.820792e-03   1.008150e-35   1.000000e+00
1.837656e-03   1.007322e-35   1.000000e+00
1.854677e-03   1.006496e-35   1.000000e+00
1.871855e-03   1.005674e-35   1.000000e+00
1.889193e-03   1.004857e-35   1.000000e+00
1.906691e-03   1.004047e-35   1.000000e+00
1.924351e-03   1.003244e-35   1.000000e+00
1.942175e-03   1.002450e-35   1.000000e+00
1.960163e-03   1.001667e-35   1.000000e+00
1.978319e-03   1.000895e-35   1.000000e+00
1.996642e-03   1.000137e-35   1.000000e+00
2.015136e-03   9.993927e-36   1.000000e+00
2.033800e-03   9.986646e-36   1.000000e+00
2.052638e-03   9.979535e-36   1.000000e+00
2.071650e-03   9.972608e-36   1.000000e+00
2.090838e-03   9.965879e-36   1.000000e+00
2.110203e-03   9.959361e-36   1.000000e+00
2.129749e-03   9.953065e-36   1.000000e+00
2.149475e-03   9.947007e-36   1.000000e+00
2.169384e-03   9.941198e-36   1.000000e+00
2.189477e-03   9.935652e-36   1.000000e+00
2.209756e-03   9.930382e-36   1.000000e+00
2.230223e-03   9.925401e-36   1.000000e+00
2.250880e-03   9.920722e-36   1.000000e+00
2.271728e-03   9.916358e-36   1.000000e+00
2.292769e-03   9.912323e-36   1.000000e+00
2.314005e-03   9.908628e-36   1.000000e+00
2.335438e-03   9.905287e-36   1.000000e+00
2.357069e-03   9.902314e-36   1.000000e+00
2.378901e-03   9.899721e-36   1.000000e+00
2.400935e-03   9.897522e-36   1.000000e+00
2.423173e-03   9.895730e-36   1.000000e+00
2.445617e-03   9.894357e-36   1.000000e+00
2.468268e-03   9.893418e-36   1.000000e+00
2.491130e-03   9.892926e-36   1.000000e+00
2.514203e-03   9.892893e-36   1.000000e+00
2.537490e-03   9.893334e-36   1.000000e+00
2.560993e-03   9.894262e-36   1.000000e+00
2.584714e-03   9.895690e-36   1.000000e+00
2.608654e-03   9.897633e-36   1.000000e+00
2.632815e-03   9.900103e-36   1.000000e+00
2.657201e-03   9.903115e-36   1.000000e+00
2.681813e-03   9.906683e-36   1.000000e+00
2.706652e-03   9.910821e-36   1.000000e+00
2.731722e-03   9.915542e-36   1.000000e+00
2.757023e-03   9.920862e-36   1.000000e+00
2.782559e-03   9.926795e-36   1.000000e+00
2.808332e-03   9.933354e-36   1.000000e+00
2.834343e-03   9.940556e-36   1.000000e+00
2.860596e-03   9.948415e-36   1.000000e+00
