# O19 + a > Ne22 + n   [O19_a__Ne22_n]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=19.05 beta=0 gamma=-66.299  Q=5.7132
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   9.999126e-36   1.000000e+02
1.018610e-03   9.998291e-36   1.000000e+02
1.028045e-03   9.997493e-36   1.000000e+02
1.037567e-03   9.996732e-36   1.000000e+02
1.047177e-03   9.996008e-36   1.000000e+02
1.056876e-03   9.995319e-36   1.000000e+02
1.066665e-03   9.994666e-36   1.000000e+02
1.076545e-03   9.994047e-36   1.000000e+02
1.086516e-03   9.993462e-36   1.000000e+02
1.096579e-03   9.992910e-36   1.000000e+02
1.106736e-03   9.992391e-36   1.000000e+02
1.116987e-03   9.991905e-36   1.000000e+02
1.127333e-03   9.991450e-36   1.000000e+02
1.137774e-03   9.991026e-36   1.000000e+02
1.148312e-03   9.990632e-36   1.000000e+02
1.158948e-03   9.990268e-36   1.000000e+02
1.169683e-03   9.989933e-36   1.000000e+02
1.180517e-03   9.989627e-36   1.000000e+02
1.191451e-03   9.989348e-36   1.000000e+02
1.202486e-03   9.989097e-36   1.000000e+02
1.213624e-03   9.988873e-36   1.000000e+02
1.224865e-03   9.988675e-36   1.000000e+02
1.236210e-03   9.988503e-36   1.000000e+02
1.247660e-03   9.988355e-36   1.000000e+02
1.259216e-03   9.988232e-36   1.000000e+02
1.270879e-03   9.988133e-36   1.000000e+02
1.282650e-03   9.988056e-36   1.000000e+02
1.294530e-03   9.988003e-36   1.000000e+02
1.306520e-03   9.987971e-36   1.000000e+02
1.318621e-03   9.987961e-36   1.000000e+02
1.330835e-03   9.987971e-36   1.000000e+02
1.343161e-03   9.988002e-36   1.000000e+02
1.355602e-03   9.988052e-36   1.000000e+02
1.368158e-03   9.988121e-36   1.000000e+02
1.380830e-03   9.988209e-36   1.000000e+02
1.393619e-03   9.988314e-36   1.000000e+02
1.406527e-03   9.988437e-36   1.000000e+02
1.419555e-03   9.988576e-36   1.000000e+02
1.432703e-03   9.988731e-36   1.000000e+02
1.445973e-03   9.988902e-36   1.000000e+02
1.459366e-03   9.989087e-36   1.000000e+02
1.472883e-03   9.989287e-36   1.000000e+02
1.486525e-03   9.989500e-36   1.000000e+02
1.500293e-03   9.989726e-36   1.000000e+02
1.514189e-03   9.989965e-36   1.000000e+02
