# O19 + p > N16 + a   [O19_p__N16_a]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=0.39228 beta=0 gamma=-29.1883  Q=2.5153
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.009262e-03   1.006122e-35   1.000000e+02
1.018610e-03   1.011503e-35   1.000000e+02
1.028045e-03   1.016143e-35   1.000000e+02
1.037567e-03   1.020046e-35   1.000000e+02
1.047177e-03   1.023217e-35   1.000000e+02
1.056876e-03   1.025661e-35   1.000000e+02
1.066665e-03   1.027389e-35   1.000000e+02
1.076545e-03   1.028408e-35   1.000000e+02
1.086516e-03   1.028732e-35   1.000000e+02
1.096579e-03   1.028373e-35   1.000000e+02
1.106736e-03   1.027346e-35   1.000000e+02
1.116987e-03   1.025665e-35   1.000000e+02
1.127333e-03   1.023349e-35   1.000000e+02
1.137774e-03   1.020414e-35   1.000000e+02
1.148312e-03   1.016879e-35   1.000000e+02
1.158948e-03   1.012765e-35   1.000000e+02
1.169683e-03   1.008092e-35   1.000000e+02
1.180517e-03   1.002880e-35   1.000000e+02
1.191451e-03   9.971520e-36   1.000000e+02
1.202486e-03   9.909301e-36   1.000000e+02
1.213624e-03   9.842370e-36   1.000000e+02
1.224865e-03   9.770956e-36   1.000000e+02
1.236210e-03   9.695294e-36   1.000000e+02
1.247660e-03   9.615616e-36   1.000000e+02
1.259216e-03   9.532159e-36   1.000000e+02
1.270879e-03   9.445158e-36   1.000000e+02
1.282650e-03   9.354847e-36   1.000000e+02
1.294530e-03   9.261460e-36   1.000000e+02
1.306520e-03   9.165227e-36   1.000000e+02
1.318621e-03   9.066378e-36   1.000000e+02
1.330835e-03   8.965138e-36   1.000000e+02
1.343161e-03   8.861729e-36   1.000000e+02
1.355602e-03   8.756368e-36   1.000000e+02
1.368158e-03   8.649269e-36   1.000000e+02
1.380830e-03   8.540639e-36   1.000000e+02
1.393619e-03   8.430682e-36   1.000000e+02
1.406527e-03   8.319593e-36   1.000000e+02
1.419555e-03   8.207566e-36   1.000000e+02
1.432703e-03   8.094784e-36   1.000000e+02
1.445973e-03   7.981427e-36   1.000000e+02
1.459366e-03   7.867666e-36   1.000000e+02
1.472883e-03   7.753668e-36   1.000000e+02
1.486525e-03   7.639592e-36   1.000000e+02
1.500293e-03   7.525589e-36   1.000000e+02
1.514189e-03   7.411805e-36   1.000000e+02
1.528214e-03   7.298379e-36   1.000000e+02
1.542369e-03   7.185442e-36   1.000000e+02
1.556654e-03   7.073120e-36   1.000000e+02
1.571072e-03   6.961530e-36   1.000000e+02
1.585624e-03   6.850786e-36   1.000000e+02
1.600310e-03   6.740991e-36   1.000000e+02
1.615133e-03   6.632245e-36   1.000000e+02
1.630092e-03   6.524641e-36   1.000000e+02
1.645191e-03   6.418265e-36   1.000000e+02
1.660429e-03   6.313197e-36   1.000000e+02
1.675808e-03   6.209514e-36   1.000000e+02
1.691330e-03   6.107284e-36   1.000000e+02
1.706995e-03   6.006571e-36   1.000000e+02
1.722805e-03   5.907434e-36   1.000000e+02
1.738762e-03   5.809927e-36   1.000000e+02
1.754867e-03   5.714098e-36   1.000000e+02
1.771121e-03   5.619993e-36   1.000000e+02
