# d + a > Li6 + g   [d_a__Li6_g]   ref=Trezzi et al. (Luna) 2017
# detailed balance: alpha=1.53053e+10 beta=1.5 gamma=-17.1023  Q=1.47376
# T9                 rate                error
1.000000e-03   4.969000e-30   1.250000e+00
1.009262e-03   6.202817e-30   1.250000e+00
1.018610e-03   7.737687e-30   1.250000e+00
1.028045e-03   9.645757e-30   1.250000e+00
1.037567e-03   1.201615e-29   1.250000e+00
1.047177e-03   1.495886e-29   1.250000e+00
1.056876e-03   1.860960e-29   1.250000e+00
1.066665e-03   2.313564e-29   1.250000e+00
1.076545e-03   2.874304e-29   1.250000e+00
1.086516e-03   3.568545e-29   1.250000e+00
1.096579e-03   4.427493e-29   1.250000e+00
1.106736e-03   5.489508e-29   1.250000e+00
1.116987e-03   6.801718e-29   1.250000e+00
1.127333e-03   8.421980e-29   1.250000e+00
1.137774e-03   1.042127e-28   1.250000e+00
1.148312e-03   1.288663e-28   1.250000e+00
1.158948e-03   1.592467e-28   1.250000e+00
1.169683e-03   1.966595e-28   1.250000e+00
1.180517e-03   2.427020e-28   1.250000e+00
1.191451e-03   2.993275e-28   1.250000e+00
1.202486e-03   3.689227e-28   1.250000e+00
1.213624e-03   4.544023e-28   1.250000e+00
1.224865e-03   5.593230e-28   1.250000e+00
1.236210e-03   6.880223e-28   1.250000e+00
1.247660e-03   8.457868e-28   1.250000e+00
1.259216e-03   1.039055e-27   1.250000e+00
1.270879e-03   1.275663e-27   1.250000e+00
1.282650e-03   1.565144e-27   1.250000e+00
1.294530e-03   1.919085e-27   1.250000e+00
1.306520e-03   2.351560e-27   1.250000e+00
1.318621e-03   2.879658e-27   1.250000e+00
1.330835e-03   3.524110e-27   1.250000e+00
1.343161e-03   4.310052e-27   1.250000e+00
1.355602e-03   5.267937e-27   1.250000e+00
1.368158e-03   6.434645e-27   1.250000e+00
1.380830e-03   7.854802e-27   1.250000e+00
1.393619e-03   9.582377e-27   1.250000e+00
1.406527e-03   1.168260e-26   1.250000e+00
1.419555e-03   1.423424e-26   1.250000e+00
1.432703e-03   1.733241e-26   1.250000e+00
1.445973e-03   2.109180e-26   1.250000e+00
1.459366e-03   2.565073e-26   1.250000e+00
1.472883e-03   3.117578e-26   1.250000e+00
1.486525e-03   3.786759e-26   1.250000e+00
1.500293e-03   4.596754e-26   1.250000e+00
1.514189e-03   5.576591e-26   1.250000e+00
1.528214e-03   6.761159e-26   1.250000e+00
1.542369e-03   8.192360e-26   1.250000e+00
1.556654e-03   9.920490e-26   1.250000e+00
1.571072e-03   1.200588e-25   1.250000e+00
1.585624e-03   1.452088e-25   1.250000e+00
1.600310e-03   1.755215e-25   1.250000e+00
1.615133e-03   2.120346e-25   1.250000e+00
1.630092e-03   2.559900e-25   1.250000e+00
1.645191e-03   3.088731e-25   1.250000e+00
1.660429e-03   3.724590e-25   1.250000e+00
1.675808e-03   4.488685e-25   1.250000e+00
1.691330e-03   5.406331e-25   1.250000e+00
1.706995e-03   6.507734e-25   1.250000e+00
1.722805e-03   7.828910e-25   1.250000e+00
1.738762e-03   9.412781e-25   1.250000e+00
1.754867e-03   1.131046e-24   1.250000e+00
1.771121e-03   1.358281e-24   1.250000e+00
1.787526e-03   1.630219e-24   1.250000e+00
1.804082e-03   1.955466e-24   1.250000e+00
1.820792e-03   2.344248e-24   1.250000e+00
1.837656e-03   2.808707e-24   1.250000e+00
1.854677e-03   3.363253e-24   1.250000e+00
1.871855e-03   4.024979e-24   1.250000e+00
1.889193e-03   4.814149e-24   1.250000e+00
1.906691e-03   5.754770e-24   1.250000e+00
1.924351e-03   6.875267e-24   1.250000e+00
1.942175e-03   8.209283e-24   1.250000e+00
1.960163e-03   9.796604e-24   1.250000e+00
1.978319e-03   1.168426e-23   1.250000e+00
1.996642e-03   1.392783e-23   1.250000e+00
2.015136e-03   1.659290e-23   1.250000e+00
2.033800e-03   1.975690e-23   1.250000e+00
2.052638e-03   2.351115e-23   1.250000e+00
2.071650e-03   2.796328e-23   1.250000e+00
2.090838e-03   3.324009e-23   1.250000e+00
2.110203e-03   3.949089e-23   1.250000e+00
2.129749e-03   4.689138e-23   1.250000e+00
2.149475e-03   5.564822e-23   1.250000e+00
2.169384e-03   6.600432e-23   1.250000e+00
2.189477e-03   7.824507e-23   1.250000e+00
2.209756e-03   9.270560e-23   1.250000e+00
2.230223e-03   1.097792e-22   1.250000e+00
2.250880e-03   1.299272e-22   1.250000e+00
2.271728e-03   1.536903e-22   1.250000e+00
2.292769e-03   1.817021e-22   1.250000e+00
2.314005e-03   2.147048e-22   1.250000e+00
2.335438e-03   2.535667e-22   1.250000e+00
2.357069e-03   2.993039e-22   1.250000e+00
2.378901e-03   3.531039e-22   1.250000e+00
2.400935e-03   4.163550e-22   1.250000e+00
2.423173e-03   4.906782e-22   1.250000e+00
2.445617e-03   5.779659e-22   1.250000e+00
2.468268e-03   6.804259e-22   1.250000e+00
2.491130e-03   8.006329e-22   1.250000e+00
2.514203e-03   9.415875e-22   1.250000e+00
2.537490e-03   1.106785e-21   1.250000e+00
2.560993e-03   1.300296e-21   1.250000e+00
2.584714e-03   1.526855e-21   1.250000e+00
2.608654e-03   1.791972e-21   1.250000e+00
2.632815e-03   2.102050e-21   1.250000e+00
2.657201e-03   2.464529e-21   1.250000e+00
2.681813e-03   2.888050e-21   1.250000e+00
2.706652e-03   3.382642e-21   1.250000e+00
2.731722e-03   3.959940e-21   1.250000e+00
2.757023e-03   4.633438e-21   1.250000e+00
2.782559e-03   5.418772e-21   1.250000e+00
2.808332e-03   6.334058e-21   1.250000e+00
2.834343e-03   7.400267e-21   1.250000e+00
2.860596e-03   8.641673e-21   1.250000e+00
2.887091e-03   1.008635e-20   1.250000e+00
2.913832e-03   1.176676e-20   1.250000e+00
2.940820e-03   1.372040e-20   1.250000e+00
2.968059e-03   1.599059e-20   1.250000e+00
2.995549e-03   1.862736e-20   1.250000e+00
3.023295e-03   2.168839e-20   1.250000e+00
3.051297e-03   2.524024e-20   1.250000e+00
3.079559e-03   2.935962e-20   1.250000e+00
3.108082e-03   3.413488e-20   1.250000e+00
3.136870e-03   3.966780e-20   1.250000e+00
3.165924e-03   4.607551e-20   1.250000e+00
3.195248e-03   5.349278e-20   1.250000e+00
3.224842e-03   6.207456e-20   1.250000e+00
3.254712e-03   7.199894e-20   1.250000e+00
3.284857e-03   8.347052e-20   1.250000e+00
3.315282e-03   9.672425e-20   1.250000e+00
3.345989e-03   1.120297e-19   1.250000e+00
3.376980e-03   1.296963e-19   1.250000e+00
3.408259e-03   1.500786e-19   1.250000e+00
3.439826e-03   1.735830e-19   1.250000e+00
3.471687e-03   2.006752e-19   1.250000e+00
3.503842e-03   2.318883e-19   1.250000e+00
3.536296e-03   2.678323e-19   1.250000e+00
3.569049e-03   3.092053e-19   1.250000e+00
3.602107e-03   3.568051e-19   1.250000e+00
3.635470e-03   4.115438e-19   1.250000e+00
3.669142e-03   4.744631e-19   1.250000e+00
3.703127e-03   5.467525e-19   1.250000e+00
3.737426e-03   6.297695e-19   1.250000e+00
3.772042e-03   7.250627e-19   1.250000e+00
3.806980e-03   8.343979e-19   1.250000e+00
3.842241e-03   9.597874e-19   1.250000e+00
3.877828e-03   1.103524e-18   1.250000e+00
3.913746e-03   1.268217e-18   1.250000e+00
3.949995e-03   1.456839e-18   1.250000e+00
3.986581e-03   1.672769e-18   1.250000e+00
