# d + d > a + g   [d_d__a_g]   ref=NACRE, Xu et al. 2010, 2011
# detailed balance: alpha=4.531e+10 beta=1.5 gamma=-276.727  Q=23.8465
# T9                 rate                error
1.000000e-03   1.460000e-15   1.185000e+00
1.009262e-03   1.653154e-15   1.185042e+00
1.018610e-03   1.871135e-15   1.185084e+00
1.028045e-03   2.117038e-15   1.185126e+00
1.037567e-03   2.394331e-15   1.185167e+00
1.047177e-03   2.706901e-15   1.185207e+00
1.056876e-03   3.059099e-15   1.185247e+00
1.066665e-03   3.455795e-15   1.185287e+00
1.076545e-03   3.902438e-15   1.185326e+00
1.086516e-03   4.405126e-15   1.185364e+00
1.096579e-03   4.970672e-15   1.185402e+00
1.106736e-03   5.606694e-15   1.185440e+00
1.116987e-03   6.321700e-15   1.185477e+00
1.127333e-03   7.125194e-15   1.185514e+00
1.137774e-03   8.027783e-15   1.185550e+00
1.148312e-03   9.041305e-15   1.185585e+00
1.158948e-03   1.017896e-14   1.185620e+00
1.169683e-03   1.145548e-14   1.185655e+00
1.180517e-03   1.288727e-14   1.185689e+00
1.191451e-03   1.449260e-14   1.185723e+00
1.202486e-03   1.629186e-14   1.185756e+00
1.213624e-03   1.830770e-14   1.185788e+00
1.224865e-03   2.056536e-14   1.185820e+00
1.236210e-03   2.309290e-14   1.185852e+00
1.247660e-03   2.592154e-14   1.185883e+00
1.259216e-03   2.908599e-14   1.185913e+00
1.270879e-03   3.262479e-14   1.185943e+00
1.282650e-03   3.658078e-14   1.185973e+00
1.294530e-03   4.100152e-14   1.186001e+00
1.306520e-03   4.593981e-14   1.186030e+00
1.318621e-03   5.145421e-14   1.186057e+00
1.330835e-03   5.760970e-14   1.186085e+00
1.343161e-03   6.447831e-14   1.186111e+00
1.355602e-03   7.213989e-14   1.186137e+00
1.368158e-03   8.068289e-14   1.186163e+00
1.380830e-03   9.020529e-14   1.186188e+00
1.393619e-03   1.008156e-13   1.186212e+00
1.406527e-03   1.126337e-13   1.186236e+00
1.419555e-03   1.257926e-13   1.186260e+00
1.432703e-03   1.404391e-13   1.186282e+00
1.445973e-03   1.567355e-13   1.186305e+00
1.459366e-03   1.748613e-13   1.186326e+00
1.472883e-03   1.950148e-13   1.186347e+00
1.486525e-03   2.174148e-13   1.186368e+00
1.500293e-03   2.423030e-13   1.186388e+00
1.514189e-03   2.699462e-13   1.186407e+00
1.528214e-03   3.006384e-13   1.186426e+00
1.542369e-03   3.347042e-13   1.186444e+00
1.556654e-03   3.725012e-13   1.186461e+00
1.571072e-03   4.144235e-13   1.186478e+00
1.585624e-03   4.609052e-13   1.186495e+00
1.600310e-03   5.124245e-13   1.186510e+00
1.615133e-03   5.695076e-13   1.186525e+00
1.630092e-03   6.327337e-13   1.186540e+00
1.645191e-03   7.027399e-13   1.186554e+00
1.660429e-03   7.802268e-13   1.186567e+00
1.675808e-03   8.659645e-13   1.186580e+00
1.691330e-03   9.607994e-13   1.186592e+00
1.706995e-03   1.065661e-12   1.186603e+00
1.722805e-03   1.181571e-12   1.186614e+00
1.738762e-03   1.309649e-12   1.186624e+00
1.754867e-03   1.451127e-12   1.186634e+00
1.771121e-03   1.607352e-12   1.186643e+00
1.787526e-03   1.779805e-12   1.186651e+00
