# d + n > t + g   [d_n__t_g]   ref=Nagai et al. 2006
# forward[T9] = With[{T923=T9^(2/3)},(214. T9^0.075+7.42T9)]   uncertainty factor f = 2
# T9                 rate                error
1.000000e-03   1.274791e+02   2.000000e+00
1.009262e-03   1.275674e+02   2.000000e+00
1.018610e-03   1.276557e+02   2.000000e+00
1.028045e-03   1.277440e+02   2.000000e+00
1.037567e-03   1.278325e+02   2.000000e+00
1.047177e-03   1.279209e+02   2.000000e+00
1.056876e-03   1.280095e+02   2.000000e+00
1.066665e-03   1.280981e+02   2.000000e+00
1.076545e-03   1.281868e+02   2.000000e+00
1.086516e-03   1.282755e+02   2.000000e+00
1.096579e-03   1.283643e+02   2.000000e+00
1.106736e-03   1.284532e+02   2.000000e+00
1.116987e-03   1.285421e+02   2.000000e+00
1.127333e-03   1.286311e+02   2.000000e+00
1.137774e-03   1.287201e+02   2.000000e+00
1.148312e-03   1.288092e+02   2.000000e+00
1.158948e-03   1.288984e+02   2.000000e+00
1.169683e-03   1.289876e+02   2.000000e+00
1.180517e-03   1.290769e+02   2.000000e+00
1.191451e-03   1.291663e+02   2.000000e+00
1.202486e-03   1.292557e+02   2.000000e+00
1.213624e-03   1.293452e+02   2.000000e+00
1.224865e-03   1.294347e+02   2.000000e+00
1.236210e-03   1.295244e+02   2.000000e+00
1.247660e-03   1.296140e+02   2.000000e+00
1.259216e-03   1.297038e+02   2.000000e+00
1.270879e-03   1.297936e+02   2.000000e+00
1.282650e-03   1.298834e+02   2.000000e+00
1.294530e-03   1.299733e+02   2.000000e+00
1.306520e-03   1.300633e+02   2.000000e+00
1.318621e-03   1.301534e+02   2.000000e+00
1.330835e-03   1.302435e+02   2.000000e+00
1.343161e-03   1.303337e+02   2.000000e+00
1.355602e-03   1.304239e+02   2.000000e+00
1.368158e-03   1.305142e+02   2.000000e+00
1.380830e-03   1.306046e+02   2.000000e+00
1.393619e-03   1.306950e+02   2.000000e+00
1.406527e-03   1.307855e+02   2.000000e+00
1.419555e-03   1.308760e+02   2.000000e+00
1.432703e-03   1.309667e+02   2.000000e+00
1.445973e-03   1.310573e+02   2.000000e+00
1.459366e-03   1.311481e+02   2.000000e+00
1.472883e-03   1.312389e+02   2.000000e+00
1.486525e-03   1.313298e+02   2.000000e+00
1.500293e-03   1.314207e+02   2.000000e+00
1.514189e-03   1.315117e+02   2.000000e+00
1.528214e-03   1.316028e+02   2.000000e+00
1.542369e-03   1.316939e+02   2.000000e+00
1.556654e-03   1.317851e+02   2.000000e+00
1.571072e-03   1.318763e+02   2.000000e+00
1.585624e-03   1.319677e+02   2.000000e+00
1.600310e-03   1.320590e+02   2.000000e+00
1.615133e-03   1.321505e+02   2.000000e+00
1.630092e-03   1.322420e+02   2.000000e+00
1.645191e-03   1.323336e+02   2.000000e+00
1.660429e-03   1.324252e+02   2.000000e+00
1.675808e-03   1.325169e+02   2.000000e+00
1.691330e-03   1.326087e+02   2.000000e+00
1.706995e-03   1.327005e+02   2.000000e+00
1.722805e-03   1.327924e+02   2.000000e+00
1.738762e-03   1.328844e+02   2.000000e+00
1.754867e-03   1.329764e+02   2.000000e+00
1.771121e-03   1.330685e+02   2.000000e+00
1.787526e-03   1.331607e+02   2.000000e+00
1.804082e-03   1.332529e+02   2.000000e+00
1.820792e-03   1.333452e+02   2.000000e+00
1.837656e-03   1.334375e+02   2.000000e+00
1.854677e-03   1.335299e+02   2.000000e+00
1.871855e-03   1.336224e+02   2.000000e+00
1.889193e-03   1.337150e+02   2.000000e+00
1.906691e-03   1.338076e+02   2.000000e+00
1.924351e-03   1.339003e+02   2.000000e+00
1.942175e-03   1.339930e+02   2.000000e+00
1.960163e-03   1.340858e+02   2.000000e+00
1.978319e-03   1.341787e+02   2.000000e+00
1.996642e-03   1.342716e+02   2.000000e+00
2.015136e-03   1.343646e+02   2.000000e+00
2.033800e-03   1.344577e+02   2.000000e+00
2.052638e-03   1.345508e+02   2.000000e+00
2.071650e-03   1.346440e+02   2.000000e+00
2.090838e-03   1.347373e+02   2.000000e+00
2.110203e-03   1.348306e+02   2.000000e+00
2.129749e-03   1.349240e+02   2.000000e+00
2.149475e-03   1.350175e+02   2.000000e+00
