# n + p > d + g   [n_p__d_g]   ref=Ando et al. 2006
# detailed balance: alpha=4.71614e+09 beta=1.5 gamma=-25.815  Q=2.22457
# T9                 rate                error
1.000000e-03   4.414000e+04   1.004500e+00
1.009262e-03   4.413930e+04   1.004500e+00
1.018610e-03   4.413859e+04   1.004500e+00
1.028045e-03   4.413787e+04   1.004500e+00
1.037567e-03   4.413715e+04   1.004500e+00
1.047177e-03   4.413642e+04   1.004500e+00
1.056876e-03   4.413569e+04   1.004500e+00
1.066665e-03   4.413495e+04   1.004500e+00
1.076545e-03   4.413421e+04   1.004500e+00
1.086516e-03   4.413346e+04   1.004500e+00
1.096579e-03   4.413270e+04   1.004500e+00
1.106736e-03   4.413194e+04   1.004500e+00
1.116987e-03   4.413117e+04   1.004500e+00
1.127333e-03   4.413039e+04   1.004500e+00
1.137774e-03   4.412961e+04   1.004500e+00
1.148312e-03   4.412882e+04   1.004500e+00
1.158948e-03   4.412802e+04   1.004500e+00
1.169683e-03   4.412722e+04   1.004500e+00
1.180517e-03   4.412641e+04   1.004500e+00
1.191451e-03   4.412559e+04   1.004500e+00
1.202486e-03   4.412477e+04   1.004500e+00
1.213624e-03   4.412393e+04   1.004500e+00
1.224865e-03   4.412309e+04   1.004500e+00
1.236210e-03   4.412225e+04   1.004500e+00
1.247660e-03   4.412139e+04   1.004500e+00
1.259216e-03   4.412053e+04   1.004500e+00
1.270879e-03   4.411966e+04   1.004500e+00
1.282650e-03   4.411878e+04   1.004500e+00
1.294530e-03   4.411789e+04   1.004500e+00
1.306520e-03   4.411700e+04   1.004500e+00
1.318621e-03   4.411609e+04   1.004500e+00
1.330835e-03   4.411518e+04   1.004500e+00
1.343161e-03   4.411426e+04   1.004500e+00
1.355602e-03   4.411333e+04   1.004500e+00
1.368158e-03   4.411240e+04   1.004500e+00
1.380830e-03   4.411145e+04   1.004500e+00
1.393619e-03   4.411050e+04   1.004500e+00
1.406527e-03   4.410953e+04   1.004500e+00
1.419555e-03   4.410856e+04   1.004500e+00
1.432703e-03   4.410758e+04   1.004500e+00
1.445973e-03   4.410659e+04   1.004500e+00
1.459366e-03   4.410559e+04   1.004500e+00
1.472883e-03   4.410457e+04   1.004500e+00
1.486525e-03   4.410356e+04   1.004500e+00
1.500293e-03   4.410253e+04   1.004500e+00
1.514189e-03   4.410149e+04   1.004500e+00
1.528214e-03   4.410044e+04   1.004500e+00
1.542369e-03   4.409938e+04   1.004500e+00
1.556654e-03   4.409831e+04   1.004500e+00
1.571072e-03   4.409723e+04   1.004500e+00
1.585624e-03   4.409614e+04   1.004500e+00
1.600310e-03   4.409504e+04   1.004500e+00
1.615133e-03   4.409393e+04   1.004500e+00
1.630092e-03   4.409281e+04   1.004500e+00
1.645191e-03   4.409167e+04   1.004500e+00
1.660429e-03   4.409053e+04   1.004500e+00
1.675808e-03   4.408938e+04   1.004500e+00
1.691330e-03   4.408821e+04   1.004500e+00
1.706995e-03   4.408704e+04   1.004500e+00
1.722805e-03   4.408585e+04   1.004500e+00
1.738762e-03   4.408465e+04   1.004500e+00
1.754867e-03   4.408344e+04   1.004500e+00
1.771121e-03   4.408222e+04   1.004500e+00
1.787526e-03   4.408099e+04   1.004500e+00
1.804082e-03   4.407974e+04   1.004500e+00
1.820792e-03   4.407849e+04   1.004500e+00
1.837656e-03   4.407722e+04   1.004500e+00
1.854677e-03   4.407594e+04   1.004500e+00
1.871855e-03   4.407465e+04   1.004500e+00
1.889193e-03   4.407334e+04   1.004500e+00
1.906691e-03   4.407203e+04   1.004500e+00
1.924351e-03   4.407070e+04   1.004500e+00
1.942175e-03   4.406935e+04   1.004500e+00
1.960163e-03   4.406800e+04   1.004500e+00
1.978319e-03   4.406663e+04   1.004500e+00
1.996642e-03   4.406525e+04   1.004500e+00
2.015136e-03   4.406386e+04   1.004500e+00
2.033800e-03   4.406245e+04   1.004500e+00
2.052638e-03   4.406104e+04   1.004500e+00
2.071650e-03   4.405960e+04   1.004500e+00
2.090838e-03   4.405816e+04   1.004500e+00
2.110203e-03   4.405670e+04   1.004500e+00
2.129749e-03   4.405523e+04   1.004500e+00
2.149475e-03   4.405374e+04   1.004500e+00
2.169384e-03   4.405224e+04   1.004500e+00
2.189477e-03   4.405073e+04   1.004500e+00
2.209756e-03   4.404920e+04   1.004500e+00
2.230223e-03   4.404766e+04   1.004500e+00
2.250880e-03   4.404610e+04   1.004500e+00
2.271728e-03   4.404453e+04   1.004500e+00
2.292769e-03   4.404295e+04   1.004500e+00
2.314005e-03   4.404135e+04   1.004500e+00
2.335438e-03   4.403974e+04   1.004500e+00
2.357069e-03   4.403811e+04   1.004500e+00
2.378901e-03   4.403647e+04   1.004500e+00
2.400935e-03   4.403481e+04   1.004500e+00
2.423173e-03   4.403314e+04   1.004500e+00
2.445617e-03   4.403145e+04   1.004500e+00
2.468268e-03   4.402975e+04   1.004500e+00
2.491130e-03   4.402803e+04   1.004500e+00
2.514203e-03   4.402630e+04   1.004500e+00
2.537490e-03   4.402455e+04   1.004500e+00
2.560993e-03   4.402278e+04   1.004500e+00
2.584714e-03   4.402101e+04   1.004500e+00
2.608654e-03   4.401921e+04   1.004500e+00
2.632815e-03   4.401740e+04   1.004500e+00
2.657201e-03   4.401557e+04   1.004500e+00
2.681813e-03   4.401373e+04   1.004500e+00
2.706652e-03   4.401187e+04   1.004500e+00
2.731722e-03   4.401000e+04   1.004500e+00
2.757023e-03   4.400810e+04   1.004500e+00
2.782559e-03   4.400620e+04   1.004500e+00
2.808332e-03   4.400427e+04   1.004500e+00
2.834343e-03   4.400233e+04   1.004500e+00
2.860596e-03   4.400037e+04   1.004500e+00
2.887091e-03   4.399840e+04   1.004500e+00
2.913832e-03   4.399641e+04   1.004500e+00
2.940820e-03   4.399440e+04   1.004500e+00
2.968059e-03   4.399237e+04   1.004500e+00
2.995549e-03   4.399033e+04   1.004500e+00
3.023295e-03   4.398827e+04   1.004500e+00
3.051297e-03   4.398619e+04   1.004500e+00
3.079559e-03   4.398410e+04   1.004500e+00
3.108082e-03   4.398198e+04   1.004500e+00
3.136870e-03   4.397985e+04   1.004500e+00
3.165924e-03   4.397770e+04   1.004500e+00
3.195248e-03   4.397553e+04   1.004500e+00
3.224842e-03   4.397334e+04   1.004500e+00
3.254712e-03   4.397113e+04   1.004500e+00
3.284857e-03   4.396890e+04   1.004500e+00
3.315282e-03   4.396666e+04   1.004500e+00
3.345989e-03   4.396439e+04   1.004500e+00
3.376980e-03   4.396210e+04   1.004500e+00
3.408259e-03   4.395979e+04   1.004500e+00
3.439826e-03   4.395745e+04   1.004500e+00
3.471687e-03   4.395510e+04   1.004500e+00
3.503842e-03   4.395272e+04   1.004500e+00
3.536296e-03   4.395032e+04   1.004500e+00
3.569049e-03   4.394790e+04   1.004500e+00
3.602107e-03   4.394546e+04   1.004500e+00
3.635470e-03   4.394299e+04   1.004500e+00
3.669142e-03   4.394050e+04   1.004500e+00
3.703127e-03   4.393799e+04   1.004500e+00
3.737426e-03   4.393545e+04   1.004500e+00
3.772042e-03   4.393289e+04   1.004500e+00
3.806980e-03   4.393031e+04   1.004500e+00
3.842241e-03   4.392769e+04   1.004500e+00
3.877828e-03   4.392506e+04   1.004500e+00
3.913746e-03   4.392240e+04   1.004500e+00
3.949995e-03   4.391971e+04   1.004500e+00
3.986581e-03   4.391700e+04   1.004500e+00
4.023506e-03   4.391426e+04   1.004500e+00
4.060772e-03   4.391149e+04   1.004500e+00
4.098384e-03   4.390870e+04   1.004500e+00
4.136344e-03   4.390588e+04   1.004500e+00
4.174655e-03   4.390303e+04   1.004500e+00
4.213322e-03   4.390016e+04   1.004500e+00
4.252346e-03   4.389726e+04   1.004500e+00
4.291732e-03   4.389434e+04   1.004500e+00
4.331483e-03   4.389139e+04   1.004500e+00
4.371602e-03   4.388841e+04   1.004500e+00
4.412093e-03   4.388541e+04   1.004500e+00
4.452959e-03   4.388237e+04   1.004500e+00
4.494203e-03   4.387932e+04   1.004500e+00
4.535829e-03   4.387623e+04   1.004500e+00
4.577841e-03   4.387312e+04   1.004500e+00
4.620241e-03   4.386998e+04   1.004500e+00
4.663035e-03   4.386682e+04   1.004500e+00
4.706225e-03   4.386363e+04   1.004500e+00
4.749815e-03   4.386041e+04   1.004500e+00
4.793808e-03   4.385716e+04   1.004500e+00
4.838210e-03   4.385389e+04   1.004500e+00
4.883022e-03   4.385059e+04   1.004500e+00
4.928250e-03   4.384727e+04   1.004500e+00
4.973896e-03   4.384392e+04   1.004500e+00
5.019965e-03   4.384054e+04   1.004500e+00
5.066461e-03   4.383713e+04   1.004500e+00
5.113388e-03   4.383369e+04   1.004500e+00
5.160749e-03   4.383023e+04   1.004500e+00
5.208549e-03   4.382674e+04   1.004500e+00
5.256791e-03   4.382322e+04   1.004500e+00
5.305481e-03   4.381966e+04   1.004500e+00
5.354621e-03   4.381608e+04   1.004500e+00
5.404216e-03   4.381246e+04   1.004500e+00
5.454271e-03   4.380881e+04   1.004500e+00
5.504790e-03   4.380513e+04   1.004500e+00
5.555776e-03   4.380142e+04   1.004500e+00
